#Backup ID,Process Time
0,0.620195
1,0.718045
2,0.775257
3,0.850927
4,0.867915
5,0.752631
6,0.917511
7,0.860208
8,0.960179
9,0.996132
10,0.889446
11,0.817073
12,0.82876
13,0.95683
14,1.13382
15,1.15844
16,1.13375
17,1.06321
18,0.697664
19,0.788639
20,0.841593
21,0.878393
22,1.06349
23,1.06233
24,0.874912
25,0.945949
26,0.961078
27,1.003
28,1.08355
29,0.929295
30,0.945877
31,0.773406
32,0.925974
33,0.93761
34,0.991053
35,1.04502
36,1.22007
37,1.28358
38,1.24174
39,1.00093
40,1.0127
41,1.08253
42,1.10288
43,1.18667
44,0.858101
45,0.871282
46,0.890407
47,1.03185
48,1.1951
49,0.981704
50,1.04433
51,1.31039
52,0.963998
53,1.04131
54,1.10482
55,1.1049
56,1.12595
57,0.973766
58,0.980176
59,0.78968
60,0.960208
61,1.05596
62,1.1577
63,1.3101
64,1.40982
65,1.69447
66,1.16357
67,0.887014
68,1.00805
69,0.986227
70,1.1278
71,0.793063
72,1.00757
73,0.883319
74,0.914395
75,0.966611
76,1.00667
77,1.07875
78,1.02889
79,1.09466
80,1.09227
81,1.08163
82,0.748384
83,0.942072
84,0.989143
85,0.949066
86,0.884505
87,0.852393
88,1.04364
89,1.11968
90,1.07694
91,1.07057
92,1.08739
93,1.1127
94,1.08108
