#Backup ID,Backup Online Processtime(s),Online Load Times,Online Delta num,Online Size,Offline Size,Offline Delta times,Offline Decompress times,Offline Delete times,Logic chunk num,Unique chunk num,FpIndex size,SfIndex size,Localmap size,Coldmap size,Deltamap size,total logical size
0,2.78465,14,233,226492529,226492529,0,0,0,47270,45091,3607280,8543104,0,0,12320,374824960
1,1.83805,72,8303,276437430,276437430,0,0,0,93760,63193,5055440,10444736,0,0,523744,741068800
2,1.85337,138,15547,326836468,326836468,0,0,0,140254,80435,6434800,12311616,0,0,823328,1108418560
3,1.82383,212,23140,372764907,372764907,0,0,0,186916,97135,7770800,13984064,0,0,1106144,1477611520
4,1.78191,292,30082,410969410,410969410,0,0,0,233561,111930,8954400,15407232,0,0,1360192,1846190080
5,1.64783,370,36761,447982745,447982745,0,0,0,271616,126584,10126720,16862656,0,0,1615264,2149201920
6,3.6612,435,39886,699182917,699182917,0,0,0,333509,182509,14600720,26869632,0,0,1752864,2647705600
7,3.01591,512,49155,818414068,818414068,0,0,0,375631,217536,17402880,31632384,0,0,2247776,2997319680
8,2.88233,599,61917,913428779,913428779,0,0,0,419564,249310,19944800,35125504,0,0,2803072,3364526080
9,0.803607,599,61921,913446238,913446238,0,0,0,463497,249332,19946560,35127616,0,0,2803328,3731732480
10,1.27175,631,63892,941849493,941849493,0,0,0,511234,257100,20568000,36190208,0,0,2873216,4109803520
11,1.06525,662,65813,958849136,958849136,0,0,0,550375,262844,21027520,36876992,0,0,2948864,4422103040
12,1.66946,755,72207,998887532,998887532,0,0,0,589502,277512,22200960,38362752,0,0,3177600,4734248960
13,1.4022,801,74696,1001946501,1001946501,0,0,0,652520,280730,22458400,38461120,0,0,3300416,5241784320
14,2.44152,895,85005,1046768560,1046768560,0,0,0,717905,300858,24068640,40256640,0,0,3711456,5764464640
15,2.15886,964,93678,1078831748,1078831748,0,0,0,783325,316129,25290320,41420800,0,0,4006176,6287237120
16,2.75557,1053,108038,1131317852,1131317852,0,0,0,829595,341773,27341840,43440960,0,0,4572512,6673735680
17,1.68894,1103,114604,1142170468,1142170468,0,0,0,875466,350721,28057680,43770560,0,0,4845472,7057971200
18,1.34309,1137,116871,1161490814,1161490814,0,0,0,923854,357394,28591520,44578432,0,0,4930400,7442227200
19,1.2552,1176,119294,1177386714,1177386714,0,0,0,971484,363629,29090320,45248512,0,0,5019968,7817871360
20,1.28293,1214,121681,1191896518,1191896518,0,0,0,1019179,369592,29567360,45865856,0,0,5105632,8194682880
21,1.28307,1258,124084,1205817145,1205817145,0,0,0,1067026,375496,30039680,46459520,0,0,5191136,8573368320
22,0.859169,1258,124084,1205842370,1205842370,0,0,0,1112897,375519,30041520,46462016,0,0,5191136,8957603840
23,0.850352,1259,124089,1205856627,1205856627,0,0,0,1158768,375540,30043200,46463232,0,0,5191456,9341839360
24,1.81864,1313,130533,1254238519,1254238519,0,0,0,1207545,391103,31288240,48122752,0,0,5411904,9731287040
25,1.21965,1368,132899,1260405663,1260405663,0,0,0,1256392,394790,31583200,48289216,0,0,5508192,10121338880
26,1.2112,1422,135512,1264665010,1264665010,0,0,0,1305302,398504,31880320,48402496,0,0,5601088,10512404480
27,1.76446,1479,142944,1296539090,1296539090,0,0,0,1354172,412295,32983600,49516160,0,0,5866688,10903429120
28,1.23186,1544,145228,1302937387,1302937387,0,0,0,1402940,415863,33269040,49655680,0,0,5947072,11293941760
29,2.09664,1652,155939,1350862429,1350862429,0,0,0,1443085,436186,34894880,51369344,0,0,6336384,11619184640
30,1.8473,1749,165478,1385336785,1385336785,0,0,0,1483217,452933,36234640,52609216,0,0,6662784,11944468480
31,0.98,1796,167184,1389039373,1389039373,0,0,0,1523363,455386,36430880,52693376,0,0,6724352,12269639680
32,0.973223,1839,168767,1393719516,1393719516,0,0,0,1563546,457878,36630240,52801280,0,0,6781024,12595281920
