#Backup ID,Process Time
0,0.658293
1,0.782071
2,0.879673
3,0.960248
4,1.06356
5,0.987208
6,1.03809
7,0.997885
8,1.18783
9,1.20236
10,1.14678
11,1.06974
12,1.09702
13,1.09956
14,1.39525
15,1.43418
16,1.53573
17,1.48609
18,0.778569
19,0.96431
20,1.05529
21,1.14608
22,1.50583
23,1.50206
24,1.13187
25,1.21158
26,1.29177
27,1.34736
28,1.51545
29,1.30893
30,1.38094
31,0.957016
32,1.21347
33,1.27409
34,1.52812
35,1.74235
36,2.31315
37,2.56954
38,2.35354
39,1.61871
40,1.74688
41,1.88341
42,2.03577
43,2.07778
44,1.22518
45,1.24766
46,1.38011
47,1.54577
48,2.0872
49,1.36517
50,1.53156
51,2.42549
52,1.56648
53,1.71263
54,1.88389
55,1.98797
56,2.01977
57,1.45585
58,1.52522
59,1.03762
60,1.29388
61,1.37891
62,2.5871
63,2.69665
64,3.14963
65,3.37596
66,2.03327
67,1.28151
68,1.55402
69,1.54843
70,2.03978
71,1.07744
72,1.585
73,1.2851
74,1.26406
75,1.44692
76,1.59994
77,1.65606
78,1.65619
79,1.82944
80,1.84151
81,1.6564
82,1.03662
83,1.39984
84,1.49741
85,1.48273
86,1.36817
87,1.21547
88,1.59869
89,1.82854
90,1.65402
91,1.63888
92,1.81952
93,1.91137
94,1.64608
