#Backup ID,Backup Online Processtime(s),Online Load Times,Online Delta num,Online Size,Offline Size,Offline Delta times,Offline Decompress times,Offline Delete times,Logic chunk num,Unique chunk num,FpIndex size,SfIndex size,Localmap size,Coldmap size,Deltamap size,total logical size
0,2.9112,24,331,226638946,226638946,0,0,0,47270,45091,3607280,8537408,0,0,16448,374824960
1,1.87228,88,8550,275908840,275908840,0,0,0,93760,63193,5055440,10432448,0,0,536096,741068800
2,1.90646,166,16122,324983868,324983868,0,0,0,140254,80435,6434800,12286336,0,0,851296,1108418560
3,1.90955,256,24219,368850996,368850996,0,0,0,186916,97135,7770800,13937024,0,0,1156384,1477611520
4,1.8474,360,31734,404640953,404640953,0,0,0,233561,111930,8954400,15334080,0,0,1434368,1846190080
5,1.72166,469,38928,439579700,439579700,0,0,0,271616,126584,10126720,16764096,0,0,1709056,2149201920
6,3.83898,610,42450,689245337,689245337,0,0,0,333509,182509,14600720,26742720,0,0,1865216,2647705600
7,3.26361,776,52273,806420812,806420812,0,0,0,375631,217536,17402880,31464896,0,0,2383648,2997319680
8,3.17068,967,65690,898877813,898877813,0,0,0,419564,249310,19944800,34915328,0,0,2965856,3364526080
9,0.824757,972,65704,898885271,898885271,0,0,0,463497,249332,19946560,34916864,0,0,2966656,3731732480
10,1.39713,1049,68008,926173911,926173911,0,0,0,511234,257100,20568000,35965056,0,0,3049024,4109803520
11,1.17702,1129,70241,942096223,942096223,0,0,0,550375,262844,21027520,36639168,0,0,3137120,4422103040
12,1.86955,1292,77356,979140570,979140570,0,0,0,589502,277512,22200960,38087936,0,0,3393792,4734248960
13,1.59944,1398,80113,981134802,981134802,0,0,0,652520,280730,22458400,38176448,0,0,3527296,5241784320
14,2.76125,1592,90993,1023705024,1023705024,0,0,0,717905,300858,24068640,39948736,0,0,3960096,5764464640
15,2.52562,1773,100319,1053366245,1053366245,0,0,0,783325,316129,25290320,41089408,0,0,4280480,6287237120
16,3.17246,1983,115542,1102784525,1102784525,0,0,0,829595,341773,27341840,43056832,0,0,4878464,6673735680
17,1.93047,2117,122378,1112044771,1112044771,0,0,0,875466,350721,28057680,43369920,0,0,5157184,7057971200
18,1.54458,2204,124906,1130374325,1130374325,0,0,0,923854,357394,28591520,44165184,0,0,5251808,7442227200
19,1.4656,2329,127733,1144802193,1144802193,0,0,0,971484,363629,29090320,44818880,0,0,5357024,7817871360
20,1.54451,2469,130580,1157590950,1157590950,0,0,0,1019179,369592,29567360,45416832,0,0,5459808,8194682880
21,1.52966,2609,133493,1169577225,1169577225,0,0,0,1067026,375496,30039680,45991040,0,0,5564096,8573368320
22,0.895193,2616,133508,1169590290,1169590290,0,0,0,1112897,375519,30041520,45992576,0,0,5564800,8957603840
23,0.855373,2619,133527,1169595545,1169595545,0,0,0,1158768,375540,30043200,45992960,0,0,5565536,9341839360
24,2.1482,2779,140572,1215523765,1215523765,0,0,0,1207545,391103,31288240,47627072,0,0,5809760,9731287040
25,1.46845,2921,143461,1219850081,1219850081,0,0,0,1256392,394790,31583200,47779712,0,0,5924928,10121338880
26,1.50553,3093,146663,1222011001,1222011001,0,0,0,1305302,398504,31880320,47877632,0,0,6038240,10512404480
27,2.14594,3274,154796,1250955121,1250955121,0,0,0,1354172,412295,32983600,48963520,0,0,6330752,10903429120
28,1.57427,3461,157708,1255193555,1255193555,0,0,0,1402940,415863,33269040,49088768,0,0,6432672,11293941760
29,2.66463,3771,169339,1299227191,1299227191,0,0,0,1443085,436186,34894880,50755776,0,0,6857376,11619184640
30,2.47337,4084,179874,1329649382,1329649382,0,0,0,1483217,452933,36234640,51948096,0,0,7221216,11944468480
31,1.25848,4235,181939,1331989511,1331989511,0,0,0,1523363,455386,36430880,52022592,0,0,7295040,12269639680
32,1.27961,4402,183929,1335054537,1335054537,0,0,0,1563546,457878,36630240,52118656,0,0,7366464,12595281920
33,1.32827,4596,185933,1338015990,1338015990,0,0,0,1603775,460343,36827440,52207168,0,0,7438912,12921047040
34,2.1951,4746,192016,1352663138,1352663138,0,0,0,1648884,470364,37629120,52930752,0,0,7654336,13298063360
35,2.03447,4902,198632,1359462321,1359462321,0,0,0,1694029,478149,38251920,53107904,0,0,7917696,13675489280
36,2.37393,5236,205670,1364472560,1364472560,0,0,0,1741440,485699,38855920,53201088,0,0,8159584,14072944640
37,3.49306,5690,220567,1393204747,1393204747,0,0,0,1788524,505702,40456160,54157824,0,0,8684544,14468106240
38,2.56008,6126,226271,1401479533,1401479533,0,0,0,1835523,513397,41071760,54469952,0,0,8887744,14863370240
39,2.648,6515,234984,1444960289,1444960289,0,0,0,1876216,530689,42455120,56107904,0,0,9188992,15191316480
40,2.6395,6951,245435,1470168094,1470168094,0,0,0,1913449,545953,43676240,57023936,0,0,9586976,15492782080
41,2.90714,7465,256471,1501532177,1501532177,0,0,0,1950738,563025,45042000,58149568,0,0,9980032,15794718720
42,2.93759,8030,265832,1533103565,1533103565,0,0,0,1988065,578196,46255680,59261120,0,0,10306336,16096768000
43,1.9493,8444,269048,1539197000,1539197000,0,0,0,2025433,582690,46615200,59502784,0,0,10423936,16399237120
44,2.50586,8762,276544,1578936746,1578936746,0,0,0,2074134,597635,47810800,60932480,0,0,10685824,16789903360
