#logical data size (B), logical chunk num, unique data size (B), unique chunk num, online size (B), total process time (s), enclave speed (MiB/s)
374824960, 47270, 355493664, 45091, 227667693, 1.559543, 229.208773
741068800, 93760, 495103669, 63193, 319649166, 1.038422, 336.353952
1108418560, 140254, 629979924, 80435, 408780574, 1.035383, 338.359845
1477611520, 186916, 759367472, 97135, 494334901, 1.020133, 345.141118
1846190080, 233561, 875009206, 111930, 571329736, 1.034036, 339.933916
2149201920, 271616, 988912863, 126584, 646271923, 0.849967, 339.983328
2647705600, 333509, 1439024217, 182509, 911511933, 2.068098, 229.877963
2997319680, 375631, 1732574333, 217536, 1068042151, 1.346047, 247.701580
3364526080, 419564, 1998004082, 249310, 1215721370, 1.343329, 260.692141
3731732480, 463497, 1998126473, 249332, 1215745025, 0.742405, 471.703871
4109803520, 511234, 2059446492, 257100, 1251378869, 0.899292, 400.933891
4422103040, 550375, 2104629607, 262844, 1275163857, 0.741717, 401.544027
4734248960, 589502, 2218783128, 277512, 1350501005, 0.873271, 340.885644
5241784320, 652520, 2241418287, 280730, 1363590312, 1.071458, 451.742800
5764464640, 717905, 2400783295, 300858, 1457819117, 1.448544, 344.115744
6287237120, 783325, 2525462985, 316129, 1530438115, 1.342887, 371.255874
6673735680, 829595, 2745488039, 341773, 1640670431, 1.270574, 290.100183
7057971200, 875466, 2823472834, 350721, 1672403035, 0.922312, 397.301073
7442227200, 923854, 2876277470, 357394, 1700359562, 0.937619, 390.835807
7817871360, 971484, 2924628193, 363629, 1726167246, 0.878169, 407.942193
8194682880, 1019179, 2971142827, 369592, 1750807680, 0.890650, 403.475516
8573368320, 1067026, 3017413239, 375496, 1775192329, 0.868382, 415.879853
8957603840, 1112897, 3017536324, 375519, 1775217554, 0.773574, 473.691653
9341839360, 1158768, 3017643824, 375540, 1775239441, 0.766569, 478.020305
9731287040, 1207545, 3147129212, 391103, 1855021992, 1.094377, 339.376878
10121338880, 1256392, 3173146392, 394790, 1871406988, 0.849731, 437.764918
10512404480, 1305302, 3198894091, 398504, 1886926778, 0.853872, 436.774152
10903429120, 1354172, 3314601417, 412295, 1956344080, 1.065865, 349.866218
11293941760, 1402940, 3340115247, 415863, 1972893963, 0.860342, 432.876548
11619184640, 1443085, 3504542465, 436186, 2071737708, 1.057596, 293.283807
11944468480, 1483217, 3640857118, 452933, 2152957520, 0.976579, 317.654633
12269639680, 1523363, 3659050396, 455386, 2165169381, 0.701522, 442.049461
12595281920, 1563546, 3677505788, 457878, 2177526473, 0.704560, 440.780971
12921047040, 1603775, 3695746745, 460343, 2189772243, 0.701885, 442.627821
13298063360, 1648884, 3789919389, 470364, 2222658068, 0.916500, 392.308545
13675489280, 1694029, 3861312313, 478149, 2250625753, 0.882584, 407.826798
14072944640, 1741440, 3929958353, 485699, 2277981805, 0.925308, 409.639783
14468106240, 1788524, 4101652910, 505702, 2365798166, 1.160210, 324.816601
14863370240, 1835523, 4171832822, 513397, 2393498655, 0.915559, 411.719097
15191316480, 1876216, 4311487807, 530689, 2478835296, 0.997813, 313.439398
15492782080, 1913449, 4436563133, 545953, 2555246099, 0.911264, 315.495839
15794718720, 1950738, 4575785202, 563025, 2640962322, 0.947379, 303.943004
16096768000, 1988065, 4699732147, 578196, 2717675874, 0.923291, 311.989005
16399237120, 2025433, 4732139714, 582690, 2737407440, 0.697851, 413.350459
16789903360, 2074134, 4856818378, 597635, 2813395176, 1.100442, 338.562468
17180590080, 2122847, 4875734367, 600194, 2825927376, 0.855029, 435.760530
17570560000, 2171519, 4899115325, 603472, 2840464653, 0.850488, 437.283415
17961431040, 2220326, 5021636387, 618425, 2912815002, 1.093757, 340.810319
18263900160, 2257694, 5021781860, 618450, 2912849279, 0.629686, 458.096625
18659973120, 2307202, 5049354401, 622086, 2933299603, 0.876563, 430.915530
19055656960, 2356622, 5069977693, 624875, 2947488598, 0.891305, 423.371927
19468840960, 2405612, 5177786411, 636347, 2987047676, 1.033255, 381.360815
19802460160, 2447006, 5189341117, 637794, 2997132351, 0.701784, 453.364657
20109813760, 2484962, 5201673249, 639336, 3007999221, 0.655392, 447.236516
20417689600, 2522969, 5213578195, 640807, 3018524670, 0.660794, 444.334061
20725667840, 2561009, 5223559501, 642051, 3027202246, 0.653209, 449.643127
21034076160, 2599098, 5233628060, 643311, 3036024041, 0.650063, 452.450138
21364449280, 2639876, 5252952705, 645916, 3049182940, 0.726993, 433.385685
21695129600, 2680677, 5273120641, 648640, 3063255369, 0.737847, 427.407482
22025707520, 2721490, 5292001087, 651174, 3076220409, 0.723482, 435.758833
22356746240, 2762338, 5310963607, 653720, 3089224387, 0.737840, 427.874776
22687907840, 2803249, 5329807731, 656273, 3102190806, 0.721334, 437.828125
23082076160, 2850269, 5426033199, 667060, 3139533830, 0.998465, 376.486109
23477360640, 2897423, 5503728992, 675589, 3170389221, 0.941215, 400.517051
23892674560, 2946849, 5580869610, 684080, 3201112944, 1.014701, 390.335891
24305715200, 2995937, 5657844301, 692541, 3231651399, 0.977154, 403.115834
24614123520, 3034026, 5657992401, 692567, 3231685979, 0.629730, 467.059047
25014067200, 3083892, 5683878422, 695994, 3248153250, 0.936105, 407.450036
25406832640, 3133068, 5802337491, 710148, 3320179501, 1.095288, 341.983398
25803069440, 3182530, 5822555219, 712856, 3333849589, 0.921774, 409.949575
26111477760, 3220619, 5822699186, 712881, 3333883573, 0.640554, 459.166743
26455859200, 3263035, 6005656824, 735096, 3457781595, 1.147240, 286.276398
26815508480, 3307336, 6098796294, 746419, 3518132930, 0.980972, 349.641255
27163023360, 3350218, 6147772247, 752391, 3552582254, 0.828981, 399.787227
27510743040, 3393144, 6157487549, 753605, 3561105715, 0.731823, 453.130509
27858503680, 3436144, 6204746036, 759571, 3591645682, 0.854141, 388.285296
28206233600, 3479144, 6225611499, 762358, 3605886067, 0.782812, 423.628015
28565800960, 3523445, 6291053095, 770570, 3645736616, 0.901775, 380.261325
28925265920, 3567732, 6310049010, 772866, 3658491101, 0.773209, 443.363308
29285120000, 3612081, 6376027080, 781297, 3697616752, 0.889540, 385.798945
29644994560, 3656412, 6399193338, 784282, 3712022527, 0.780470, 439.739035
30004213760, 3700674, 6425556325, 787566, 3729265886, 0.798270, 429.150695
30326528000, 3740691, 6515039713, 798725, 3789624576, 0.877538, 350.278635
30671964160, 3783372, 6567954497, 805381, 3823736952, 0.851446, 386.910730
31016939520, 3825950, 6607659097, 810353, 3849701575, 0.818092, 402.148097
31362539520, 3868596, 6650687784, 815960, 3881352332, 0.831630, 396.317886
31706787840, 3910995, 6677029366, 819466, 3898872649, 0.767832, 427.568506
32051159040, 3953403, 6694505446, 821838, 3910914048, 0.739195, 444.291383
32410808320, 3997704, 6694628515, 821859, 3910940196, 0.739852, 463.590395
32773447680, 4042378, 6712487789, 824073, 3926994280, 0.767950, 450.341616
33135206400, 4086956, 6728833826, 826102, 3942044380, 0.774371, 445.522882
33497640960, 4131606, 6740028415, 827496, 3951925965, 0.791495, 436.698313
33860229120, 4176284, 6794113241, 834288, 3984837235, 0.872126, 396.492039
34222755840, 4220932, 6822115611, 838026, 4001966754, 0.831017, 416.035318
34585190400, 4265582, 6822244413, 838047, 4001992624, 0.755558, 457.469223
