#Backup ID,Backup Online Processtime(s),Online Load Times,Online Delta num,Online Size,Offline Size,Offline Delta times,Offline Decompress times,Offline Delete times,Logic chunk num,Unique chunk num,FpIndex size,SfIndex size,Localmap size,Coldmap size,Deltamap size,total logical size,offline_time,online_dedupReduce,online_lz4Reduce,online_deltaReduce,offlineDelta_diff,offlineDelta_sum,offlineReDelta_sum,offlineRelz4_sum,_sum_Delta_size,_sum_Lz4_size
0,2.68454,0,0,227667693,224814316,624,0,34,47270,45091,3607280,8512512,39936,5162,29760,374824960,3.07963,19331296,127825971,0,-2853377,2853377,0,3399646,546269,224268047
1,1.54061,0,0,316795789,274072393,9080,237,102,93760,63193,5055440,10407104,565952,73150,545952,741068800,27.2487,245965131,175454503,0,-45576773,42723396,198635,47302616,1725843,272346550
2,1.51552,0,0,363203801,323142462,22132,5712,188,140254,80435,6434800,12256640,1050880,177996,861408,1108418560,36.9771,478438636,221199350,0,-85638112,40061339,1161221,88623183,2985071,320157391
3,1.47984,0,0,408696789,367169116,41541,17015,296,186916,97135,7770800,13898432,1569664,333808,1166496,1477611520,48.5912,718244048,265032571,0,-127165785,41527673,2906864,131777812,4612027,362557089
4,1.40258,0,0,444163951,402795636,64265,32226,415,233561,111930,8954400,15288576,2050624,516195,1444032,1846190080,51.0866,971180874,303679470,0,-168534100,41368315,5271897,174103887,5569787,397225849
5,1.25434,0,0,477737823,437796622,89625,50390,542,271616,126584,10126720,16711168,2511168,719710,1718720,2149201920,50.7237,1160289057,342640940,0,-208475301,39941201,7649298,215302145,6826844,430969778
6,3.36433,0,0,703036632,686653249,99317,56286,670,333509,182509,14600720,26661568,2754112,797886,1887680,2647705600,24.0597,1208681383,527512284,0,-224858684,16383383,8397122,232910339,8051655,678601594
7,2.17092,0,0,843183467,799402160,115416,61958,799,375631,217536,17402880,31294272,3429440,927323,2429888,2997319680,46.1941,1264745347,664532182,0,-268639991,43781307,9470152,280029161,11389170,788012990
8,2.16519,0,0,947081379,890980340,142384,75242,942,419564,249310,19944800,34711872,4310464,1143742,3016480,3364526080,69.4105,1366521998,782282712,0,-324741030,56101039,12676125,339236437,14495407,876484933
9,0.804513,0,0,891003995,890986805,142403,75247,950,463497,249332,19946560,34713408,4311360,1143934,3017248,3731732480,0.274061,1733606007,782381448,0,-324758220,17190,12678337,339254677,14496457,876490348
10,1.15848,0,0,926620649,918018796,154908,85465,1038,511234,257100,20568000,35762752,4457728,1244414,3099296,4109803520,18.7184,2050357028,808067623,0,-333360073,8601853,13818261,347775986,14415913,903602883
11,0.93886,0,0,941803784,933902444,166760,95082,1112,550375,262844,21027520,36434432,4600768,1339600,3187712,4422103040,17.8673,2317473433,829465750,0,-341261413,7901340,14530434,355826210,14564797,919337647
12,1.28774,0,0,1009239592,970978492,202001,123237,1310,589502,277512,22200960,37880512,5054336,1622518,3443328,4734248960,53.1203,2515465832,868282123,0,-379522513,38261100,18113312,395179861,15657348,955321144
13,1.26048,0,0,984067799,973088539,212732,131224,1393,652520,280730,22458400,37969984,5229952,1708781,3576640,5241784320,19.1323,3000366033,877827975,0,-390501773,10979260,18959099,406563186,16061413,957027126
14,2.00377,0,0,1067317344,1015587331,244632,152245,1557,717905,300858,24068640,39733824,5926272,1964801,4007136,5764464640,67.168,3363681345,942964178,0,-442231786,51730013,21607680,459436031,17204245,998383086
15,1.81856,0,0,1088206329,1045079424,280495,178792,1690,783325,316129,25290320,40870592,6522560,2252370,4327072,6287237120,67.2981,3761774135,995024870,0,-485358691,43126905,24261437,503264573,17905882,1027173542
16,1.90467,0,0,1155311740,1094924956,329468,212519,1874,829595,341773,27341840,42811008,7504512,2645002,4919776,6673735680,96.7429,3928247641,1104817608,0,-545745475,60386784,29687612,568062933,22317458,1072607498
17,1.22744,0,0,1126657560,1103237362,351461,227240,1969,875466,350721,28057680,43075456,7974464,2821405,5211872,7057971200,43.7625,4234498366,1151069799,0,-569165673,23420198,33800065,593501889,24336216,1078901146
18,1.16949,0,0,1131193889,1121687852,370923,244209,2114,923854,357394,28591520,43874688,8134016,2977826,5305920,7442227200,22.2946,4565949730,1175917908,0,-578671710,9506037,35471090,603236562,24564852,1097123000
19,1.09189,0,0,1147495536,1136144097,393599,264071,2242,971484,363629,29090320,44527424,8314112,3159874,5411008,7817871360,27.1308,4893243167,1198460947,0,-590023149,11351439,37323290,614905600,24882451,1111261646
20,1.10028,0,0,1160784531,1148937532,418542,286169,2359,1019179,369592,29567360,45122560,8496192,3360003,5514112,8194682880,27.3345,5223540053,1220335147,0,-601870148,11846999,39498369,627092531,25222383,1123715149
21,1.13067,0,0,1173322181,1161212025,445907,310634,2470,1067026,375496,30039680,45696576,8681792,3579478,5618208,8573368320,29.3167,5555955081,1242220910,0,-613980304,12110156,41808538,639799324,25819020,1135393005
