#Backup ID,Backup Online Processtime(s),Online Load Times,Online Delta num,Online Size,Offline Size,Offline Delta times,Offline Decompress times,Offline Delete times,Logic chunk num,Unique chunk num,FpIndex size,SfIndex size,Localmap size,Coldmap size,Deltamap size,total logical size,offline_time,online_dedupReduce,online_lz4Reduce,online_deltaReduce,offlineDelta_diff,offlineDelta_sum,offlineReDelta_sum,offlineRelz4_sum,_sum_Delta_size,_sum_Lz4_size
0,2.94114,23,315,226693748,226500862,42,26,5,47270,45091,3607280,8537344,1024,361,16448,374824960,0.298066,19331296,126445368,2354548,-192886,192886,148576,99636,796128,225704734
1,1.89002,86,8499,275871421,275768348,111,60,11,93760,63193,5055440,10432384,3264,943,536096,741068800,0.347705,245965131,156198636,62840726,-295959,103073,166605,202389,1882150,273886198
2,1.92904,160,15849,326357587,325076977,564,286,41,140254,80435,6434800,12286016,17792,4717,851520,1108418560,1.98308,478438636,186583564,116742814,-1576569,1280610,315661,1501005,3369792,321707185
3,1.89794,243,22134,378831408,368962434,4989,2891,97,186916,97135,7770800,13933568,134272,40397,1156992,1477611520,11.6082,718244048,216676843,162282652,-11445543,9868974,866759,11546634,4811662,364150772
4,1.70887,332,25729,430283113,404706088,16910,10891,171,233561,111930,8954400,15322368,385280,136135,1434848,1846190080,24.7952,971180874,245295587,187984963,-37022568,25577025,2127470,37809250,5993057,398713031
5,1.65806,424,28616,465173091,439612082,32691,22370,260,271616,126584,10126720,16746048,660608,262828,1709248,2149201920,31.2854,1160289057,277339120,209378084,-62583577,25561009,3704513,64060647,7144109,432467973
6,3.7225,524,30900,695222754,688817492,36585,24894,338,333509,182509,14600720,26710976,748288,294370,1871360,2647705600,9.41809,1208681383,453853806,227364080,-68988839,6405262,4305113,70889615,8180024,680637468
7,2.87737,630,37989,812934694,802571409,42915,28290,416,375631,217536,17402880,31395648,941120,345376,2398272,2997319680,16.1342,1264745347,563955111,286695689,-79352124,10363285,6150418,81972059,11149132,791422277
8,2.7529,739,44727,917788681,894407516,56976,35476,535,419564,249310,19944800,34818112,1384064,458443,2987744,3364526080,35.4933,1366521998,657532993,343330284,-102733289,23381165,8692062,107404311,14115211,880292305
9,0.893747,744,44740,894414968,894413954,56978,35477,537,463497,249332,19946560,34819648,1384128,458469,2988512,3731732480,0.045822,1733606007,657572929,343405287,-102734303,1014,8692896,107405428,14116468,880297486
10,1.51856,819,45825,926130869,921557745,64378,41669,617,511234,257100,20568000,35867072,1461440,518069,3070560,4109803520,10.9346,2050357028,679474980,351106340,-107307427,4573124,9367645,111904335,14170497,907387248
11,1.30067,878,47035,940379984,937410551,70830,47095,684,550375,262844,21027520,36539136,1527104,570020,3158912,4422103040,8.63185,2317473433,697365267,359576929,-110276860,2969433,9883035,114891487,14290630,923119921
12,1.79854,981,49837,996857514,974167370,91883,63853,839,589502,277512,22200960,37984384,1802048,739219,3414880,4734248960,32.1398,2515465832,730905588,380743166,-132967004,22690144,12457534,137949251,15103968,959063402
13,1.61348,1039,51287,981599565,976314673,99279,69965,908,652520,280730,22458400,38074752,1884224,798732,3547584,5241784320,10.2416,3000366033,735987450,390864268,-138251896,5284892,13077370,143508660,15520987,960793686
14,2.71441,1157,59733,1029779322,1018727624,108991,77244,1025,717905,300858,24068640,39843712,2039936,877013,3978912,5764464640,17.4276,3363681345,773307750,459444327,-149303594,11051698,14382821,154753638,16623659,1002103965
15,2.39231,1267,65242,1066235959,1048242366,123756,88190,1119,783325,316129,25290320,40979712,2284352,995603,4299168,6287237120,25.0067,3761774135,807278943,502644489,-167297187,17993593,15611136,172989809,17410558,1030831808
16,2.46457,1371,70287,1134427979,1097899064,157695,111915,1275,829595,341773,27341840,42916224,2944064,1267839,4894240,6673735680,64.306,3928247641,898544851,545218022,-203826102,36528915,20054042,213050666,21725857,1076173207
17,1.58318,1426,71876,1122767258,1106253674,172641,121173,1352,875466,350721,28057680,43182592,3312640,1387776,5186144,7057971200,32.6378,4234498366,939873673,557005801,-220339686,16513584,23404972,231440963,23789477,1082464197
18,1.62893,1485,72661,1130973394,1124617305,188123,134932,1478,923854,357394,28591520,43979008,3422912,1512262,5280416,7442227200,16.257,4565949730,962178210,562786180,-226695775,6356089,24774143,237896950,23977763,1100639542
19,1.54024,1561,73754,1145826369,1139067546,202584,147670,1597,971484,363629,29090320,44632128,3533184,1628545,5385344,7817871360,17.4481,4893243167,981367203,570738846,-233454598,6758823,25952967,244887895,24297293,1114770253
20,1.57581,1641,75041,1158556346,1151846675,215830,159362,1707,1019179,369592,29567360,45227712,3632640,1735063,5488064,8194682880,15.7658,5223540053,999138895,579992988,-240164269,6709671,27274700,251789882,24604291,1127242384
21,1.60283,1721,76310,1171592987,1164063021,230533,172427,1811,1067026,375496,30039680,45800704,3737472,1853207,5592352,8573368320,16.4002,5555955081,1016713411,588942572,-247694235,7529966,28791802,259771398,25146065,1138916956
22,0.979176,1727,76325,1164075528,1164075528,230533,172427,1811,1112897,375519,30041520,45802240,3737472,1853207,5593056,8957603840,0.001945,5940067516,1016750385,589016176,-247694235,0,28791802,259771398,25148483,1138927045
23,0.842419,1727,76338,1164082457,1164078796,230575,172463,1822,1158768,375540,30043200,45802624,3737856,1853598,5593792,9341839360,0.183561,6324195536,1016782018,589085114,-247697896,3661,28802361,259775396,25151030,1138927766
24,2.05814,1836,79379,1229535334,1210580576,255701,193595,1968,1207545,391103,31288240,47435392,3993472,2055336,5837952,9731287040,31.6907,6584157828,1056089661,613806321,-266652654,18954758,31076958,279852148,26683228,1183897348
25,1.51837,1931,81164,1218599734,1214858869,264970,201763,2094,1256392,394790,31583200,47586368,4063936,2130118,5953024,10121338880,11.5867,6948192488,1061076685,626817319,-270393519,3740865,31963684,283659958,26980472,1187878397
26,1.54745,2031,82850,1222668033,1216972243,277358,212647,2202,1305302,398504,31880320,47684672,4160192,2229762,6066080,10512404480,13.7447,7313510389,1066865077,638967462,-276089309,5695790,33119945,289488465,27285796,1189686447
27,2.02075,2143,86204,1270086740,1246071617,308276,238789,2341,1354172,412295,32983600,48765632,4465920,2477801,6358624,10903429120,38.233,7588827703,1101932091,666493277,-300104432,24015123,35944234,314310992,28524950,1217546667
28,1.55576,2243,87644,1257085084,1250383048,320054,249097,2463,1402940,415863,33269040,48889024,4560000,2572635,6460544,11293941760,12.5878,7953826513,1106394146,676531585,-306806468,6702036,37051141,321409581,29040143,1221342905
29,2.18713,2372,90211,1337258056,1294528441,377473,297499,2717,1443085,436186,34894880,50553664,5137216,3033257,6883936,11619184640,72.5697,8114642175,1163185470,697292471,-349536083,42729615,42872435,365252768,30593848,1263934593
30,1.94029,2490,92865,1363257339,1325008663,430823,343008,2927,1483217,452933,36234640,51742272,5639104,3461107,7246912,11944468480,71.695,8303611362,1209940655,718123041,-387784759,38248676,48597686,404277654,31685613,1293323050
31,1.22984,2554,93675,1333873121,1327215601,444623,355567,3031,1523363,455386,36430880,51816192,5718528,3572027,7320384,12269639680,13.5691,8610589284,1213427703,723964813,-394442279,6657520,50072454,410909665,31734235,1295481366
32,1.21985,2615,94528,1336399960,1330323109,456430,366238,3127,1563546,457878,36630240,51910848,5791232,3666963,7391936,12595281920,12.475,8917776132,1216632271,730031278,-400519130,6076851,51273936,417228916,32029158,1298293951
33,1.23496,2679,95556,1338294911,1333170876,467796,376635,3230,1603775,460343,36827440,51999104,5853248,3758406,7464032,12921047040,11.2307,9225300295,1219477023,737455681,-405643165,5124035,52581067,422352591,32107512,1301063364
34,1.54406,2714,95983,1364294550,1348198326,485476,388798,3326,1648884,470364,37629120,52712768,6216896,3900238,7673920,13298063360,33.7017,9508143971,1278929449,741052225,-421739389,16096224,57246335,441237354,34983428,1313214898
35,1.46964,2742,96245,1375063729,1354364690,507369,404217,3418,1694029,478149,38251920,52871424,6636096,4075802,7941152,13675489280,40.7486,9814176967,1321012799,743496396,-442438428,20699039,63184347,463828147,36915528,1317449162
36,1.53472,2776,96490,1380960601,1359242163,535188,425367,3537,1741440,485699,38855920,52969856,7067456,4298925,8179232,14072944640,47.6999,10142986287,1361238663,745320661,-464156866,21718438,70811969,487570035,38977868,1320264295
37,2.19234,2877,97848,1440612973,1388898842,622012,498732,3782,1788524,505702,40456160,53898560,7935936,4994678,8686688,14468106240,110.002,10366453330,1440406360,756476711,-515870997,51714131,83318934,543227826,43161454,1345737388
38,1.51222,2912,98325,1414295619,1395159420,650812,521386,3908,1835523,513397,41071760,54045632,8332992,5225700,8917504,14863370240,46.5865,10691537418,1480939984,760726222,-535007196,19136199,90828295,564622551,45490871,1349668549
39,1.98198,3024,100059,1472412023,1439311661,712176,575779,4158,1876216,530689,42455120,55677824,8779200,5717854,9219200,15191316480,66.1387,10879828673,1529416884,774651704,-568107558,33100362,97595862,599541613,47549094,1391762567
40,1.90844,3150,104017,1495873234,1465208966,766432,623560,4403,1913449,545953,43676240,56585536,9193600,6153119,9616256,15492782080,64.4384,11056218947,1565742505,806839836,-598771826,30664268,103506754,632176682,49971132,1415237834
41,1.89497,3258,107653,1531499269,1495248446,839344,688928,4677,1950738,563025,45042000,57693184,9676480,6737777,10015456,15794718720,77.715,11218933518,1608442103,837072004,-635022649,36250823,111097491,668918680,50887068,1444361378
42,1.80897,3361,110194,1560399812,1527573640,904662,747417,4943,1988065,578196,46255680,58795968,10113664,7261651,10340864,16096768000,70.4029,11397035853,1646798158,857511528,-667848821,32826172,119343603,703855557,53301104,1474272536
43,1.27591,3426,111347,1543092424,1533392366,921690,762359,5090,2025433,582690,46615200,59032576,10247168,7398610,10459840,16399237120,20.6331,11667097406,1655089924,866108545,-677548879,9700058,122237899,713802795,53655527,1479736839
44,1.9613,3502,111913,1606698523,1574615210,1007426,841237,5439,2074134,597635,47810800,60468672,10686208,8086235,10719520,16789903360,72.6016,11933084982,1702082705,870488271,-709632192,32083313,131531774,748065201,55967222,1518647988
45,1.31351,3562,112950,1583390928,1578451857,1021238,854112,5564,2122847,600194,48015520,60579840,10746176,8197356,10792352,17180590080,12.9025,12304855713,1704864683,877846564,-714571263,4939071,133119125,753372320,56394555,1522057302
46,1.4515,3663,114123,1588662939,1581360929,1041765,872986,5744,2171519,603472,48277760,60664960,10851968,8362472,10893248,17570560000,20.6967,12671444675,1709740074,886141049,-721873273,7302010,135256041,761314178,57164229,1524196700
47,2.0233,3782,115460,1648421098,1604968423,1138348,961269,6107,2220326,618425,49474000,61673088,11383232,9136951,11237696,17961431040,94.1932,12939794653,1755518927,895823089,-765325948,43452675,148232279,804376939,56968613,1547999810
48,0.766179,3787,115474,1604977080,1604977080,1138348,961269,6107,2257694,618450,49476000,61675200,11383232,9136951,11238400,18263900160,0.003201,13242118300,1755563451,895915381,-765325948,0,148232279,804376939,56969346,1548007734
