#Backup ID,Process Time
0,1.57053
1,1.9125
2,2.06282
3,2.26555
4,2.32099
5,2.15208
6,3.46501
7,6.23316
8,7.0372
9,7.17776
10,2.42542
11,2.19079
12,1.98145
13,3.60598
14,4.12532
15,4.38154
16,7.82322
17,6.84618
18,1.69357
19,1.97211
20,2.17127
21,2.28715
22,6.879
23,6.87166
24,3.65838
25,3.74943
26,3.70959
27,3.88759
28,3.94174
29,3.69154
30,3.67627
31,3.52078
32,4.08943
33,4.14207
34,7.77558
35,8.01487
36,8.04824
37,7.81717
38,7.79666
39,4.17153
40,3.82812
41,3.69201
42,3.29779
43,3.2996
44,2.22456
45,2.25204
46,2.37924
47,2.14877
48,3.29556
49,3.82449
50,3.92222
51,7.7287
52,4.30134
53,3.90939
54,3.77632
55,3.35985
56,3.37527
57,3.68335
58,3.69821
59,3.46714
60,4.02284
61,4.02751
62,7.6726
63,7.05779
64,6.89772
65,5.51969
66,3.36177
67,2.022
68,1.98597
69,2.18863
70,3.35248
71,1.98607
72,1.98988
73,1.95258
74,1.97778
75,2.24044
76,2.29839
77,2.30217
78,2.17253
79,1.98648
80,2.03082
81,1.92597
82,1.55114
83,2.00895
84,2.00745
85,1.92488
86,1.80834
87,1.77984
88,2.00212
89,1.93268
90,1.8197
91,1.83255
92,1.8836
93,1.81323
94,1.84341
