#logical data size (B), logical chunk num, unique data size (B), unique chunk num, online size (B), total process time (s), enclave speed (MiB/s)
208250880, 24641, 207122891, 24495, 100654960, 2.178679, 91.157768
420976640, 49838, 343883169, 39626, 167856699, 1.758799, 115.346378
640409600, 75769, 480951594, 54678, 234554215, 1.795338, 116.561660
864501760, 102154, 615776387, 69374, 300239983, 1.801134, 118.653547
1092659200, 128934, 760639837, 85204, 370933548, 1.867728, 116.498704
1326612480, 156457, 913110906, 101934, 445380866, 1.949791, 114.430333
1563217920, 184290, 1067086366, 118788, 520682493, 1.956037, 115.358008
1803356160, 212510, 1227283855, 136407, 599158786, 2.023735, 113.163864
2049822720, 241451, 1397466120, 155151, 682755922, 2.101211, 111.863505
2300139520, 270745, 1554665685, 172102, 759435307, 2.026368, 117.807182
2554542080, 300593, 1715971804, 189672, 837792534, 2.084031, 116.417264
2817464320, 331389, 1885698253, 208165, 920282293, 2.139609, 117.190658
3082168320, 362473, 2056620195, 226816, 1003671796, 2.173795, 116.129353
3355002880, 394467, 2249505687, 248136, 1097797331, 2.343453, 111.030736
3639654400, 427730, 2446105951, 269719, 1193673939, 2.430640, 111.684513
3929231360, 461573, 2642868685, 291289, 1289461552, 2.460436, 112.241127
4223057920, 495907, 2845343213, 313484, 1388374089, 2.485820, 112.725315
4533319680, 533891, 3055374134, 338250, 1490071035, 2.720878, 108.747497
4869498880, 573226, 3288730076, 363914, 1602875341, 2.914341, 110.009594
5222645760, 614460, 3527677934, 390057, 1718297707, 3.142956, 107.156164
5588357120, 657190, 3767058441, 416136, 1833634727, 3.030268, 115.095276
5970749440, 701984, 4022803683, 444128, 1956473218, 3.204163, 113.813727
6365849600, 748244, 4281805935, 472329, 2080690715, 3.271900, 115.161489
6770524160, 795533, 4539452538, 500237, 2204445410, 3.294335, 117.148904
7183421440, 843831, 4803542209, 528928, 2330728825, 3.385641, 116.305755
7597076480, 892453, 5064122709, 557325, 2455574488, 3.386220, 116.499279
8028426240, 943081, 5347599334, 588339, 2591026447, 3.624724, 113.489244
8468920320, 994732, 5618093235, 617593, 2720124264, 3.620648, 116.025609
8918517760, 1047519, 5905656166, 648825, 2857749941, 3.760802, 114.010132
9369497600, 1100481, 6177498332, 678191, 2988052255, 3.681272, 116.831326
9891061760, 1161683, 6631310292, 730293, 3203163432, 5.087436, 97.770732
10425190400, 1224165, 6949135668, 764459, 3354117022, 4.489649, 113.457592
10969159680, 1287906, 7270247371, 799067, 3506600530, 4.379133, 118.463982
11518976000, 1352398, 7592912324, 833924, 3660038461, 4.401560, 119.127242
12079032320, 1418053, 7925229976, 869731, 3817459631, 4.507045, 118.505879
12650547200, 1485051, 8269312100, 906885, 3980076728, 4.611878, 118.181587
13229209600, 1552883, 8610980264, 943650, 4141537004, 4.662381, 118.363443
13805813760, 1620506, 8953041890, 980487, 4303195792, 4.593667, 119.706670
14386237440, 1688546, 9294603528, 1017268, 4465139877, 4.611503, 120.033567
14970695680, 1757006, 9640069539, 1054333, 4628802140, 4.653872, 119.767542
15425167360, 1810412, 9911406345, 1083547, 4758303941, 3.693324, 117.351732
15886080000, 1864540, 10189212551, 1113534, 4891105837, 3.729367, 117.864653
16352163840, 1919273, 10465661096, 1143338, 5023078111, 3.745985, 118.658293
16824729600, 1974837, 10747386683, 1173737, 5157832769, 3.811061, 118.254163
17304453120, 2031182, 11028976023, 1204027, 5292106574, 3.838896, 119.174888
17793658880, 2088613, 11306693526, 1233728, 5424127671, 3.871854, 120.496013
18292684800, 2147190, 11593204633, 1264387, 5560013927, 3.923600, 121.293762
18798346240, 2206496, 11876362472, 1294554, 5694329950, 3.967816, 121.536968
19312179200, 2266715, 12150398334, 1323504, 5823955378, 3.945858, 124.188275
19902177280, 2335940, 12489094108, 1359838, 5983971351, 4.693692, 119.877064
20615280640, 2419066, 13077690238, 1426420, 6255014159, 6.630474, 102.567080
21337559040, 2503193, 13492750308, 1471068, 6449872180, 5.951749, 115.733772
22117294080, 2593570, 13956496725, 1520912, 6655969816, 6.298249, 118.066669
22935326720, 2687808, 14407514754, 1568890, 6859855463, 6.497265, 120.071556
23760384000, 2782874, 14838437071, 1615142, 7060669888, 6.353205, 123.848662
24594739200, 2878878, 15284296250, 1662942, 7268794668, 6.444059, 123.478560
25430681600, 2975128, 15725714597, 1710128, 7473468411, 6.375312, 125.047495
26264494080, 3070965, 16164609531, 1757037, 7676806441, 6.513467, 122.083300
27094425600, 3166442, 16595252208, 1803100, 7877939846, 6.395408, 123.758230
27933890560, 3262959, 17033027647, 1849992, 8082380416, 6.339950, 126.274840
28529817600, 3332759, 17377600787, 1886832, 8245446430, 4.756422, 119.484838
29384591360, 3430872, 17821510252, 1934164, 8450838788, 6.571272, 124.051444
30015549440, 3504712, 18178220181, 1972423, 8619167413, 5.185577, 116.038874
30656389120, 3579605, 18529206646, 2009807, 8784526817, 4.985422, 122.587886
31304744960, 3655420, 18886528805, 2047926, 8953007113, 5.147069, 120.130566
31962798080, 3732183, 19242462056, 2085663, 9120661787, 5.173148, 121.312663
32629002240, 3809922, 19606090117, 2124329, 9292131557, 5.305907, 119.742354
33305978880, 3888789, 19966345083, 2162403, 9461672478, 5.284818, 122.164138
33992949760, 3968924, 20325995601, 2200450, 9630804646, 5.331280, 122.887277
34688532480, 4050053, 20677381896, 2237353, 9795450791, 5.316099, 124.783112
35551836160, 4149217, 21119663880, 2284535, 10000116977, 6.652283, 123.763608
36571084800, 4265450, 21893659608, 2371143, 10338379605, 9.014177, 107.833610
37635307520, 4386386, 22408755401, 2425654, 10566443495, 7.725304, 131.376302
38705633280, 4508081, 22895215145, 2477154, 10788399121, 7.526762, 135.615048
39797422080, 4632072, 23410168790, 2531806, 11020820745, 7.810534, 133.308547
40669081600, 4732223, 23848856535, 2578458, 11224578006, 6.448348, 128.913529
41540311040, 4832181, 24291221580, 2625447, 11428474571, 6.421848, 129.381627
42453647360, 4936619, 24729783746, 2671964, 11630471727, 6.508374, 133.831490
43391784960, 5043629, 25170334985, 2718584, 11832852266, 6.665594, 134.223257
44339476480, 5152164, 25614745161, 2765822, 12036467801, 6.753130, 133.832617
45297090560, 5261707, 26053001409, 2811976, 12237120278, 6.800773, 134.286493
46262865920, 5372102, 26494109032, 2858319, 12439451137, 6.813578, 135.176431
47246745600, 5484739, 26944336428, 2905801, 12645363749, 6.905977, 135.867927
48257771520, 5600065, 27378413830, 2950934, 12842848523, 7.259611, 132.815581
49277399040, 5731739, 27852925304, 3017224, 13061588793, 8.061934, 120.615299
50296299520, 5863315, 28202607469, 3067312, 13221627692, 7.340526, 132.374604
51315251200, 5994894, 28550960051, 3117225, 13381004060, 7.307285, 132.983461
52334315520, 6126492, 28898759679, 3167083, 13540196193, 7.290687, 133.300945
53353451520, 6258093, 29246788347, 3216960, 13699469498, 7.316972, 132.831426
54372659200, 6389710, 29594298207, 3266777, 13858548553, 7.242315, 134.210151
55391877120, 6521331, 29941893029, 3316599, 14017559428, 7.210884, 134.796504
56411115520, 6652951, 30289425479, 3366420, 14176361037, 7.384933, 131.622248
57475020800, 6789356, 30670084455, 3420253, 14351152919, 7.716632, 131.484713
58538926080, 6925770, 31021211254, 3470576, 14511665450, 7.481347, 135.619848
59602882560, 7062177, 31372754456, 3520920, 14672418016, 7.456213, 136.083555
60666931200, 7198603, 31724239727, 3571264, 14833059258, 7.468119, 135.878373
61731010560, 7335032, 32075439703, 3621567, 14993603928, 7.462843, 135.978361
62795141120, 7471465, 32426317718, 3671829, 15153917690, 7.415077, 136.860883
63859333120, 7607907, 32777087631, 3722086, 15314241117, 7.506271, 135.205960
64923545600, 7744382, 33128584827, 3772484, 15474696052, 7.484704, 135.598163
65993615360, 7881525, 33508605603, 3826224, 15649622409, 7.698798, 132.552906
67063726080, 8018709, 33862116061, 3876836, 15811097061, 7.526767, 135.587711
68133898240, 8155889, 34215601003, 3927427, 15972627790, 7.536012, 135.429150
69204080640, 8293084, 34568689561, 3977998, 16133951357, 7.463591, 136.744560
70274334720, 8430283, 34921555053, 4028520, 16295115848, 7.475046, 136.544153
71344599040, 8567471, 35273441767, 4078922, 16455836433, 7.464459, 136.739125
72414904320, 8704660, 35626008752, 4129407, 16616888475, 7.435516, 137.276640
73485219840, 8841866, 35978074567, 4179847, 16777709590, 7.411358, 137.725424
74555535360, 8979067, 36330112970, 4230278, 16938284387, 7.534595, 135.472766
75647006720, 9118659, 36718737365, 4285082, 17116478693, 7.788541, 133.646109
76738508800, 9258267, 37075851195, 4336213, 17279401757, 7.564569, 137.606981
77830041600, 9397878, 37431939449, 4387209, 17441794238, 7.600799, 136.954917
78921697280, 9537501, 37788427434, 4438231, 17604411967, 7.603715, 136.917807
80013383680, 9677136, 38144223398, 4489194, 17766717616, 7.593776, 137.100868
81105100800, 9816774, 38500002996, 4540152, 17929013454, 7.578363, 137.383572
82196869120, 9956428, 38856659098, 4591239, 18091745454, 7.584814, 137.273163
83288647680, 10096075, 39212190313, 4642169, 18253701458, 7.541643, 138.060257
84415201280, 10239271, 39691807369, 4707398, 18469603649, 8.309486, 129.293826
85541754880, 10382472, 40054924660, 4759302, 18635288683, 7.784070, 138.021014
86668349440, 10525662, 40416817942, 4811009, 18800239118, 7.793960, 137.850887
87795005440, 10668864, 40778212398, 4862690, 18965073995, 7.798589, 137.776576
88921702400, 10812072, 41139497015, 4914367, 19129727146, 7.731407, 138.978837
90048419840, 10955274, 41500104009, 4965966, 19294126173, 7.753727, 138.581289
91175147520, 11098477, 41860360892, 5017529, 19458328296, 7.759654, 138.476696
92301885440, 11241713, 42222653162, 5069377, 19623264071, 7.858967, 136.728022
93438648320, 11386306, 42673149839, 5131998, 19831025752, 8.232197, 131.690430
94575452160, 11530889, 43037933715, 5184203, 19997333077, 7.774938, 139.440421
95712307200, 11675476, 43403850698, 5236514, 20164152172, 7.872549, 137.717714
96849213440, 11820075, 43769684520, 5288837, 20330971865, 7.779376, 139.373425
97986150400, 11964694, 44134222678, 5341013, 20497115645, 7.720236, 140.444875
99123128320, 12109300, 44498902157, 5393176, 20663309614, 7.847289, 138.175954
100260136960, 12253926, 44863438639, 5445320, 20829422472, 7.884559, 137.526517
101397155840, 12398548, 45228399669, 5497542, 20995519630, 7.836823, 138.365471
102548981760, 12545097, 45696227688, 5562081, 21210256463, 8.353725, 131.494249
103700858880, 12691644, 46065664920, 5614873, 21378620842, 7.878651, 139.429405
104852695040, 12838179, 46435059172, 5667656, 21546872144, 7.911075, 138.853008
106004582400, 12984719, 46803666108, 5720356, 21714792207, 7.864965, 139.673271
107156531200, 13131282, 47173497369, 5773211, 21883257203, 7.958627, 138.036873
108308510720, 13277837, 47541313788, 5825817, 22050757109, 7.890000, 139.241227
109460510720, 13424392, 47908797609, 5878396, 22218141348, 7.942218, 138.328212
110612531200, 13570948, 48275308610, 5930869, 22385045487, 7.912341, 138.853007
111764561920, 13717508, 48642399864, 5983398, 22551967901, 8.491488, 129.383932
112924160000, 13865135, 49100153016, 6046844, 22762832895, 8.351508, 132.416673
114083840000, 14012779, 49474191813, 6100271, 22933113505, 7.964533, 138.860248
115243591680, 14160436, 49846745120, 6153532, 23102781012, 7.944903, 139.211944
116403363840, 14308094, 50218033809, 6206651, 23271748392, 7.953243, 139.068418
117563156480, 14455751, 50589413070, 6259771, 23440836103, 7.919292, 139.667088
118722979840, 14603419, 50961198737, 6312927, 23610075307, 7.897679, 140.053014
119882833920, 14751091, 51332401945, 6366022, 23779047214, 7.878519, 140.397332
121042749440, 14898780, 51703083105, 6419081, 23947776974, 7.924154, 139.596182
122202664960, 15046488, 52072953739, 6472071, 24115809329, 7.946546, 139.202824
123417753600, 15199872, 52568446349, 6539943, 24337206725, 8.721038, 132.873957
124632872960, 15353317, 52949608612, 6594470, 24510828976, 8.282576, 139.911560
125848012800, 15506695, 53325633853, 6648297, 24682005319, 8.183430, 141.609039
127063173120, 15660073, 53700397825, 6701986, 24852560620, 8.259653, 140.304585
128278364160, 15813466, 54076563963, 6755848, 25023776839, 8.254735, 140.391725
129493585920, 15966845, 54451089864, 6809497, 25194194060, 8.215446, 141.066691
130708838400, 16120231, 54825303209, 6863110, 25364461963, 8.210438, 141.156303
131924121600, 16273635, 55199951249, 6916796, 25534665084, 8.223475, 140.936085
133193093120, 16432672, 55710226024, 6986179, 25759670799, 9.034364, 133.953596
134462115840, 16591717, 56091472549, 7040759, 25932917110, 8.475522, 142.791721
135731169280, 16750765, 56471131663, 7095152, 26105416954, 8.423621, 143.674991
137000284160, 16909823, 56852373662, 7149735, 26278626674, 8.508283, 142.252234
138269429760, 17068894, 57232198387, 7204162, 26451146551, 8.436096, 143.472948
139538616320, 17227987, 57612370379, 7258637, 26623753869, 8.512632, 142.187590
140807874560, 17387065, 57993502190, 7313186, 26796967023, 8.420388, 143.753350
142077173760, 17546148, 58373412370, 7367606, 26969567798, 8.416443, 143.825372
143346472960, 17705238, 58752808817, 7421960, 27141673622, 8.432033, 143.559453
144686622720, 17871608, 59280815751, 7493103, 27370947410, 9.433013, 135.488672
146026885120, 18038000, 59668704492, 7548575, 27546655011, 8.842085, 144.555705
147367188480, 18204393, 60055313390, 7603892, 27721876193, 8.775886, 145.650581
148707532800, 18370801, 60440902354, 7659113, 27896529557, 8.841903, 144.567516
150047907840, 18537208, 60826510691, 7714323, 28071251599, 8.823878, 144.866152
151388282880, 18703598, 61210797208, 7769365, 28245227973, 8.783706, 145.528693
152728678400, 18870016, 61596916079, 7824654, 28420139883, 8.775254, 145.671086
154069094400, 19036431, 61982393519, 7879855, 28594504160, 8.732625, 146.384428
155427072000, 19204970, 62470269062, 7947283, 28816224795, 9.336104, 138.716145
156785080320, 19373528, 62861274157, 8003233, 28993312637, 8.915808, 145.258585
158143160320, 19542094, 63251376949, 8059071, 29169917829, 8.950071, 144.710139
159501312000, 19710653, 63640940541, 8114829, 29346256370, 8.863100, 146.137850
160859514880, 19879237, 64031160386, 8170643, 29522865067, 8.944846, 144.807770
162217758720, 20047806, 64420492965, 8226364, 29699042716, 8.850868, 146.349744
163576033280, 20216370, 64809526213, 8282043, 29875173240, 8.917933, 145.252444
164934328320, 20384950, 65197438473, 8337612, 30050718773, 8.871428, 146.016075
166292654080, 20553560, 65587111558, 8393455, 30226960238, 8.886772, 145.767258
167663493120, 20723675, 66087213558, 8462678, 30452831960, 9.435474, 138.555200
169034352640, 20893798, 66480158657, 8519013, 30630293990, 9.100470, 143.657802
170405345280, 21063940, 66872486283, 8575207, 30807802201, 8.944951, 146.169663
171776358400, 21234087, 67265843156, 8631553, 30985824718, 8.975232, 145.678686
173147412480, 21404307, 67659982040, 8688071, 31164211791, 8.998449, 145.307159
174518497280, 21574459, 68051992394, 8744241, 31341544576, 9.020253, 144.959167
175889623040, 21744621, 68445167261, 8800529, 31519379310, 8.959814, 145.941358
177260779520, 21914791, 68838154321, 8856854, 31697187849, 8.982679, 145.573132
178631956480, 22084968, 69230329620, 8913055, 31874398454, 8.900294, 146.922815
180008785920, 22255865, 69717097007, 8980604, 32096671358, 9.486052, 138.418688
181384161280, 22426581, 70110743993, 9037002, 32274651181, 9.005604, 145.649326
182759557120, 22597302, 70506037912, 9093587, 32453478706, 9.000510, 145.733929
184135045120, 22768161, 70910504930, 9151442, 32636091633, 9.000980, 145.736084
185510553600, 22938889, 71303622257, 9207764, 32813771730, 9.004892, 145.674941
186886092800, 23109615, 71697008874, 9264109, 32991726466, 8.948904, 146.589617
188261672960, 23280342, 72090112506, 9320425, 33169431528, 9.012434, 145.560619
189637263360, 23451071, 72482841287, 9376713, 33346779964, 8.956043, 146.478220
191035095040, 23624353, 72984469360, 9445834, 33572153903, 9.535008, 139.808605
192432947200, 23797633, 73382031472, 9502769, 33751793186, 9.051854, 147.273222
193830860800, 23970923, 73780903475, 9559830, 33931978040, 9.086909, 146.711527
195228825600, 24144207, 74178132686, 9616711, 34111393634, 9.077362, 146.871208
196626841600, 24317512, 74575997617, 9673673, 34291169386, 9.172601, 145.351570
198024898560, 24490811, 74973324902, 9730548, 34470612509, 9.039934, 147.489021
199422996480, 24664123, 75370775185, 9787441, 34650152521, 9.154636, 145.645341
200821145600, 24837474, 75768490925, 9844409, 34829574004, 9.066783, 147.061963

