Backup ID,Backup Online Processtime(s),Online Load Times,Online Delta num,Online Size,Offline Size,Offline Delta times,Offline Decompress times,Offline Delete times,Logic chunk num,Unique chunk num,FpIndex size,SfIndex size,Localmap size,Coldmap size,Deltamap size,total logical size
0,1.62671,9,32,100594084,100594084,0,0,0,24641,24495,1959600,4684416,0,0,1632,208250880
1,1.44622,33,8452,130320561,130320561,0,0,0,49838,39626,3170080,5971264,0,0,538720,420976640
2,1.51034,69,17234,158117594,156362668,714,309,21,75769,54678,4374240,7095872,25920,5817,952896,640409600
3,1.49417,110,24255,190904277,181496661,5497,2934,69,102154,69374,5549920,8147264,164160,44321,1341216,864501760
4,1.37239,152,25717,245355767,210865947,25360,14924,128,128934,85204,6816320,9374080,668288,203520,1733408,1092659200
5,1.48622,208,27749,276261482,242639871,47208,29042,205,156457,101934,8154720,10693952,1163712,378681,2149600,1326612480
6,1.52883,272,30230,306748692,273142414,70162,44283,304,184290,118788,9503040,11958720,1657472,562808,2584000,1563217920
7,1.51044,328,31867,344293323,306777135,98853,64284,422,212510,136407,10912560,13339840,2213824,792926,3017472,1803356160
8,1.65883,387,33802,381992438,341107850,129174,85260,562,241451,155151,12412080,14754240,2812224,1036194,3504320,2049822720
9,1.6442,462,36642,405120831,367041086,159544,107019,724,270745,172102,13768160,15794304,3363520,1279964,3985216,2300139520
10,1.76406,523,39112,434078489,395331367,195454,133877,908,300593,189672,15173760,16930752,3943488,1568164,4449248,2554542080
11,1.69059,577,40598,471113697,427288901,236047,164569,1110,331389,208165,16653200,18272064,4577600,1893910,4909760,2817464320
12,1.8119,639,42683,501186198,461267080,276414,195522,1330,362473,226816,18145280,19621568,5180672,2217930,5384352,3082168320
13,1.91844,682,43793,551142848,504979916,324016,232231,1577,394467,248136,19850880,21385344,5878080,2599981,5884064,3355002880
14,2.0159,750,45131,594826541,551411161,367923,266051,1853,427730,269719,21577520,23310272,6524096,2952617,6366272,3639654400
15,2.14804,835,47654,635967191,593401145,411531,299701,2146,461573,291289,23303120,25030144,7161536,3302922,6905696,3929231360
16,2.1049,909,49479,684010581,644108452,451888,330813,2455,495907,313484,25078720,27129920,7753536,3627315,7373984,4223057920
17,2.23806,991,51234,738254130,708180820,494570,363658,2780,533891,338250,27060000,29621824,8384384,3970388,7870624,4533319680
18,2.42545,1059,52705,814887484,756810078,545275,402344,3125,573226,363914,29113120,31922752,9153792,4377737,8453024,4869498880
19,2.54648,1141,55466,860269272,808595047,597469,442758,3470,614460,390057,31204560,34117376,9908032,4797014,9080608,5222645760
20,2.52433,1227,58455,910967150,856667296,653083,485956,3851,657190,416136,33290880,36139584,10703104,5243823,9726112,5588357120
21,2.62226,1314,61324,966987630,909955317,714986,534655,4238,701984,444128,35530240,38392960,11548416,5740974,10388000,5970749440
22,2.67322,1395,64263,1021767149,960983678,783253,588744,4653,748244,472329,37786320,40485376,12456192,6289169,11101440,6365849600
23,2.71316,1482,66784,1073724343,1006132778,859218,649187,5085,795533,500237,40018960,42331968,13450176,6899041,11844384,6770524160
24,2.71744,1567,69839,1119233711,1052270714,935832,710380,5526,843831,528928,42314240,44259904,14437888,7514126,12594880,7183421440
25,2.75651,1662,72743,1164395373,1097534152,1019760,778744,6009,892453,557325,44586000,46134208,15434432,8187957,13333696,7597076480
26,2.86992,1748,75298,1221814701,1152019936,1106356,849220,6540,943081,588339,47067120,48474752,16466560,8883364,14080320,8028426240
27,2.92673,1857,78968,1265166108,1196229700,1195733,922628,7058,994732,617593,49407440,50290240,17489216,9600946,14877472,8468920320
28,2.86246,1935,81079,1324836653,1245026524,1304321,1012456,7684,1047519,648825,51906000,52246592,18690624,10472756,15707264,8918517760
29,3.01248,2053,85619,1355686767,1287306149,1400163,1092397,8258,1100481,678191,54255280,53934528,19708992,11242338,16518144,9369497600
30,3.98202,2143,86091,1500599066,1460582411,1475357,1155928,9026,1161683,730293,58423440,61579584,20455808,11847722,16999584,9891061760
31,3.96981,2366,101863,1541291283,1511626317,1506157,1179654,9431,1224165,764459,61156720,63737408,20909056,12096139,18236000,10425190400
32,3.8621,2552,115678,1602759805,1560880134,1553725,1217383,9880,1287906,799067,63925360,65820352,21538880,12478912,19196256,10969159680
33,3.64005,2675,123807,1678639251,1607046531,1635924,1282842,10392,1352398,833924,66713920,67708928,22610944,13139048,20178304,11518976000
34,3.64377,2810,129275,1740627497,1655750517,1734803,1362062,10901,1418053,869731,69578480,69726400,23869376,13932617,21162272,12079032320
35,3.68611,2942,134168,1797295370,1707175245,1848580,1454988,11465,1485051,906885,72550800,71883840,25204416,14845637,22170144,12650547200
36,3.64851,3075,138458,1850104210,1755670661,1972951,1557604,12031,1552883,943650,75492000,73902336,26597248,15843411,23181728,13229209600
37,3.57436,3207,142436,1899705734,1804429635,2103731,1666100,12625,1620506,980487,78438960,75889728,28024704,16892589,24195840,13805813760
38,3.67379,3370,148186,1941197938,1848300075,2234103,1774981,13215,1688546,1017268,81381440,77686976,29400896,17938491,25249472,14386237440
39,3.64795,3502,151816,1996092078,1897595058,2389917,1907805,13915,1757006,1054333,84346640,79655488,30872960,19188487,26261248,14970695680
40,2.63748,3532,152167,2025691782,1934201796,2563197,2060465,14888,1810412,1083547,86683760,81190976,32193984,20579584,27054976,15425167360
41,2.82427,3588,153197,2062357838,1975685563,2736374,2213226,15866,1864540,1113534,89082720,82780544,33501312,21969874,27872480,15886080000
42,2.8561,3658,154599,2101739939,2012356499,2912340,2368564,16855,1919273,1143338,91467040,84230400,34821824,23382531,28714848,16352163840
43,2.88897,3735,155896,2141573441,2052507191,3097624,2532752,17874,1974837,1173737,93898960,85715840,36173312,24869882,29559776,16824729600
44,2.91154,3812,157363,2180063147,2090111535,3287546,2701501,18893,2031182,1204027,96322160,87136000,37529088,26394313,30412544,17304453120
45,2.91691,3893,159189,2213923234,2122912798,3484828,2877445,19922,2088613,1233728,98698240,88342272,38895744,27977690,31280896,17793658880
46,2.84148,3947,160046,2255111407,2156562534,3708869,3078586,20982,2147190,1264387,101150960,89609472,40362368,29775286,32159264,18292684800
47,2.96283,4004,160935,2286898104,2185969860,3944212,3290468,22031,2206496,1294554,103564320,90665280,41864448,31663251,33055872,18798346240
48,2.95962,4076,162210,2309845774,2206907711,4181946,3504861,23050,2266715,1323504,105880320,91433280,43359040,33570218,33940896,19312179200
49,3.39161,4124,162724,2364770257,2257904753,4413795,3710554,24184,2335940,1359838,108787040,93238400,45034112,35430648,34953984,19902177280
