Backup ID,Backup Online Processtime(s),Online Load Times,Online Delta num,Online Size,Offline Size,Offline Delta times,Offline Decompress times,Offline Delete times,Logic chunk num,Unique chunk num,FpIndex size,SfIndex size,Localmap size,Coldmap size,Deltamap size,total logical size
0,1.50764,0,0,100654960,100538495,37,0,13,24641,24495,1959600,4682368,2368,361,2368,208250880
1,1.13983,0,0,167740234,130329335,8435,18,43,49838,39626,3170080,5968192,538752,67695,538112,420976640
2,1.15138,0,0,197026851,155931061,23155,5510,89,75769,54678,4374240,7071680,1129728,185685,953312,640409600
3,1.18295,0,0,221616829,180877162,42864,16001,157,102154,69374,5549920,8106112,1719936,343697,1341472,864501760
4,1.20677,0,0,251570727,210210089,66794,30533,242,128934,85204,6816320,9323008,2321664,535562,1734176,1092659200
5,1.26181,0,0,284657407,241893325,94427,48376,348,156457,101934,8154720,10634944,2948992,757148,2149984,1326612480
6,1.27172,0,0,317194952,272520090,125852,69596,474,184290,118788,9503040,11893056,3602432,1009178,2583744,1563217920
7,1.33959,0,0,350996383,305943117,160121,93523,625,212510,136407,10912560,13268992,4264576,1284085,3016960,1803356160
8,1.37994,0,0,389540253,340362536,197719,119840,799,241451,155151,12412080,14678528,4987008,1585739,3503072,2049822720
9,1.31725,0,0,417041921,366267919,239011,149670,994,270745,172102,13768160,15712064,5720832,1917050,3983488,2300139520
10,1.39517,0,0,444625146,394510842,284556,183689,1211,300593,189672,15173760,16845824,6459200,2282495,4447360,2554542080
11,1.41224,0,0,477000601,426518856,332692,220435,1449,331389,208165,16653200,18184384,7188480,2668749,4906880,2817464320
12,1.42216,0,0,509908359,460857857,382178,258410,1699,362473,226816,18145280,19531200,7925760,3065863,5381856,3082168320
13,1.56448,0,0,554983392,504358465,433765,297993,1979,394467,248136,19850880,21293376,8694336,3479959,5881312,3355002880
14,1.59578,0,0,600235073,550703983,484226,337037,2288,427730,269719,21577520,23217728,9425472,3885192,6363232,3639654400
15,1.65824,0,0,646491596,592707199,537450,377782,2610,461573,291289,23303120,24931904,10224256,4312578,6902624,3929231360
16,1.65697,0,0,691619736,643618743,585282,414511,2936,495907,313484,25078720,27023872,10935232,4696864,7371232,4223057920
17,1.77497,0,0,745315689,708840825,634620,452255,3285,533891,338250,27060000,29511680,11678720,5093305,7867520,4533319680
