#Backup ID,Process Time
0,0.407299
1,0.666026
2,0.756738
3,0.768677
4,0.954315
5,1.5575
6,2.22826
7,2.77695
8,3.16841
9,4.04515
10,4.33759
11,4.92448
12,5.14411
13,5.18787
14,5.35878
15,5.57551
16,5.64355
17,6.01941
18,6.50973
19,7.07207
20,7.78148
21,8.37395
22,8.97079
23,9.40617
24,9.87223
25,10.4074
26,10.9333
27,11.7048
28,11.7956
29,12.7238
30,7.25799
31,8.88076
32,9.59737
33,10.6063
34,11.6417
35,12.6782
36,13.9936
37,14.7078
38,15.6853
39,16.5676
40,14.2535
41,14.9806
42,15.7617
43,15.9474
44,16.1337
45,16.5388
46,15.9914
47,15.2137
48,13.816
49,17.7915
50,11.8863
51,13.8686
52,15.3278
53,16.8915
54,18.2065
55,19.6379
56,21.0824
57,21.441
58,22.3267
59,23.3989
60,19.7473
61,24.7194
62,21.1923
63,22.2245
64,22.8377
65,23.3593
66,23.3512
67,23.2523
68,22.3389
69,20.5424
70,25.7752
71,15.9433
72,19.3183
73,21.2478
74,22.7068
75,28.7125
76,28.7542
77,30.292
78,30.6563
79,31.5972
80,31.2788
81,30.9551
82,29.5956
83,26.997
84,20.1664
85,22.261
86,23.1489
87,23.6014
88,24.033
89,23.7945
90,24.4417
91,24.4914
92,26.2833
93,27.5576
94,28.1132
95,28.3687
96,29.3552
97,28.9201
98,29.0217
99,29.1342
100,30.5191
101,32.4026
102,32.821
103,33.1096
104,33.3942
105,33.1566
106,33.5329
107,34.0305
108,33.9772
109,34.5766
110,35.8074
111,37.3296
112,37.1067
113,36.938
114,37.3221
115,38.3014
116,36.9941
117,34.9035
118,37.4446
119,37.7616
120,37.946
121,38.3772
122,38.8421
123,39.5598
124,39.8954
125,37.5713
126,39.5784
127,40.384
128,41.7017
129,40.996
130,41.4281
131,41.4524
132,41.6384
133,39.5354
134,42.3319
135,42.1456
136,42.5327
137,43.5756
138,42.8913
139,43.0833
140,43.3937
141,43.3979
142,41.098
143,43.5152
144,44.2166
145,44.5574
146,44.8573
147,45.0932
148,45.5882
149,45.8473
150,45.5814
151,42.831
152,45.7035
153,46.7997
154,46.477
155,46.3987
156,46.9162
157,47.173
158,47.4794
159,44.6394
160,47.0728
161,47.7379
162,48.9249
163,48.3685
164,48.4428
165,48.8309
166,49.6979
167,49.6452
168,46.7582
169,48.8879
170,49.5024
171,50.9081
172,50.1345
173,50.3877
174,50.9325
175,50.8851
176,49.2186
177,50.8965
178,52.1951
179,52.4368
180,51.9434
181,52.3209
182,52.5391
183,52.6397
184,52.9995
185,49.9936
186,52.8052
187,53.2946
188,54.3998
189,54.0325
190,55.1064
191,54.4234
192,54.5341
193,54.5695
194,52.0222
195,53.8653
196,54.1435
197,54.6348
198,54.9674
199,55.0321
200,55.3918
201,56.3133
202,53.2058
203,55.177
204,55.6165
205,55.9834
206,55.8922
207,56.5202
208,56.6416
209,56.8036
210,54.4808
211,0.074007
212,0.401544
