Backup ID,Backup Online Processtime(s),Online Load Times,Online Delta num,Online Size,Offline Size,Offline Delta times,Offline Decompress times,Offline Delete times,Logic chunk num,Unique chunk num,FpIndex size,SfIndex size,Localmap size,Coldmap size,Deltamap size,total logical size
0,2.44214,9,32,100594084,100594084,0,0,0,24641,24495,1959600,4684416,0,0,1632,208250880
1,1.93967,33,8452,130320561,130320561,0,0,0,49838,39626,3170080,5971264,0,0,538720,420976640
2,2.02294,70,17641,156360994,156360994,0,0,0,75769,54678,4374240,7096128,0,0,952960,640409600
3,2.0649,117,26832,181522624,181498876,17,10,4,102154,69374,5549920,8150848,448,156,1341888,864501760
4,2.1771,170,35764,212781070,210881422,1248,824,43,128934,85204,6816320,9393216,27136,10199,1734720,1092659200
5,2.22458,225,42971,253623394,243040491,8098,5200,106,156457,101934,8154720,10736832,185664,65314,2149824,1326612480
6,2.1749,293,47016,300313718,273865859,26566,17606,179,184290,118788,9503040,12016704,573824,213415,2582624,1563217920
7,2.24887,378,51946,330493279,307044415,44011,29644,272,212510,136407,10912560,13399424,920064,353440,3018144,1803356160
8,2.44733,486,57419,366627095,341489044,62527,42403,381,241451,155151,12412080,14830080,1288768,502113,3504128,2049822720
9,2.38522,604,63910,389089532,367376980,79867,54821,507,270745,172102,13768160,15882688,1603904,641463,3984704,2300139520
10,2.4904,719,69975,418622349,395539508,101233,70737,650,300593,189672,15173760,17026560,1953088,813106,4450304,2554542080
11,2.58219,841,75164,454403996,427974960,126407,89748,808,331389,208165,16653200,18377408,2347840,1015288,4911104,2817464320
12,2.63472,970,80525,487327609,461971418,152862,110092,979,362473,226816,18145280,19737472,2739584,1227775,5386080,3082168320
13,2.91002,1117,85137,536663406,505137173,183351,133212,1171,394467,248136,19850880,21511040,3211392,1472647,5886112,3355002880
14,3.04217,1281,89887,579856688,551653426,212811,156031,1384,427730,269719,21577520,23448064,3636800,1709392,6367584,3639654400
15,3.06314,1453,95671,622044808,593579331,241299,177846,1617,461573,291289,23303120,25182144,4064000,1938429,6907488,3929231360
16,3.12735,1644,101012,668454732,644421979,265138,196026,1866,495907,313484,25078720,27303744,4426368,2130378,7375136,4223057920
17,3.33129,1848,105974,725319916,705453518,294059,218323,2126,533891,338250,27060000,29803264,4850880,2363038,7875648,4533319680
18,3.58116,2026,111510,794651623,758167953,327449,243847,2414,573226,363914,29113120,32121920,5354496,2631590,8454592,4869498880
19,3.8131,2222,118749,842265297,810363214,360212,269317,2701,614460,390057,31204560,34326720,5821568,2895129,9083808,5222645760
20,3.70398,2424,126106,893115952,858097731,396305,297419,3015,657190,416136,33290880,36364160,6333312,3185435,9728704,5588357120
21,3.88708,2616,133969,946550452,910860778,435274,328175,3337,701984,444128,35530240,38629504,6859008,3498781,10391776,5970749440
22,4.02751,2831,142270,998910280,961459159,478153,362262,3676,748244,472329,37786320,40731904,7421952,3843500,11105888,6365849600
23,4.00777,3037,149741,1052543671,1006607946,529953,403494,4043,795533,500237,40018960,42594432,8098560,4259727,11849152,6770524160
24,4.07629,3251,158116,1096347173,1052652659,579084,442548,4416,843831,528928,42314240,44534976,8744000,4654608,12600352,7183421440
25,4.13041,3499,166244,1141926808,1098251672,635897,489045,4818,892453,557325,44586000,46418944,9404480,5111114,13339968,7597076480
26,4.28531,3725,173189,1203326318,1153058663,699242,540707,5250,943081,588339,47067120,48773760,10152640,5620010,14085856,8028426240
27,4.34787,3999,183246,1237749873,1197005742,752219,584129,5684,994732,617593,49407440,50600192,10764672,6045980,14883840,8468920320
28,4.3087,4213,189315,1308956568,1245587511,837714,654866,6207,1047519,648825,51906000,52568832,11709888,6732531,15713664,8918517760
29,4.37401,4482,199493,1331113772,1287942418,896861,703790,6669,1100481,678191,54255280,54267904,12364864,7207985,16524224,9369497600
30,5.98125,4723,201447,1495466219,1460674964,963623,760405,7290,1161683,730293,58423440,61921408,13014656,7745186,17004768,9891061760
31,5.5638,5132,222270,1519918721,1511743171,971820,766568,7520,1224165,764459,61156720,64085952,13145088,7811904,18242048,10425190400
32,5.54898,5488,242092,1577447032,1561445011,992303,783233,7849,1287906,799067,63925360,66180864,13389504,7977405,19202496,10969159680
33,5.61542,5823,260216,1635972161,1607504354,1027598,811803,8270,1352398,833924,66713920,68086208,13820160,8261854,20185472,11518976000
34,5.40957,6106,275754,1697170662,1656151275,1078127,852842,8710,1418053,869731,69578480,70131136,14427648,8668278,21167584,12079032320
35,5.37077,6362,289138,1759978502,1708437575,1145489,907943,9186,1485051,906885,72550800,72313344,15212800,9209546,22176128,12650547200
36,5.35771,6657,301667,1815296143,1757017167,1219986,968950,9647,1552883,943650,75492000,74347392,16076672,9807803,23189696,13229209600
37,5.43894,6957,314419,1862967614,1805327041,1301185,1036688,10144,1620506,980487,78438960,76349056,16939328,10459864,24204800,13805813760
38,5.41106,7277,328748,1904391793,1849387177,1376687,1099311,10630,1688546,1017268,81381440,78160064,17764096,11066302,25259200,14386237440
39,5.39169,7600,339460,1965692212,1898904523,1480172,1186931,11200,1757006,1054333,84346640,80140672,18780032,11897032,26270880,14970695680
40,3.66942,7682,340336,2024864053,1935537794,1648256,1334861,11985,1810412,1083547,86683760,81660480,20071168,13245613,27066752,15425167360
41,4.2306,7920,344332,2050520125,1976682709,1792807,1461925,12786,1864540,1113534,89082720,83247232,21190784,14406018,27884320,15886080000
42,4.35,8199,349666,2085279201,2013823589,1928132,1580531,13609,1919273,1143338,91467040,84697344,22261056,15492709,28726784,16352163840
43,4.33518,8443,353982,2129929222,2053662932,2081962,1716263,14463,1974837,1173737,93898960,86180352,23420544,16727611,29572352,16824729600
44,4.33591,8698,359022,2165269622,2090591697,2234051,1850730,15315,2031182,1204027,96322160,87598080,24548928,17948551,30426720,17304453120
45,4.26102,8953,363757,2201432415,2123713527,2401322,1999544,16188,2088613,1233728,98698240,88800384,25731136,19291060,31295136,17793658880
46,4.33974,9177,367916,2240772932,2157326752,2587624,2166196,17079,2147190,1264387,101150960,90060352,26989760,20785907,32174400,18292684800
47,4.36213,9415,371779,2274559485,2186076087,2789908,2347922,17953,2206496,1294554,103564320,91105984,28305984,22408533,33071808,18798346240
48,4.36439,9681,376884,2293467950,2207458884,2984006,2522419,18811,2266715,1323504,105880320,91865216,29561088,23965599,33958560,19312179200
49,4.97511,9897,380123,2353632024,2258009613,3191012,2706026,19807,2335940,1359838,108787040,93673216,31059776,25626611,34972512,19902177280
50,7.43171,10142,381830,2522369006,2461348503,3354107,2850861,21090,2419066,1426420,114113600,102544192,32229504,26937770,35748800,20615280640
51,7.56627,10772,406740,2547496334,2521655039,3404251,2894747,21799,2503193,1471068,117685440,105111360,32630528,27342467,37335008,21337559040
52,7.6793,11304,430533,2625222002,2595662598,3465244,2947801,22553,2593570,1520912,121672960,108532416,33139136,27834157,38601760,22117294080
53,7.41042,11765,451695,2708729808,2657212365,3558709,3028865,23393,2687808,1568890,125511200,111262016,33933312,28586061,39926624,22935326720
54,7.09754,12160,468758,2784355716,2720115459,3677625,3132315,24349,2782874,1615142,129211360,113855040,34923904,29542137,41178528,23760384000
55,7.14996,12512,484052,2862950041,2780428106,3814474,3249778,25293,2878878,1662942,133035360,116319808,36165632,30641633,42538592,24594739200
56,7.17236,12911,500188,2915319688,2838966918,3944848,3361942,26146,2975128,1710128,136810240,118736512,37332352,31688866,43860064,25430681600
57,7.11813,13321,515166,2977215212,2900854832,4076590,3475064,26982,3070965,1757037,140562960,121247552,38524992,32746950,45152992,26264494080
58,6.89075,13718,528543,3044484628,2957852799,4226305,3604342,27913,3166442,1803100,144248000,123550848,39834624,33949309,46456192,27094425600
59,7.0129,14139,541669,3106160908,3018875661,4391248,3748290,28914,3262959,1849992,147999360,125952896,41179072,35273842,47758176,27933890560
60,4.69463,14245,542716,3177400144,3051433713,4694237,4024282,30252,3332759,1886832,150946560,127574080,42908288,37704428,48794816,28529817600
61,6.94096,14621,551835,3218144117,3116096805,4895475,4200352,31308,3430872,1934164,154733120,130018880,44520064,39319604,50101024,29384591360
62,5.29945,14860,556106,3265931272,3161672570,5160550,4440741,32751,3504712,1972423,157793840,131738560,46101504,41447371,51180160,30015549440
63,5.49449,15192,563041,3295969226,3199100514,5403093,4660940,34092,3579605,2009807,160784560,133237376,47532608,43394388,52262624,30656389120
64,5.53603,15516,569717,3338542878,3238844143,5663680,4898013,35470,3655420,2047926,163834080,134701824,49038848,45485926,53367136,31304744960
65,5.64892,15844,575767,3379786404,3273516246,5946050,5155847,36788,3732183,2085663,166853040,136003200,50610624,47751436,54475552,31962798080
66,5.65145,16160,581696,3418738243,3313178193,6241181,5426032,38192,3809922,2124329,169946320,137425344,52208064,50119480,55587424,32629002240
67,5.6556,16491,588212,3454028087,3346443850,6536076,5695811,39539,3888789,2162403,172992240,138594112,53816384,52485319,56724032,33305978880
68,5.7741,16851,594659,3486852166,3379983464,6852524,5986974,40908,3968924,2200450,176036000,139729728,55436416,55023668,57847200,33992949760
69,5.67012,17204,600665,3518447554,3403793126,7184715,6292946,42249,4050053,2237353,178988240,140556544,57115392,57687861,58982400,34688532480
70,6.54794,17497,604922,3590660481,3478719746,7472243,6551010,43779,4149217,2284535,182762800,143068736,59002560,59995687,60267904,35551836160
71,9.63313,17757,607060,3810719565,3752621682,7659500,6716447,46009,4265450,2371143,189691440,154974656,60400896,61504853,61229824,36571084800
72,9.55379,18554,641084,3836660100,3819611582,7694108,6746807,46662,4386386,2425654,194052320,158073408,60673088,61784982,63259616,37635307520
73,9.02897,19233,671399,3911867950,3879297524,7755171,6799517,47550,4508081,2477154,198172320,160509440,61208320,62277918,64781920,38705633280
74,9.1625,19799,699040,3995382221,3945423168,7830355,6862347,48547,4632072,2531806,202544480,163283136,62000192,62884343,66315104,39797422080
75,6.8539,20164,705445,4122436949,3981506123,8135766,7137949,50075,4732223,2578458,206276640,165184512,63909760,65335167,67661216,40669081600
76,6.90613,20549,712756,4154075319,4055277710,8369259,7345229,51641,4832181,2625447,210035760,167681728,65588800,67210925,68906432,41540311040
77,7.50849,21075,727308,4195175152,4108896612,8553369,7507594,52899,4936619,2671964,213757120,169574656,66981568,68690087,70310368,42453647360
78,7.33938,21533,740249,4255671695,4155039744,8758219,7688366,54171,5043629,2718584,217486720,171342976,68523904,70335183,71667776,43391784960
79,7.27966,21986,750861,4313036870,4202445983,8997086,7900089,55439,5152164,2765822,221265760,173075328,70263232,72252443,73043296,44339476480
80,7.40823,22454,763433,4348789811,4242514787,9234269,8111522,56586,5261707,2811976,224958080,174502784,71912960,74155610,74426944,45297090560
81,7.42583,22923,776474,4388982482,4281096886,9474932,8326391,57787,5372102,2858319,228665520,175862976,73565312,76086895,75816192,46262865920
82,7.46829,23395,787528,4439667969,4320429740,9754603,8577332,58996,5484739,2905801,232464080,177253120,75406016,78330260,77228768,47246745600
83,7.86138,23912,801933,4456048306,4349730733,10010039,8807354,60137,5600065,2950934,236074720,178198656,77034048,80379437,78627584,48257771520
84,9.54527,24975,805147,4555958377,4596959135,10074477,8866150,62001,5731739,3017224,241377920,189183040,77396416,80904221,78974528,49277399040
85,8.42111,25705,845893,4625019540,4623275542,10077610,8868205,62229,5863315,3067312,245384960,190766400,77465664,80930417,81458912,50296299520
86,8.11777,26331,886454,4652397958,4646301429,10091658,8878522,62642,5994894,3117225,249378000,191840256,77704576,81044858,83075392,51315251200
87,7.95704,26862,926672,4676819219,4667629333,10114137,8895886,63078,6126492,3167083,253366640,192696960,78032064,81226862,84636320,52334315520
88,7.76107,27299,964936,4704514224,4688419547,10151586,8925909,63551,6258093,3216960,257356800,193478848,78507328,81528819,86191040,53353451520
89,7.71,27728,1003470,4723638826,4706449455,10192088,8959473,63966,6389710,3266777,261342160,194283904,78951360,81854902,87719904,54372659200
90,7.71417,28149,1037631,4755307391,4722563199,10267345,9022864,64343,6521331,3316599,265327920,194968640,79710848,82458835,89261920,55391877120
91,7.55155,28557,1066934,4785360281,4736938952,10388828,9127217,64726,6652951,3366420,269313600,195555008,80807232,83432606,90806176,56411115520
92,8.14095,29151,1084785,4852885358,4777217011,10589968,9302870,65522,6789356,3420253,273620240,197491520,82438464,85045706,92294688,57475020800
93,7.82731,29676,1110730,4852756345,4792791844,10758639,9451100,65998,6925770,3470576,277646080,198187328,83746688,86397454,93979936,58538926080
94,7.91152,30248,1136332,4869419608,4805892270,10944308,9615462,66495,7062177,3520920,281673600,198781440,85110336,87885291,95562880,59602882560
95,7.92031,30828,1160756,4885847674,4819741077,11161640,9810427,67045,7198603,3571264,285701120,199391936,86541888,89626689,97123840,60666931200
96,7.8998,31451,1183955,4903668298,4835422831,11395401,10021599,67615,7335032,3621567,289725360,200190272,87987648,91499627,98652416,61731010560
97,7.94003,32082,1206324,4922132091,4846795131,11662828,10264209,68202,7471465,3671829,293746320,200703232,89575936,93641962,100220288,62795141120
98,8.14935,32797,1231253,4924500537,4857366767,11920511,10499432,68770,7607907,3722086,297766880,201185600,91013376,95706266,101791232,63859333120
99,7.74933,33372,1247629,4963017492,4871643341,12302316,10850672,69487,7744382,3772484,301798720,201763904,92969600,98764291,103351488,64923545600
100,7.84893,33920,1257189,5015021964,4910746019,12749655,11263502,70586,7881525,3826224,306097920,203530496,95178240,102348490,104844128,65993615360
101,8.17266,34622,1279394,4998211741,4924629124,13056308,11546293,71408,8018709,3876836,310146880,204338112,96705472,104805824,106498496,67063726080
102,7.94366,35278,1297422,5026152165,4936566638,13445918,11906824,72288,8155889,3927427,314194160,204930624,98566528,107927088,108080448,68133898240
103,7.96175,35933,1316787,5033293421,4947736373,13841422,12274164,73183,8293084,3977998,318239840,205433024,100369152,111095595,109665120,69204080640
104,8.08613,36651,1336345,5043529352,4959302462,14243489,12648602,74169,8430283,4028520,322281600,205993152,102137408,114317053,111232928,70274334720
105,8.15935,37390,1356135,5053850948,4969207168,14665718,13042993,75201,8567471,4078922,326313760,206439680,103919040,117700045,112809728,71344599040
106,8.26468,38198,1377366,5059015488,4979922927,15079258,13430507,76226,8704660,4129407,330352560,206996608,105584832,121013482,114368096,72414904320
107,8.24517,38994,1399227,5067911630,4988961753,15504655,13829834,77270,8841866,4179847,334387760,207406208,107253376,124421878,115950272,73485219840
108,8.39942,39839,1419824,5080789822,4999688778,15972921,14270577,78371,8979067,4230278,338422240,207768768,109014848,128173495,117535392,74555535360
109,7.83076,40358,1426566,5155925366,5037946094,16658188,14917455,80073,9118659,4285082,342806560,209536384,111472000,133664133,119068960,75647006720
110,8.45365,41193,1446621,5134036718,5050332971,17136316,15367903,81349,9258267,4336213,346897040,210110976,113243584,137495529,120781216,76738508800
111,8.45271,42034,1466705,5145806378,5061214781,17636833,15840406,82661,9397878,4387209,350976720,210594496,115036480,141506225,122386656,77830041600
112,8.44265,42856,1490111,5147054925,5070957767,18090206,16268699,83962,9537501,4438231,355058480,211015616,116641600,145139706,123994496,78921697280
