#Backup ID,Backup Online Processtime(s),Online Load Times,Online Delta num,Online Size,Offline Size,Offline Delta times,Offline Decompress times,Offline Delete times,Logic chunk num,Unique chunk num,FpIndex size,SfIndex size,Localmap size,Coldmap size,Deltamap size,total logical size
0,1.50072,0,0,100654960,100654960,0,0,0,24641,24495,1959600,4687552,0,0,0,208250880
1,1.53054,26,8400,130407566,130407566,0,0,0,49838,39626,3170080,5975872,0,0,536896,420976640
2,1.51606,60,17492,156818098,156818098,0,0,0,75769,54678,4374240,7105280,0,0,945728,640409600
3,1.54069,102,26502,182712103,182712103,0,0,0,102154,69374,5549920,8169280,0,0,1325952,864501760
4,1.63258,152,35493,213631631,213631631,0,0,0,128934,85204,6816320,9432896,0,0,1703552,1092659200
5,1.76065,210,44615,248177054,248177054,0,0,0,156457,101934,8154720,10816192,0,0,2097120,1326612480
6,1.82122,278,53857,282946320,282946320,0,0,0,184290,118788,9503040,12162368,0,0,2499232,1563217920
7,1.89099,359,63105,321126119,321126119,0,0,0,212510,136407,10912560,13637312,0,0,2898848,1803356160
8,2.01278,456,72996,361492534,361492534,0,0,0,241451,155151,12412080,15182720,0,0,3343584,2049822720
9,2.0379,577,83018,393818753,393818753,0,0,0,270745,172102,13768160,16339904,0,0,3785920,2300139520
10,2.10784,710,93025,428684316,428684316,0,0,0,300593,189672,15173760,17593984,0,0,4208480,2554542080
11,2.19658,860,102616,469046534,469046534,0,0,0,331389,208165,16653200,19065920,0,0,4616480,2817464320
12,2.22412,1027,112160,510722914,510722914,0,0,0,362473,226816,18145280,20558592,0,0,5034624,3082168320
13,2.45509,1223,121795,563539926,563539926,0,0,0,394467,248136,19850880,22509504,0,0,5461280,3355002880
14,2.50865,1433,130783,620406997,620406997,0,0,0,427730,269719,21577520,24610624,0,0,5870752,3639654400
15,2.56006,1644,140744,672895143,672895143,0,0,0,461573,291289,23303120,26506688,0,0,6338752,3929231360
16,2.53164,1857,149049,734833156,734833156,0,0,0,495907,313484,25078720,28834176,0,0,6722208,4223057920
17,2.60218,2062,157668,800785614,800785614,0,0,0,533891,338250,27060000,31535040,0,0,7131968,4533319680
18,3.03223,2293,168327,867807889,867807889,0,0,0,573226,363914,29113120,34019904,0,0,7632992,4869498880
19,3.05742,2521,179865,933678167,933678167,0,0,0,614460,390057,31204560,36405376,0,0,8173184,5222645760
20,3.09911,2761,192224,995559590,995559590,0,0,0,657190,416136,33290880,38611520,0,0,8731360,5588357120
21,3.28347,3023,205007,1063343448,1063343448,0,0,0,701984,444128,35530240,41061952,0,0,9295648,5970749440
22,3.39386,3315,218573,1129421801,1129421801,0,0,0,748244,472329,37786320,43353408,0,0,9904416,6365849600
23,3.49322,3628,232915,1191314096,1191314096,0,0,0,795533,500237,40018960,45422336,0,0,10539744,6770524160
24,3.60989,3967,247358,1255424723,1255424723,0,0,0,843831,528928,42314240,47587008,0,0,11172224,7183421440
25,3.72301,4358,261691,1318698155,1318698155,0,0,0,892453,557325,44586000,49696128,0,0,11789600,7597076480
26,3.82395,4735,275724,1393686166,1393686166,0,0,0,943081,588339,47067120,52297664,0,0,12398112,8028426240
27,3.88002,5152,290649,1458730799,1458730799,0,0,0,994732,617593,49407440,54361920,0,0,13059456,8468920320
28,4.26518,5663,306412,1528638634,1528638634,0,0,0,1047519,648825,51906000,56574784,0,0,13737280,8918517760
29,4.16755,6167,321509,1594045423,1594045423,0,0,0,1100481,678191,54255280,58528576,0,0,14388320,9369497600
30,4.93933,6614,326831,1787088269,1787088269,0,0,0,1161683,730293,58423440,66676992,0,0,14614464,9891061760
31,4.00766,6886,345688,1855949873,1855949873,0,0,0,1224165,764459,61156720,69029632,0,0,15756384,10425190400
32,4.04435,7137,365653,1921689156,1921689156,0,0,0,1287906,799067,63925360,71274304,0,0,16614368,10969159680
33,4.1411,7407,386523,1985082756,1985082756,0,0,0,1352398,833924,66713920,73326720,0,0,17473600,11518976000
34,4.21092,7658,407274,2052682929,2052682929,0,0,0,1418053,869731,69578480,75541440,0,0,18318336,12079032320
35,4.3514,7927,428100,2125782823,2125782823,0,0,0,1485051,906885,72550800,77946752,0,0,19174112,12650547200
36,4.49158,8225,448991,2197595463,2197595463,0,0,0,1552883,943650,75492000,80244416,0,0,20026848,13229209600
37,4.53296,8556,469726,2270169842,2270169842,0,0,0,1620506,980487,78438960,82498496,0,0,20870304,13805813760
38,4.6574,8937,491142,2340601159,2340601159,0,0,0,1688546,1017268,81381440,84556928,0,0,21748064,14386237440
39,4.83974,9373,511289,2417822688,2417822688,0,0,0,1757006,1054333,84346640,86844800,0,0,22556704,14970695680
40,4.28484,9937,526171,2483719083,2483719083,0,0,0,1810412,1083547,86683760,88616832,0,0,23172384,15425167360
41,4.57844,10578,540749,2554427065,2554427065,0,0,0,1864540,1113534,89082720,90506368,0,0,23769152,15886080000
42,4.54679,11206,555740,2622405685,2622405685,0,0,0,1919273,1143338,91467040,92253888,0,0,24394048,16352163840
43,4.52604,11814,570486,2694354107,2694354107,0,0,0,1974837,1173737,93898960,94072384,0,0,25000064,16824729600
44,4.49517,12393,585486,2764760955,2764760955,0,0,0,2031182,1204027,96322160,95804160,0,0,25613792,17304453120
45,4.55287,12971,600917,2830758765,2830758765,0,0,0,2088613,1233728,98698240,97313984,0,0,26236576,17793658880
46,4.40297,13469,616804,2898829481,2898829481,0,0,0,2147190,1264387,101150960,98877248,0,0,26857248,18292684800
47,4.34655,13898,633540,2961204239,2961204239,0,0,0,2206496,1294554,103564320,100216960,0,0,27497856,18798346240
48,3.8999,14225,651244,3013931298,3013931298,0,0,0,2266715,1323504,105880320,101229696,0,0,28142880,19312179200
49,4.93188,14695,671159,3088549169,3088549169,0,0,0,2335940,1359838,108787040,103319552,0,0,28950816,19902177280
50,6.31913,15204,682111,3314947774,3314947774,0,0,0,2419066,1426420,114113600,112798144,0,0,29393312,20615280640
51,5.57314,15580,706925,3403340798,3403340798,0,0,0,2503193,1471068,117685440,115687168,0,0,30812928,21337559040
52,6.3634,15942,732680,3499519488,3499519488,0,0,0,2593570,1520912,121672960,119347712,0,0,31911712,22117294080
53,5.96216,16334,760262,3586612256,3586612256,0,0,0,2687808,1568890,125511200,122300864,0,0,33057312,22935326720
54,5.86822,16719,786161,3677250031,3677250031,0,0,0,2782874,1615142,129211360,125209280,0,0,34096608,23760384000
55,6.09732,17115,813803,3768427423,3768427423,0,0,0,2878878,1662942,133035360,128003200,0,0,35242176,24594739200
56,6.13096,17529,840770,3859684187,3859684187,0,0,0,2975128,1710128,136810240,130745856,0,0,36335008,25430681600
57,6.23878,17963,866688,3954057905,3954057905,0,0,0,3070965,1757037,140562960,133612416,0,0,37390656,26264494080
58,6.25222,18435,892407,4046240476,4046240476,0,0,0,3166442,1803100,144248000,136294912,0,0,38447968,27094425600
59,6.38175,18986,917905,4143285212,4143285212,0,0,0,3262959,1849992,147999360,139091008,0,0,39480352,27933890560
60,5.39611,19617,937888,4221057010,4221057010,0,0,0,3332759,1886832,150946560,140976576,0,0,40270272,28529817600
61,6.73854,20250,963203,4320138496,4320138496,0,0,0,3430872,1934164,154733120,143820416,0,0,41299872,29384591360
62,5.71529,20950,983046,4404478578,4404478578,0,0,0,3504712,1972423,157793840,145906880,0,0,42080768,30015549440
63,5.67581,21656,1002662,4486755138,4486755138,0,0,0,3579605,2009807,160784560,147778432,0,0,42858336,30656389120
64,5.91812,22427,1022770,4569697965,4569697965,0,0,0,3655420,2047926,163834080,149622400,0,0,43652544,31304744960
65,5.91946,23205,1042972,4651368226,4651368226,0,0,0,3732183,2085663,166853040,151300032,0,0,44434048,31962798080
66,5.88946,23943,1062833,4738398893,4738398893,0,0,0,3809922,2124329,169946320,153140928,0,0,45186816,32629002240
67,5.82957,24621,1083491,4819411242,4819411242,0,0,0,3888789,2162403,172992240,154674432,0,0,45967136,33305978880
68,5.64852,25237,1104380,4898849075,4898849075,0,0,0,3968924,2200450,176036000,156165184,0,0,46731328,33992949760
69,5.22949,25720,1126536,4967687993,4967687993,0,0,0,4050053,2237353,178988240,157292032,0,0,47523616,34688532480
70,6.70251,26400,1150856,5069901059,5069901059,0,0,0,4149217,2284535,182762800,160213824,0,0,48520064,35551836160
71,8.16206,27043,1162919,5361165759,5361165759,0,0,0,4265450,2371143,189691440,173022336,0,0,49036928,36571084800
72,6.64719,27436,1194127,5458653929,5458653929,0,0,0,4386386,2425654,194052320,176509760,0,0,50904640,37635307520
73,6.63767,27803,1226415,5544623678,5544623678,0,0,0,4508081,2477154,198172320,179224576,0,0,52253568,38705633280
