Backup ID,Backup Online Processtime(s),Online Load Times,Online Delta num,Online Size,Offline Size,Offline Delta times,Offline Decompress times,Offline Delete times,Logic chunk num,Unique chunk num,FpIndex size,SfIndex size,Localmap size,Coldmap size,Deltamap size,total logical size,offline_time,online_dedupReduce,online_lz4Reduce,online_deltaReduce,offlineDelta_diff,offlineDelta_sum,offlineReDelta_sum,offlineRelz4_sum,_sum_Delta_size,_sum_Lz4_size
0,1.49141,0,0,100654960,100523531,55,0,15,24641,24495,1959600,4682368,3520,515,2944,208250880,0.433847,1127989,106467931,0,-131429,131429,0,196644,65215,100458316
1,1.14932,0,0,167725270,130228867,8515,35,55,49838,39626,3170080,5967936,542848,68395,540160,420976640,26.6008,77093471,176026470,0,-37627832,37496403,60768,39038368,1410536,128818331
2,1.15509,0,0,196926383,155732342,23321,5566,112,75769,54678,4374240,7071552,1136832,187128,956864,640409600,41.431,159458006,246397379,0,-78821873,41194041,975569,81715527,2893654,152838688
3,1.15877,0,0,221418110,180563030,43158,16132,187,102154,69374,5549920,8105664,1730432,346199,1346688,864501760,52.2497,248725373,315536404,0,-119676953,40855080,2649272,124447932,4770979,175792051
4,1.1996,0,0,251256595,209786603,67226,30753,282,128934,85204,6816320,9322496,2335296,539218,1740992,1092659200,58.696,332019363,389706289,0,-161146945,41469992,5183525,168146867,6999922,202786681
5,1.25793,0,0,284233921,241335989,95039,48726,400,156457,101934,8154720,10634368,2965824,762304,2158400,1326612480,62.6969,413501574,467730040,0,-204044877,42897932,8742442,213527797,9482920,231853069
6,1.26718,0,0,316637616,271852267,126644,70081,540,184290,118788,9503040,11892480,3622144,1015844,2593632,1563217920,68.0629,496131554,546403873,0,-248830226,44785349,13189731,260884525,12054299,259797968
7,1.31422,0,0,350328560,305145515,161113,94156,702,212510,136407,10912560,13268416,4287616,1292406,3028512,1803356160,70.3341,576072305,628125069,0,-294013271,45183045,18539460,308791959,14778688,290366827
8,1.37575,0,0,388742651,339446536,198915,120627,885,241451,155151,12412080,14678208,5013248,1595737,3516192,2049822720,77.1178,652356600,714710198,0,-343309386,49296115,24495587,361159120,17849734,321596802
9,1.31933,0,0,416125921,365225216,240435,150638,1087,270745,172102,13768160,15711296,5750080,1928907,3998112,2300139520,80.9783,745473835,795230378,0,-394210091,50900705,31432380,414606496,20396405,344828811
10,1.37892,0,0,443582443,393354956,286238,184864,1312,300593,189672,15173760,16844992,6491712,2296456,4463584,2554542080,85.8737,838570276,878179270,0,-444437578,50227487,39205653,467921224,23483646,369871310
11,1.41263,0,0,475844715,425240896,334697,221880,1557,331389,208165,16653200,18183168,7224384,2685329,4924800,2817464320,85.9103,931766067,965415960,0,-495041397,50603819,47946642,520949067,25907670,399333226
12,1.4233,0,0,508630399,459491309,384525,260149,1819,362473,226816,18145280,19529792,7964736,3085239,5401280,3082168320,89.7832,1025548125,1052948399,0,-544180487,49139090,56642543,574588119,30407632,429083677
13,1.54821,0,0,553616844,502816121,436463,300020,2111,394467,248136,19850880,21291712,8737344,3502203,5902720,3355002880,91.3517,1105497193,1151708356,0,-594981210,50800723,66983150,629498923,34517713,468298408
14,1.5806,0,0,598692729,548999751,487294,339362,2431,427730,269719,21577520,23216192,9473152,3910451,6386944,3639654400,88.4195,1193548449,1252432012,0,-644674188,49692978,77675196,682485149,37810961,511188790
15,1.63224,0,0,644787364,590780322,540919,380425,2766,461573,291289,23303120,24930432,10277312,4341110,6929024,3929231360,93.833,1286362675,1353407133,0,-698681230,54007042,88826159,740220898,41539668,549240654
16,1.66161,0,0,689692859,641534022,589137,417445,3099,495907,313484,25078720,27022080,10994368,4728519,7400640,4223057920,85.8781,1377714707,1456969124,0,-746840067,48158837,98950388,792741200,45901133,595632889
17,1.76692,0,0,743230968,706574721,638872,455509,3457,533891,338250,27060000,29509568,11742784,5128181,7899360,4533319680,87.8713,1477945546,1565303099,0,-783496314,36656247,110043564,846841979,63345665,643229056
18,1.94246,0,0,819379027,752906148,696167,499198,3836,573226,363914,29113120,31804224,12613760,5588420,8485760,4869498880,101.424,1580768804,1685854735,0,-849969193,66472879,134033159,906362875,56393682,696512466
19,2.02143,0,0,868328514,805253951,757717,546124,4223,614460,390057,31204560,33995648,13550144,6082755,9115744,5222645760,109.689,1694967826,1809380227,0,-913043756,63074563,148378339,973430121,60386365,744867586
20,1.98898,0,0,920590971,853105016,825384,598313,4632,657190,416136,33290880,36012160,14541312,6626128,9763040,5588357120,120.004,1821298679,1933423714,0,-980529711,67485955,163674493,1044733280,64203569,788901447
21,2.1062,0,0,975943507,906315922,899900,656657,5041,701984,444128,35530240,38262208,15576704,7224301,10427776,5970749440,129.737,1947945757,2066330465,0,-1050157296,69627585,180024593,1118890750,68733454,837582468
22,2.15137,0,0,1030533419,956960975,981132,720680,5492,748244,472329,37786320,40348928,16678720,7876396,11144128,6365849600,136.474,2084043665,2201115220,0,-1123729740,73572444,197622709,1197431847,73702107,883258868
23,2.17398,0,0,1080715670,1001675841,1068884,790254,5959,795533,500237,40018960,42191744,17842880,8580739,11891232,6770524160,143.978,2231071622,2335007128,0,-1202769569,79039829,217028699,1280572105,77802536,923873305
24,2.24416,0,0,1127959256,1047462387,1162839,865632,6436,843831,528928,42314240,44111296,19032768,9334732,12644480,7183421440,150.761,2379879231,2472813384,0,-1283266438,80496869,237295854,1365514031,82247593,965214794
25,2.22315,0,0,1172308050,1092529635,1261810,946070,6959,892453,557325,44586000,45981632,20219584,10129115,13384576,7597076480,158.544,2532953771,2608548221,0,-1363044853,79778415,257831324,1450032220,86987367,1005542268
26,2.36407,0,0,1227981594,1146971273,1365148,1030672,7526,943081,588339,47067120,48318400,21419136,10958638,14132640,8028426240,158.143,2680826906,2756572887,0,-1444055174,81010321,279389614,1535587853,91532679,1055438594
27,2.31199,0,0,1276069090,1191269711,1475067,1120900,8091,994732,617593,49407440,50130240,22680064,11840791,14930976,8468920320,168.141,2850827085,2897968971,0,-1528854553,84799379,301935299,1625051980,96197427,1095072284
28,2.43401,0,0,1328895388,1239756034,1593663,1218566,8780,1047519,648825,51906000,52085952,24020416,12792980,15762496,8918517760,177.985,3012861594,3047906225,0,-1617993907,89139354,325795448,1720380874,102386967,1137369067
29,2.33992,0,0,1370058348,1282165661,1717593,1321992,9397,1100481,678191,54255280,53765184,25333568,13787473,16574752,9369497600,180.271,3191999268,3189446077,0,-1705886594,87892687,351864469,1813947663,108061069,1174104592
30,3.46647,0,0,1497276838,1455309809,1795474,1387646,10237,1161683,730293,58423440,61405568,26116672,14414721,17059072,9891061760,110.625,3259751468,3428146860,0,-1747853623,41967029,368450190,1868311415,120457792,1334852017
31,2.7447,0,0,1606263399,1506316312,1882133,1451416,10743,1224165,764459,61156720,63554688,27582336,15110507,18296960,10425190400,153.419,3476054732,3595018646,0,-1847800710,99947087,391281993,1972233547,124432837,1381883475
32,2.80126,0,0,1658799820,1555196227,1982629,1528123,11257,1287906,799067,63925360,65616000,29105344,15917037,19261056,10969159680,174.514,3698912309,3763646841,0,-1951404303,103603593,415768720,2080522461,129118158,1426078069
33,2.90944,0,0,1708634158,1601093306,2100594,1621093,11809,1352398,833924,66713920,67487744,30705856,16863485,20244512,11518976000,192.433,3926063676,3932873863,0,-2058945155,107540852,442735762,2193538422,134593267,1466500039
34,2.93318,0,0,1758514476,1649589369,2230510,1725789,12397,1418053,869731,69578480,69497472,32320512,17905753,21229504,12079032320,204.438,4153802344,4107770345,0,-2167870262,108925107,471832793,2307979005,140108743,1509480626
35,2.97689,0,0,1812206466,1701142977,2372146,1841585,13036,1485051,906885,72550800,71646464,33974912,19042012,22239040,12650547200,218.544,4381235100,4289235372,0,-2278933751,111063489,502639793,2424778973,145845222,1555297755
36,3.0554,0,0,1862603253,1749021182,2524852,1968135,13689,1552883,943650,75492000,73655936,35649536,20266901,23253472,13229209600,229.1,4618229336,4469443260,0,-2392515822,113582071,535369695,2543288888,150773066,1598248116
