Backup ID,Backup Online Processtime(s),Online Load Times,Online Delta num,Online Size,Offline Size,Offline Delta times,Offline Decompress times,Offline Delete times,Logic chunk num,Unique chunk num,FpIndex size,SfIndex size,Localmap size,Coldmap size,Deltamap size,total logical size,offline_time,online_dedupReduce,online_lz4Reduce,online_deltaReduce,offlineDelta_diff,offlineDelta_sum,offlineReDelta_sum,offlineRelz4_sum,_sum_Delta_size,_sum_Lz4_size
0,1.60358,6,27,100602777,100592293,6,1,6,24641,24495,1959600,4684416,320,78,1632,208250880,0.147751,1127989,106312230,207884,-10484,10484,2213,13987,52570,100539723
1,1.43698,26,6278,140096373,130667498,2215,37,39,49838,39626,3170080,5970304,139456,17915,538976,420976640,7.09496,77093471,146301818,57474494,-9439359,9428875,65243,9849527,1743672,128923826
2,1.20027,29,6417,197052083,156541814,16652,5406,88,75769,54678,4374240,7086976,720064,133656,953600,640409600,38.735,159458006,215957127,58503025,-49949628,40510269,1237719,51556374,3272326,153269488
3,1.18247,34,6567,221548869,181177811,36091,15730,157,102154,69374,5549920,8121280,1303680,289513,1344128,864501760,51.0796,248725373,284267513,60010377,-90320686,40371058,3175168,93532078,4917039,176260772
4,1.24243,38,6756,251033910,210499885,59734,30125,248,128934,85204,6816320,9339776,1895808,479112,1738304,1092659200,56.0804,332019363,357340410,61944831,-130854711,40534025,5681412,136244256,7215090,203284795
5,1.26752,39,6810,284778519,242068173,87365,47978,363,156457,101934,8154720,10652928,2522368,700727,2155488,1326612480,62.102,413501574,435031115,62446561,-173565057,42710346,9260770,181357127,9678097,232390076
6,1.31196,43,6939,316864495,272546798,118690,69182,500,184290,118788,9503040,11911168,3170432,952012,2590912,1563217920,65.6151,496131554,513052801,63604013,-217882754,44317697,13761679,228187783,12221406,260325392
7,1.30985,43,6944,351019272,305820335,153098,93204,660,212510,136407,10912560,13287744,3835392,1228076,3025792,1803356160,70.9317,576072305,594730086,63651743,-263081691,45198937,19117321,276062571,14913792,290906543
8,1.40489,47,7096,388626124,339989481,190214,119144,843,241451,155151,12412080,14698304,4551104,1525919,3513440,2049822720,74.9211,652356600,680455088,65303217,-311718334,48636643,25052678,327607584,17838157,322151324
9,1.32633,50,7207,416200960,365804108,231246,148782,1041,270745,172102,13768160,15731840,5280576,1855165,3995424,2300139520,77.5158,745473835,760409142,66337249,-362115186,50396852,31941059,380547388,20407897,345396211
10,1.39187,52,7241,444033518,394003149,276758,182750,1264,300593,189672,15173760,16865472,6020096,2220376,4460896,2554542080,82.351,838570276,843140482,66682618,-412145555,50030369,39684021,433705619,23573955,370429194
11,1.40869,53,7259,476426099,425878593,325017,219584,1511,331389,208165,16653200,18203328,6751616,2607659,4922048,2817464320,83.3726,931766067,930295789,66830810,-462693061,50547506,48376610,486652052,25989364,399889229
12,1.4539,56,7330,508965874,460075060,374434,257516,1772,362473,226816,18145280,19550464,7487232,3004284,5398592,3082168320,87.4568,1025548125,1017357005,67604255,-511583875,48890814,57041898,539966440,30423806,429651254
13,1.55749,57,7376,554025101,503388617,426132,297192,2064,394467,248136,19850880,21312320,8256960,3419328,5900192,3355002880,88.6252,1105497193,1115889840,68006871,-562220359,50636484,67342674,594708430,34534622,468853995
14,1.66165,61,7444,598942525,549579160,476592,336230,2382,427730,269719,21577520,23236928,8988480,3824598,6384448,3639654400,87.04,1193548449,1216208273,68734794,-611583724,49363365,77860510,647369539,37842848,511736312
15,1.6976,66,7590,644822157,591462514,529321,376548,2715,461573,291289,23303120,24951936,9782976,4248079,6926368,3929231360,92.4385,1286362675,1316237232,70225572,-664943367,53359643,88785501,704495669,41652313,549810201
16,1.71605,71,7669,690023070,642241035,577123,413234,3046,495907,313484,25078720,27044096,10494784,4632142,7397888,4223057920,82.638,1377714707,1419416704,70960072,-712725402,47782035,98754494,756642241,46027866,596213169
17,1.83648,76,7747,743598057,707260774,626624,451152,3407,533891,338250,27060000,29530880,11237568,5029947,7896224,4533319680,86.4829,1477945546,1527316480,71734195,-749062685,36337283,109744425,810401090,63465006,643795768
18,2.00324,80,7866,819721624,753770524,683418,494461,3792,573226,363914,29113120,31825856,12100800,5486208,8482560,4869498880,99.1945,1580768804,1647181018,72764749,-815013785,65951100,133587610,869445114,56736876,697033648
19,2.07544,84,8119,868125203,806033120,744334,541010,4182,614460,390057,31204560,34017728,13020736,5975478,9112288,5222645760,108.232,1694967826,1769323336,75215610,-877105868,62092083,148022193,935365041,60598811,745434309
20,2.11338,93,8336,920438762,853868045,811345,592762,4594,657190,416136,33290880,36034688,13997888,6513618,9759584,5588357120,114.368,1821298679,1892204273,77309538,-943676585,66570717,163276113,1005685476,64376619,789491426
21,2.29325,103,8648,975425753,907030851,884290,649847,5006,701984,444128,35530240,38284800,15013248,7099238,10424576,5970749440,125.851,1947945757,2023527138,80174207,-1012071487,68394902,179366404,1078500231,68852310,838178541
