#Backup ID,Backup Online Processtime(s),Online Load Times,Online Delta num,Online Size,Offline Size,Offline Delta times,Offline Decompress times,Offline Delete times,Logic chunk num,Unique chunk num,FpIndex size,SfIndex size,Localmap size,Coldmap size,Deltamap size,total logical size,offline_time,online_dedupReduce,online_lz4Reduce,online_deltaReduce,offlineDelta_diff,offlineDelta_sum,offlineReDelta_sum,offlineRelz4_sum,_sum_Delta_size,_sum_Lz4_size
0,1.63214,9,32,100594084,100594084,0,0,0,24641,24495,1959600,4684416,0,0,1632,208250880,0.000117,1127989,106281242,247565,0,0,0,0,56837,100537247
1,1.43248,33,8452,130320561,130320561,0,0,0,49838,39626,3170080,5971264,0,0,538720,420976640,0.000292,77093471,135405450,78157158,0,0,0,0,1394014,128926547
2,1.51206,70,17641,156360994,156360994,0,0,0,75769,54678,4374240,7096128,0,0,952960,640409600,0.000475,159458006,161337489,163253111,0,0,0,0,3033495,153327499
3,1.56886,117,26832,181522624,181498876,17,10,4,102154,69374,5549920,8150848,448,156,1341888,864501760,0.159501,248725373,185330141,248923622,-23748,23748,625,24307,4868274,176630602
4,1.6592,170,35764,212781070,210881422,1248,824,43,128934,85204,6816320,9393216,27136,10199,1734720,1092659200,2.97933,332019363,215790003,332045016,-1923396,1899648,299769,2050552,6926815,203954607
5,1.64496,225,42971,253623394,243006608,8119,5200,109,156457,101934,8154720,10736768,187008,65497,2150496,1326612480,14.7471,413501574,258924853,398639263,-12540182,10616786,1467294,13375364,9295256,233711352
6,1.63146,293,47016,300278607,273785265,26619,17617,191,184290,118788,9503040,12016576,576512,213899,2583968,1563217920,36.3324,496131554,317291240,436976337,-39033524,26493342,4266077,41324110,11641750,262143515
7,1.67445,377,52002,330208799,306891052,43964,29584,292,212510,136407,10912560,13399488,920896,353164,3020320,1803356160,34.116,576072305,374429021,483612511,-62351271,23317747,6984392,66024583,14000929,292890123
8,1.86725,484,57375,366859367,341321491,62874,42627,406,241451,155151,12412080,14830208,1296704,505014,3506560,2049822720,37.9782,652356600,434237094,534018388,-87889147,25537876,10062446,93332782,16760024,324561467
9,1.86285,609,64118,387864642,367146344,79242,54311,536,270745,172102,13768160,15883968,1596544,636608,3987776,2300139520,31.4002,745473835,481324202,597587694,-108607445,20718298,12914543,115124754,19010295,348136049
