#Backup ID,Backup Online Processtime(s),Online Load Times,Online Delta num,Online Size,Offline Size,Offline Delta times,Offline Decompress times,Offline Delete times,Logic chunk num,Unique chunk num,FpIndex size,SfIndex size,Localmap size,Coldmap size,Deltamap size,total logical size,offline_time,online_dedupReduce,online_lz4Reduce,online_deltaReduce,offlineDelta_diff,offlineDelta_sum,offlineReDelta_sum,offlineRelz4_sum,_sum_Delta_size,_sum_Lz4_size
0,1.63167,9,32,100594084,100594084,0,0,0,24641,24495,1959600,4684416,0,0,1632,208250880,9.5e-05,1127989,106281242,247565,0,0,0,0,56837,100537247
1,1.43323,33,8452,130320561,130320561,0,0,0,49838,39626,3170080,5971264,0,0,538720,420976640,0.000287,77093471,135405450,78157158,0,0,0,0,1394014,128926547
2,1.51504,70,17641,156360994,156360994,0,0,0,75769,54678,4374240,7096128,0,0,952960,640409600,0.000476,159458006,161337489,163253111,0,0,0,0,3033495,153327499
3,1.57571,117,26839,181498832,181498832,0,0,0,102154,69374,5549920,8150848,0,0,1341888,864501760,0.0006,248725373,185294113,248983442,0,0,0,0,4868146,176630686
4,1.65243,175,36185,210885385,210885385,0,0,0,128934,85204,6816320,9393728,0,0,1734528,1092659200,0.00071,332019363,213782493,335971959,0,0,0,0,6906204,203979181
5,1.8098,238,45879,243020264,243020264,0,0,0,156457,101934,8154720,10743424,0,0,2150176,1326612480,0.000925,413501574,244476828,425613814,0,0,0,0,9256354,233763910
6,1.8608,315,55969,274117559,274117559,0,0,0,184290,118788,9503040,12041152,0,0,2583104,1563217920,0.001045,496131554,273665926,519302881,0,0,0,0,11816019,262301540
7,1.96831,408,66194,308133315,308133315,0,0,0,212510,136407,10912560,13460032,0,0,3015968,1803356160,0.001191,576072305,305877737,613272803,0,0,0,0,14507259,293626056
8,2.11179,517,77298,343287501,343287501,0,0,0,241451,155151,12412080,14925376,0,0,3500512,2049822720,0.001342,652356600,338535719,715642900,0,0,0,0,17448701,325838800
9,2.20215,671,88581,370324913,370324913,0,0,0,270745,172102,13768160,16012224,0,0,3980000,2300139520,0.001528,745473835,363823205,820517567,0,0,0,0,20389174,349935739
