logical data size (B), logical chunk num, unique data size (B), unique chunk num, online size (B), total process time (s), enclave speed (MiB/s)
8588886016, 598895, 1011643262, 116850, 628342123, 18.804745, 435.581551
17177772032, 1197560, 1068656652, 122453, 659750322, 17.099099, 479.031088
25766658048, 1796008, 1140428135, 129193, 693084341, 16.994224, 481.987292
34355544064, 2394289, 1173572215, 132218, 707445769, 16.901255, 484.638567
42944430080, 2992254, 1224739981, 137183, 734692683, 16.997843, 481.884672
51533316096, 3590141, 1271368575, 141681, 759014137, 16.915785, 484.222281
60122202112, 4187832, 1321553168, 146604, 785642432, 17.018476, 481.300441
68711088128, 4785201, 1393256484, 153531, 824536051, 16.957917, 483.019229
77299974144, 5382415, 1426507946, 156743, 842593164, 16.810440, 487.256729
85888860160, 5979346, 1503145723, 164425, 886557199, 17.172628, 476.979994
94477746176, 6576018, 1570301913, 170688, 917857142, 16.996719, 481.916539
103066632192, 7172565, 1599181413, 173447, 932110345, 16.762574, 488.648104
111655518208, 7768591, 1655302694, 179273, 969034720, 16.834261, 486.567245
120244404224, 8364315, 1728219472, 186287, 1006140718, 16.876259, 485.356381
128833290240, 8959750, 1791024047, 192236, 1037464237, 16.936078, 483.642081
137422176256, 9555592, 1869703930, 200085, 1083276243, 17.051827, 480.359084
146011062272, 10151063, 1936214316, 206500, 1118875278, 18.217972, 449.610967
154599948288, 10746509, 1990916616, 211749, 1146881433, 17.625041, 464.736508
163188834304, 11341783, 2036541023, 216232, 1172450140, 18.981974, 431.514657
171777720320, 11937069, 2125378546, 224744, 1218512512, 18.665527, 438.830364
180366606336, 12532503, 2183767775, 230313, 1249449335, 18.356701, 446.213075
188955492352, 13128330, 2252007329, 236831, 1286255075, 18.693482, 438.174119
197544378368, 13724614, 2314349175, 242852, 1321225623, 18.855377, 434.411892
206133264384, 14321201, 2367327048, 248008, 1349536965, 18.424575, 444.569278
214722150400, 14918079, 2422851705, 253296, 1378597770, 17.734076, 461.879153
223311036416, 15514344, 2532991177, 263864, 1436197064, 17.134551, 478.039956
231899922432, 16110797, 2599455402, 270198, 1470976123, 17.141838, 477.836741
240488808448, 16707645, 2662676451, 276189, 1503948588, 17.269719, 474.298395
249077694464, 17305024, 2744938978, 284120, 1548334343, 17.267541, 474.358219
257666580480, 17903139, 2824004350, 291725, 1591307110, 17.194955, 476.360653
