Backup ID,Backup Online Processtime(s),Online Load Times,Online Delta num,Online Size,Offline Size,Offline Delta times,Offline Decompress times,Offline Delete times,Logic chunk num,Unique chunk num,FpIndex size,SfIndex size,Localmap size,Coldmap size,Deltamap size,total logical size,offline_time,online_dedupReduce,online_lz4Reduce,online_deltaReduce,offlineDelta_diff,offlineDelta_sum,offlineReDelta_sum,offlineRelz4_sum,_sum_Delta_size,_sum_Lz4_size
0,23.5254,67,5090,613678926,613678926,0,0,0,598895,116850,9348000,21059776,0,0,219456,8588886016,0.11115,7577242754,349587755,48376581,0,0,0,0,4718607,608960319
1,18.2573,115,6284,642746411,642746411,0,0,0,1197560,122453,9796240,21839360,0,0,277024,17177772032,0.000165,16109115380,365857478,60052763,0,0,0,0,7227313,635519098
2,18.6541,189,8079,671558561,671558561,0,0,0,1796008,129193,10335440,22674048,0,0,366784,25766658048,0.000191,24626229913,389732050,79137524,0,0,0,0,9913853,661644708
3,18.2672,227,8850,684159512,684159512,0,0,0,2394289,132218,10577440,23027200,0,0,400384,34355544064,0.000204,33181971849,402256053,87156650,0,0,0,0,11242097,672917415
4,18.1634,266,9800,709584799,709584799,0,0,0,2992254,137183,10974640,23715072,0,0,439328,42944430080,0.00026,41719690099,419197390,95957792,0,0,0,0,13556122,696028677
5,18.4573,304,10595,732115219,732115219,0,0,0,3590141,141681,11334480,24339776,0,0,472992,51533316096,0.000236,50261947521,434945763,104307593,0,0,0,0,14999473,717115746
6,18.4792,347,11419,757308070,757308070,0,0,0,4187832,146604,11728320,25030272,0,0,505312,60122202112,0.000243,58800648944,452016340,112228758,0,0,0,0,16938604,740369466
7,18.6626,392,12605,794077324,794077324,0,0,0,4785201,153531,12282480,26006144,0,0,552160,68711088128,0.000255,67317831644,476549990,122629170,0,0,0,0,20503592,773573732
8,18.2868,417,13116,811171070,811171070,0,0,0,5382415,156743,12539440,26455424,0,0,572736,77299974144,0.000278,75873466198,488381701,126955175,0,0,0,0,21902798,789268272
9,18.4991,462,14166,853564897,853564897,0,0,0,5979346,164425,13154000,27590784,0,0,612640,85888860160,0.000283,84385714437,513229274,136351552,0,0,0,0,24800979,828763918
10,18.4901,505,15435,882943489,882943489,0,0,0,6576018,170688,13655040,28410112,0,0,661920,94477746176,0.000287,92907444263,539711627,147646797,0,0,0,0,28380736,854562753
11,18.0774,528,15869,896228298,896228298,0,0,0,7172565,173447,13875760,28793472,0,0,679744,103066632192,0.000325,101467450779,551485328,151467787,0,0,0,0,29594501,866633797
