Backup ID,Backup Online Processtime(s),Online Load Times,Online Delta num,Online Size,Offline Size,Offline Delta times,Offline Decompress times,Offline Delete times,Logic chunk num,Unique chunk num,FpIndex size,SfIndex size,Localmap size,Coldmap size,Deltamap size,total logical size,offline_time,online_dedupReduce,online_lz4Reduce,online_deltaReduce,offlineDelta_diff,offlineDelta_sum,offlineReDelta_sum,offlineRelz4_sum,_sum_Delta_size,_sum_Lz4_size
0,24.2789,0,0,628342123,605883406,7352,0,124,598895,116850,9348000,20875072,484416,59436,319328,8588886016,53.3385,7577242754,383301139,0,-22458717,22458717,0,30484709,8025992,597857414
1,21.3579,0,0,637291605,633776355,11356,2319,214,1197560,122453,9796240,21623680,593088,91910,398112,17177772032,18.4656,16109115380,408906330,0,-25973967,3515250,5370437,37280337,11306370,622469985
2,21.058,0,0,667110374,660344413,17346,5597,329,1796008,129193,10335440,22395072,766976,140405,528768,25766658048,28.3819,24626229913,447343794,0,-32739928,6765961,13618651,48397365,15657437,644686976
3,21.1848,0,0,674705841,671767868,22934,9853,417,2394289,132218,10577440,22709760,855488,185525,578944,34355544064,24.1918,33181971849,466126446,0,-35677901,2937973,24688683,53728338,18050437,653717431
4,20.8248,0,0,699014782,695413546,29291,14591,527,2992254,137183,10974640,23350336,959424,236931,647424,42944430080,25.0634,41719690099,490047298,0,-39279137,3601236,37421327,60886951,21607814,673805732
5,21.1523,0,0,719735000,716002199,36414,20248,642,3590141,141681,11334480,23930560,1053760,294474,708992,51533316096,25.9836,50261947521,512354438,0,-43011938,3732801,53336955,66984107,23972169,692030030
6,20.9519,0,0,742630494,739057723,43874,26214,762,4187832,146604,11728320,24568576,1155712,354730,756768,60122202112,28.8454,58800648944,535910736,0,-46584709,3572771,70265186,73522025,26937316,712120407
7,21.2034,0,0,777951342,773056587,52726,32886,903,4785201,153531,12282480,25476608,1296064,426235,838720,68711088128,46.7448,67317831644,568720433,0,-51479464,4894755,89665353,83715261,32235797,740820790
8,20.8524,0,0,791113700,788495745,61126,40238,1025,5382415,156743,12539440,25891392,1363328,494029,882112,77299974144,32.28,75873466198,583914782,0,-54097419,2617955,113132758,88490234,34392815,754102930
9,21.2057,0,0,832459780,827634443,71557,48507,1189,5979346,164425,13154000,26947968,1502400,578289,969760,85888860160,43.9206,84385714437,616588524,0,-58922756,4825337,138546699,98241834,39319078,788315365
10,21.1058,0,0,858934386,853859578,83428,57991,1363,6576018,170688,13655040,27687232,1656512,674111,1064544,94477746176,50.7343,92907444263,652444771,0,-63997564,5074808,168249486,108785958,44788394,809071184
11,20.8578,0,0,868112781,865509689,94117,67737,1502,7172565,173447,13875760,28034880,1717056,760294,1103584,103066632192,38.1031,101467450779,667071068,0,-66600656,2603092,201092495,113427235,46826579,818683110
12,21.0716,0,0,902434064,900276312,105422,77896,1649,7768591,179273,14341840,28932736,1790400,851461,1148576,111655518208,45.9288,110000215514,686267974,0,-68758408,2157752,235400056,119110571,50352163,849924149
13,20.9929,0,0,937382310,932147864,119561,89645,1859,8364315,186287,14902960,29817920,1943808,965615,1247168,120244404224,48.1723,118516184752,722078754,0,-73992854,5234446,273876983,129940876,55948022,876199842
