Backup ID,Backup Online Processtime(s),Online Load Times,Online Delta num,Online Size,Offline Size,Offline Delta times,Offline Decompress times,Offline Delete times,Logic chunk num,Unique chunk num,FpIndex size,SfIndex size,Localmap size,Coldmap size,Deltamap size,total logical size,offline_time,online_dedupReduce,online_lz4Reduce,online_deltaReduce,offlineDelta_diff,offlineDelta_sum,offlineReDelta_sum,offlineRelz4_sum,_sum_Delta_size,_sum_Lz4_size
0,24.5223,285,5871,614042756,612305819,2423,1985,39,598895,116850,9348000,20970688,28288,19579,265440,8588886016,5.7061,7577242754,343309171,54291335,-1736937,1736937,4358869,2110050,9038497,603267322
1,18.941,390,7519,640313314,640245048,4629,4149,58,1197560,122453,9796240,21720256,30976,37322,345280,17177772032,4.4909,16109115380,355770446,70835955,-1805203,68266,10921656,2241409,12584791,627660257
2,19.4762,540,10082,667182859,666802752,7729,7102,86,1796008,129193,10335440,22492480,40384,62262,475968,25766658048,8.35585,24626229913,373650458,97789615,-2185310,380107,20365444,2733690,17233277,649569475
3,20.6988,637,11449,677991679,677991679,7729,7102,86,2394289,132218,10577440,22810112,40384,62262,534976,34355544064,0.000354,33181971849,380887526,112507700,-2185310,0,20365444,2733690,19572889,658418790
4,20.2184,745,12914,701901365,701717062,12852,12089,120,2992254,137183,10974640,23454080,49088,103408,603104,42944430080,8.46885,41719690099,393863298,126790008,-2369613,184303,35260960,3141606,23269388,678447674
5,20.6057,872,14111,723085063,722622636,18284,17296,160,3590141,141681,11334480,24038464,65024,147048,643936,51533316096,15.2107,50261947521,406592550,139321349,-2832040,462427,52065548,3951956,25987459,696635177
6,21.5709,1015,15518,745921347,745750234,23599,22529,197,4187832,146604,11728320,24689152,70400,189745,690624,60122202112,10.7948,58800648944,419513720,153286061,-3003153,171113,69958065,4205011,29156758,716593476
7,21.1448,1195,17131,780883374,779904086,30536,28967,269,4785201,153531,12282480,25605120,102592,245601,778016,68711088128,15.0493,67317831644,441071394,168298563,-3982441,979288,92189184,6024661,34594619,745309467
8,20.2409,1305,17974,795773601,795444784,36148,34454,313,5382415,156743,12539440,26027392,110720,290709,819648,77299974144,10.8486,75873466198,450435205,176316699,-4311258,328817,114134045,6523237,36805419,758639365
9,20.7641,1490,19635,835561832,834762532,43183,41041,403,5979346,164425,13154000,27088960,141568,347423,904000,85888860160,19.954,84385714437,471281157,191991476,-5110558,799300,139998053,8139330,41926169,792836363
10,22.139,1709,21354,862444574,861143315,51604,48886,498,6576018,170688,13655040,27839232,179072,415266,997600,94477746176,21.1634,92907444263,494941026,207805755,-6411817,1301259,170246004,10378915,47359802,813783513
11,19.8909,1833,22112,873570929,872939875,59683,56799,568,7172565,173447,13875760,28190912,189760,480248,1036672,103066632192,12.1777,101467450779,504230825,214967842,-7042871,631054,201510810,11211219,49523341,823416534
12,24.5372,1959,23109,908048734,907735323,68243,65285,630,7768591,179273,14341840,29096448,194496,549038,1079552,111655518208,16.1728,110000215514,517129745,223081344,-7356282,313411,235705430,11543148,52918206,854817117
13,22.4019,2180,24634,941124739,939731870,78909,75135,748,8364315,186287,14902960,29990592,247040,634940,1177344,120244404224,25.605,118516184752,542590052,237148399,-8749151,1392869,274154599,14549360,58569557,881162313
14,19.5333,2419,26207,967660383,965973968,90449,86102,865,8959750,192236,15378880,30718400,284032,727845,1265632,128833290240,32.1752,127042266193,563132949,251481564,-10435566,1686415,316730179,16997449,63882374,902091594
15,24.2877,2676,27759,1008345176,1006804424,103093,98108,1001,9555592,200085,16006800,31802944,325120,829653,1355552,137422176256,25.8728,135552472326,584954340,265968848,-11976318,1540752,363531670,19664009,69277677,937526747
16,21.1411,2931,29299,1038688488,1036963939,116624,111039,1145,10151063,206500,16520000,32621696,363712,938613,1445184,146011062272,31.5656,144074847956,605409026,280140484,-13700867,1724549,413984616,22175928,74328950,962634989
17,21.6781,3177,30580,1062346813,1060797123,130120,123990,1288,10746509,211749,16939920,33277312,398848,1047296,1518496,154599948288,36.6384,152609031672,622717075,292151861,-15250557,1549690,466295806,24484802,78441587,982355536
18,22.507,3385,31690,1083853935,1083362988,143650,137293,1396,11341783,216232,17298560,33880384,413376,1156068,1572736,163188834304,29.6252,161152293281,635136381,302300150,-15741504,490947,520946242,25465515,82011726,1001351262
19,20.6625,3724,33779,1125126189,1123376988,159239,152252,1570,11937069,224744,17979520,34991168,453888,1281650,1682624,171777720320,45.7638,169652341774,663438180,321072673,-17490705,1749201,581158204,28137906,88941024,1034435964
20,21.1743,3967,35047,1151490831,1150289670,175246,167834,1719,12532503,230313,18425040,35732800,481216,1410435,1752064,180366606336,29.8448,178182838561,681630822,333155417,-18691866,1201161,644176213,30113826,92999062,1057290608
21,21.8981,4273,36627,1183491658,1182058457,192512,184540,1881,13128330,236831,18946480,36571072,517248,1549365,1837568,188955492352,30.0215,186703485023,701436471,348387334,-20125067,1433201,711042017,32419992,98077134,1083981323
22,21.6138,4588,37863,1214043631,1212680143,207363,198883,2053,13724614,242852,19428160,37380160,553216,1668993,1843904,197544378368,38.8272,195230029193,719986132,360194345,-21488555,1363488,776130091,34935966,102614479,1110065664
23,22.0425,4859,39081,1238168194,1237342507,223226,214418,2219,14321201,248008,19840640,38056128,574272,1796703,1906720,206133264384,40.1202,203765937336,736665168,371005131,-22314242,825687,844964134,36292315,106472418,1130870089
24,21.2348,5152,40189,1263592932,1261762505,239749,230310,2398,14918079,253296,20263680,38736064,614976,1929742,1978496,214722150400,30.5312,212299298695,755310092,381634439,-24144669,1830427,915670232,39056157,110369841,1151392664
