Backup ID,Backup Online Processtime(s),Online Load Times,Online Delta num,Online Size,Offline Size,Offline Delta times,Offline Decompress times,Offline Delete times,Logic chunk num,Unique chunk num,FpIndex size,SfIndex size,Localmap size,Coldmap size,Deltamap size,total logical size,offline_time,online_dedupReduce,online_lz4Reduce,online_deltaReduce,offlineDelta_diff,offlineDelta_sum,offlineReDelta_sum,offlineRelz4_sum,_sum_Delta_size,_sum_Lz4_size
0,24.4615,303,6310,612317021,612317021,0,0,0,598895,116850,9348000,20972032,0,0,272224,8588886016,0.000188,7577242754,340645769,58680472,0,0,0,0,8992647,603324374
1,18.77,410,7940,640257753,640257753,0,0,0,1197560,122453,9796240,21722688,0,0,350144,17177772032,0.000215,16109115380,353494510,74904389,0,0,0,0,12398719,627859034
2,19.0494,588,10558,666883746,666883746,0,0,0,1796008,129193,10335440,22498624,0,0,477856,25766658048,0.00026,24626229913,371262018,102282371,0,0,0,0,16931994,649951752
3,18.8564,699,11857,678120410,678120410,0,0,0,2394289,132218,10577440,22818432,0,0,534816,34355544064,0.000299,33181971849,379452066,115999739,0,0,0,0,19161062,658959348
4,18.658,838,13419,701851428,701851428,0,0,0,2992254,137183,10974640,23465024,0,0,601728,42944430080,0.00037,41719690099,391702110,131186443,0,0,0,0,22784603,679066825
5,18.6777,994,14823,722730660,722730660,0,0,0,3590141,141681,11334480,24051136,0,0,661952,51533316096,0.000379,50261947521,402781926,145855989,0,0,0,0,25447725,697282935
6,18.692,1200,16338,745914679,745914679,0,0,0,4187832,146604,11728320,24697728,0,0,725376,60122202112,0.000543,58800648944,414465491,161172998,0,0,0,0,28643796,717270883
7,19.8248,1449,18442,780085808,780085808,0,0,0,4785201,153531,12282480,25613952,0,0,812544,68711088128,0.000449,67317831644,431939694,181230982,0,0,0,0,34117579,745968229
8,18.5623,1599,19446,795632360,795632360,0,0,0,5382415,156743,12539440,26033664,0,0,855136,77299974144,0.000464,75873466198,439972122,190903464,0,0,0,0,36436726,759195634
9,21.3655,1903,21523,834983311,834983311,0,0,0,5979346,164425,13154000,27101312,0,0,941504,85888860160,0.00048,84385714437,457402421,210759991,0,0,0,0,41502654,793480657
10,19.7817,2265,23838,861387018,861387018,0,0,0,6576018,170688,13655040,27852480,0,0,1035968,94477746176,0.000532,92907444263,476190530,232724365,0,0,0,0,47084173,814302845
11,18.5535,2442,24752,873241181,873241181,0,0,0,7172565,173447,13875760,28204928,0,0,1074784,103066632192,0.000539,101467450779,484530091,241410141,0,0,0,0,49318890,823922291
12,23.097,2618,25855,908142386,908142386,0,0,0,7768591,179273,14341840,29108224,0,0,1118720,111655518208,0.000643,110000215514,496606815,250553493,0,0,0,0,52888360,855254026
13,36.4845,3033,28165,940084548,940084548,0,0,0,8364315,186287,14902960,30006400,0,0,1215872,120244404224,0.000595,118516184752,515238440,272896484,0,0,0,0,58487446,881597102
14,19.7499,3451,30257,966480346,966480346,0,0,0,8959750,192236,15378880,30740160,0,0,1302912,128833290240,0.00067,127042266193,531849787,292693914,0,0,0,0,63862091,902618255
15,27.0424,3933,32397,1007404602,1007404602,0,0,0,9555592,200085,16006800,31830208,0,0,1391840,137422176256,0.000813,135552472326,548930121,313369207,0,0,0,0,69320286,938084316
16,20.2427,4408,34498,1037816737,1037816737,0,0,0,10151063,206500,16520000,32653568,0,0,1480512,146011062272,0.000877,144074847956,565107598,333289981,0,0,0,0,74614765,963201972
17,21.6289,4854,36271,1061893501,1061893501,0,0,0,10746509,211749,16939920,33314240,0,0,1552832,154599948288,0.00076,152609031672,578788341,350234774,0,0,0,0,78885579,983007922
18,19.6707,5207,37583,1084518261,1084518261,0,0,0,11341783,216232,17298560,33920192,0,0,1606880,163188834304,0.000932,161152293281,589722947,362299815,0,0,0,0,82481482,1002036779
19,21.8533,5849,40235,1124805830,1124805830,0,0,0,11937069,224744,17979520,35039552,0,0,1715136,171777720320,0.000973,169652341774,613599050,386973666,0,0,0,0,89542270,1035263560
20,21.4339,6299,41906,1151867286,1151867286,0,0,0,12532503,230313,18425040,35786304,0,0,1784544,180366606336,0.000999,178182838561,628713488,403187001,0,0,0,0,93676427,1058190859
21,21.4843,6871,43990,1183829840,1183829840,0,0,0,13128330,236831,18946480,36631616,0,0,1869728,188955492352,0.000985,186703485023,644594016,423583473,0,0,0,0,98813370,1085016470
22,20.0113,7436,45767,1214538288,1214538288,0,0,0,13724614,242852,19428160,37444352,0,0,1944064,197544378368,0.001163,195230029193,658953019,440857868,0,0,0,0,103490501,1111047787
23,24.6485,7969,47397,1239247318,1239247318,0,0,0,14321201,248008,19840640,38114048,0,0,2010112,206133264384,0.001187,203765937336,671826233,456253497,0,0,0,0,107541917,1131705401
24,20.8718,8553,49106,1263894495,1263894495,0,0,0,14918079,253296,20263680,38799104,0,0,2082368,214722150400,0.001099,212299298695,685606280,473350930,0,0,0,0,111639078,1152255417
25,21.9821,9339,52498,1315991100,1315991100,0,0,0,15514344,263864,21109120,40169664,0,0,2212000,223311036416,0.001373,220778045239,715525344,501474733,0,0,0,0,123145939,1192845161
26,20.2286,9987,54561,1346516418,1346516418,0,0,0,16110797,270198,21615840,40985984,0,0,2294976,231899922432,0.001481,229300467030,733227376,519711608,0,0,0,0,129145059,1217371359
27,20.5257,10623,56519,1375261078,1375261078,0,0,0,16707645,276189,22095120,41755072,0,0,2373856,240488808448,0.001455,237826131997,748965943,538449430,0,0,0,0,134279560,1240981518
28,21.2789,11395,58914,1414213742,1414213742,0,0,0,17305024,284120,22729600,42814144,0,0,2471936,249077694464,0.001304,246332755486,769589411,561135825,0,0,0,0,140818173,1273395569
29,28.8046,12157,61337,1451948374,1451948374,0,0,0,17903139,291725,23338000,43804800,0,0,2570880,257666580480,0.001351,254842576130,788165847,583890129,0,0,0,0,147475260,1304473114
