#logical data size (B), logical chunk num, unique data size (B), unique chunk num, online size (B), total process time (s), enclave speed (MiB/s)
2869463040, 349658, 1586581660, 181563, 838586441, 9.284345, 294.747040
5748879360, 700527, 2005085802, 225166, 1074899975, 6.784162, 404.770020
8606402560, 1048641, 2401076896, 266111, 1299402609, 6.643642, 410.188641
11506227200, 1400928, 2823542516, 309641, 1537885935, 6.995472, 395.325474
14379182080, 1749773, 3221877633, 350273, 1762328525, 6.814857, 402.042667
17284945920, 2102412, 3626123370, 391624, 1989802653, 6.802835, 407.352573
20191088640, 2454706, 4041790630, 434179, 2223204994, 6.878573, 402.919860
23129180160, 2812109, 4435403046, 475940, 2447377924, 6.810886, 411.397639
26049710080, 3167314, 4815972298, 516183, 2664674881, 6.844262, 406.944441
28969748480, 3522400, 5198324110, 556670, 2882935020, 6.808533, 409.011108
31867842560, 3874982, 5565605388, 595347, 3093377765, 6.827625, 404.802240
34764001280, 4227381, 5937267741, 634533, 3306221570, 6.704990, 411.930844
37705349120, 4585507, 6332317969, 676861, 3532410937, 6.860177, 408.894390
40626268160, 4940662, 6713959396, 717180, 3750246491, 6.919256, 402.587427
43568435200, 5298219, 7082753289, 756126, 3961384281, 6.863387, 408.816979
46505267200, 5655036, 7445443641, 794396, 4169180490, 6.823754, 410.445812
49483950080, 6017260, 7823476615, 834554, 4384887571, 7.133536, 398.216727
52483553280, 6381829, 8201432140, 874758, 4600656050, 7.075976, 404.275612
55485675520, 6746630, 8572341154, 914145, 4812676582, 7.009883, 408.430052
58467983360, 7108426, 8948973987, 954067, 5027630498, 6.954120, 408.987822
61400565760, 7464498, 9319044274, 993174, 5239231120, 6.837884, 409.004966
64291246080, 7815621, 9690481972, 1032218, 5451583770, 6.729343, 409.663704
67153766400, 8163270, 10057353438, 1070694, 5661793296, 6.635590, 411.404579
70005688320, 8509462, 10423757412, 1109121, 5871705823, 6.619539, 410.875242
72872611840, 8857126, 10785938053, 1147034, 6079531135, 6.652496, 410.990300
75747768320, 9205823, 11145427019, 1184724, 6285848644, 6.649562, 412.352406
78613667840, 9553238, 11511966758, 1223126, 6495861141, 6.644074, 411.364287
81478348800, 9900471, 11872768927, 1260887, 6702829246, 6.578222, 415.305634
84350238720, 10248239, 12237946237, 1299161, 6912114018, 6.688017, 409.515654
87226378240, 10596588, 12600596594, 1337206, 7120016767, 6.618162, 414.450476
90117150720, 10946481, 12968055455, 1375853, 7330414955, 6.660064, 413.938285
92970352640, 11291923, 13325556050, 1413211, 7535757355, 6.611946, 411.531702
95788369920, 11633491, 13679895037, 1450134, 7739604558, 6.687498, 401.864898
98655385600, 11980449, 14076093037, 1491772, 7967784523, 6.775009, 403.571304
101536942080, 12328874, 14465034928, 1532659, 8191530202, 6.722706, 408.773849
104431165440, 12678852, 14850849290, 1573224, 8413076802, 6.843637, 403.315735
107317770240, 13027926, 15231135114, 1613137, 8631491801, 6.778651, 406.110428
110227466240, 13379379, 15609136396, 1652971, 8848351884, 6.798834, 408.143859
113113917440, 13728163, 15977195134, 1691563, 9059891447, 6.746026, 408.052737
116000757760, 14076885, 16345283035, 1730035, 9271252600, 6.726006, 409.322482
118909593600, 14428208, 16718145370, 1769259, 9485077967, 6.814602, 407.079097
121795717120, 14776888, 17086806716, 1807925, 9696686209, 6.711992, 410.075262
124680949760, 15125521, 17458129194, 1846954, 9909589390, 6.704334, 410.416943
127569377280, 15474430, 17824633621, 1885464, 10120013748, 6.750243, 408.077034
130441646080, 15821608, 18187892099, 1923538, 10328610965, 6.710423, 408.202133
133332664320, 16170670, 18550291606, 1961503, 10536700608, 6.789666, 406.071498
136244039680, 16521828, 18912830265, 1999608, 10744833594, 6.778619, 409.597280
139155404800, 16873063, 19278065298, 2038050, 10954293089, 6.787554, 409.056656
142071173120, 17225102, 19646653058, 2076957, 11165570604, 6.827179, 407.297562
144962355200, 17574419, 20012221789, 2115318, 11375288390, 6.692352, 411.999562
147876433920, 17926301, 20382505558, 2154337, 11587520650, 6.742092, 412.198770
150738626560, 18271894, 20744929295, 2192243, 11795252922, 6.651491, 410.374096
153603604480, 18617702, 21104158522, 2229865, 12001379292, 6.647242, 411.036015
156488765440, 18965640, 21459879139, 2267172, 12205664847, 6.659073, 413.196237
159383644160, 19314713, 21823151729, 2305354, 12413826058, 6.698943, 412.120462
162274867200, 19663418, 22191381180, 2344057, 12624654591, 6.760650, 407.843204
165181665280, 20013675, 22565614286, 2383448, 12838505521, 6.820046, 406.469204
168073625600, 20362245, 22926259665, 2421236, 13045226196, 6.691475, 412.164475
170970521600, 20711122, 23297321455, 2460140, 13257275591, 6.697054, 412.523971
173870110720, 21060301, 23653978445, 2497568, 13461930893, 6.692062, 413.215489
176770754560, 21409582, 24012391341, 2535174, 13667431119, 6.704830, 412.578623
179671726080, 21758839, 24376710915, 2573456, 13875926926, 6.838649, 404.550962
182588170240, 22110179, 24746247844, 2612534, 14087355023, 6.782184, 410.094726
185476454400, 22458283, 25113522953, 2651107, 14297618314, 6.710975, 410.444447
188373995520, 22807536, 25479224907, 2689545, 14507041346, 6.743117, 409.797212
191239946240, 23153242, 25840016130, 2727239, 14714022591, 6.657706, 410.529332
194128947200, 23501375, 26197711913, 2764639, 14919276788, 6.611504, 416.723035
197020743680, 23849800, 26555483219, 2802055, 15124532414, 6.636290, 415.568342
199907051520, 24197521, 26919495546, 2840113, 15333057398, 6.657288, 413.471320
202809763840, 24546857, 27285992635, 2878491, 15542665802, 6.717147, 412.115767
205728215040, 24897909, 27651087447, 2916854, 15751696968, 6.934670, 401.353194
208668569600, 25251386, 28019890005, 2955664, 15962648533, 7.303824, 383.927738
211589539840, 25602695, 28385267946, 2993999, 16171899857, 6.730414, 413.890482
214500464640, 25952879, 28744357655, 3031642, 16377856683, 6.694581, 414.674827
217447301120, 26306780, 29106010902, 3069665, 16584985956, 6.801704, 413.179148
220407265280, 26661969, 29473586437, 3108343, 16795166995, 6.833471, 413.090477
223364904960, 27016854, 29841213287, 3147052, 17005350197, 6.903463, 408.581172
226333276160, 27372834, 30210618529, 3185939, 17216450118, 6.833749, 414.246905
229288622080, 27727488, 30580456393, 3224888, 17427810867, 6.831393, 412.571418
232259921920, 28083712, 30947402258, 3263563, 17637574593, 6.880316, 411.849157
235194050560, 28435875, 31309801095, 3301590, 17845055159, 6.772405, 413.177169
238136698880, 28788926, 31670932755, 3339470, 18051848501, 6.741156, 416.297757
241094256640, 29143842, 32043527381, 3378802, 18265135297, 6.809779, 414.190662
244057620480, 29499437, 32411265351, 3417432, 18475458226, 6.840751, 413.124814
247020236800, 29855034, 32778427332, 3456001, 18685532142, 6.774898, 417.035222
249952245760, 30207386, 33144532851, 3494354, 18895165519, 6.729409, 415.516673
252891033600, 30560280, 33510814019, 3532733, 19104857199, 6.847853, 409.273751
255821864960, 30912241, 33872223736, 3570528, 19312055455, 6.719937, 415.935238
258780006400, 31267094, 34234822694, 3608514, 19519734200, 6.763578, 417.102237
261743943680, 31622355, 34633204370, 3650337, 19745574474, 6.906168, 409.290776
264688977920, 31975457, 34993981632, 3688084, 19952280763, 6.726674, 417.532278
267663267840, 32331840, 35362302568, 3726857, 20162893606, 6.813162, 416.327090
270636738560, 32688080, 35732765071, 3765813, 20374564146, 6.859166, 413.420911
273613271040, 33044759, 36103111432, 3804790, 20586239189, 6.846622, 414.604834
276588656640, 33401030, 36472574674, 3843726, 20797393450, 6.877812, 412.565628
279567728640, 33757572, 36851570722, 3883649, 21013485453, 6.935182, 409.659682
282529177600, 34112191, 37206548110, 3920889, 21217314765, 6.799207, 415.380472
285508986880, 34468564, 37571328158, 3959205, 21426142409, 6.847709, 414.995377
288542586880, 34830513, 37943870893, 3998557, 21638879974, 7.016807, 412.305256
291560990720, 35190865, 38316878963, 4037891, 21851823124, 6.972377, 412.854070
294563993600, 35549681, 38690974858, 4077328, 22065461847, 6.867406, 417.025980
297546045440, 35905999, 39058872939, 4116067, 22275591097, 6.829224, 416.431830
