#Backup ID,Process Time
0,24.2712
1,25.0059
2,26.4393
3,33.0944
4,36.2973
5,38.428
6,36.57
7,36.1616
8,36.8654
9,36.8574
10,36.5918
11,36.512
12,36.9071
13,36.8713
14,37.27
15,37.2654
16,38.2205
17,38.2867
18,38.7212
19,38.3482
20,37.7753
21,37.6959
22,36.9301
23,37.0501
24,37.3323
25,37.454
26,37.4174
27,37.6029
28,37.5441
29,37.571
30,37.7586
31,37.4887
32,37.2629
33,42.9409
34,45.0282
35,45.6966
36,46.8105
37,48.848
38,48.7083
39,50.1319
40,51.1122
41,51.791
42,52.5444
43,52.8481
44,53.1709
45,53.7944
46,52.9587
47,53.5661
48,55.2554
49,54.1193
50,56.9395
51,54.913
52,55.4638
53,55.8676
54,56.6402
55,57.1686
56,55.9409
57,55.9319
58,56.8715
59,57.0569
60,56.5422
61,56.4374
62,56.7882
63,56.2684
64,57.7527
65,56.3453
66,56.7972
67,57.0835
68,56.8744
69,56.6827
70,57.102
71,57.2137
72,57.0031
73,56.6937
74,58.9678
75,62.9405
76,61.0478
77,60.7223
78,60.5745
79,61.2889
80,60.2162
81,59.7506
82,58.858
83,58.8003
84,58.2581
85,57.3299
86,57.6142
87,57.7187
88,57.8583
89,58.3161
90,57.3587
91,57.8915
92,57.9049
93,58.8195
94,58.7486
95,58.6913
96,58.8533
97,58.8831
98,59.9232
99,59.3226
100,58.8993
101,59.808
