#Backup ID,Backup Online Processtime(s),Online Load Times,Online Delta num,Online Size,Offline Size,Offline Delta times,Offline Decompress times,Offline Delete times,Logic chunk num,Unique chunk num,FpIndex size,SfIndex size,Localmap size,Coldmap size,Deltamap size,total logical size
0,22.0313,1373,64575,577901309,577901309,0,0,0,349658,181563,14525040,16129920,0,0,2211744,2869463040
1,9.78282,1605,80180,733482413,733482413,0,0,0,700527,225166,18013280,18641536,0,0,2906048,5748879360
2,9.80731,1884,96329,872379710,872379710,0,0,0,1048641,266111,21288880,19798016,0,0,3539136,8606402560
3,9.52329,2048,105389,1067051993,1067051993,0,0,0,1400928,309641,24771280,22892736,0,0,3835008,11506227200
4,9.57503,2260,119844,1214888855,1214888855,0,0,0,1749773,350273,28021840,23956608,0,0,4511232,14379182080
5,9.71203,2485,134245,1365905406,1365905406,0,0,0,2102412,391624,31329920,24974080,0,0,5019648,17284945920
6,9.77297,2708,148988,1521782440,1521782440,0,0,0,2454706,434179,34734320,26010176,0,0,5511744,20191088640
7,9.61541,2919,159021,1694417244,1694417244,0,0,0,2812109,475940,38075200,28451968,0,0,5850400,23129180160
8,9.46442,3138,170060,1857724847,1857724847,0,0,0,3167314,516183,41294640,29959360,0,0,6253280,26049710080
9,9.57686,3400,180787,2023756109,2023756109,0,0,0,3522400,556670,44533600,31302464,0,0,6621408,28969748480
10,9.3852,3661,190614,2185547118,2185547118,0,0,0,3874982,595347,47627760,32454016,0,0,6957824,31867842560
11,9.55081,3920,200769,2348604119,2348604119,0,0,0,4227381,634533,50762640,33677440,0,0,7297408,34764001280
12,9.76279,4196,212531,2518467905,2518467905,0,0,0,4585507,676861,54148880,35103680,0,0,7688736,37705349120
13,9.67131,4458,222819,2686495242,2686495242,0,0,0,4940662,717180,57374400,36332608,0,0,8030368,40626268160
14,9.51807,4723,232431,2850435077,2850435077,0,0,0,5298219,756126,60490080,37439168,0,0,8352608,43568435200
15,9.43193,4983,241422,3013843710,3013843710,0,0,0,5655036,794396,63551680,38458816,0,0,8652064,46505267200
16,9.6262,5227,251209,3178989886,3178989886,0,0,0,6017260,834554,66764320,39668928,0,0,8977920,49483950080
17,9.66598,5467,261653,3343351538,3343351538,0,0,0,6381829,874758,69980640,40906752,0,0,9324000,52483553280
18,9.74941,5756,272292,3502530462,3502530462,0,0,0,6746630,914145,73131600,41828800,0,0,9698496,55485675520
19,9.63941,6001,281576,3670004982,3670004982,0,0,0,7108426,954067,76325360,42949248,0,0,10002432,58467983360
20,9.4441,6256,290351,3837686759,3837686759,0,0,0,7464498,993174,79453920,43907392,0,0,10289472,61400565760
21,9.31879,6472,299521,4001614342,4001614342,0,0,0,7815621,1032218,82577440,45043392,0,0,10589216,64291246080
22,9.25584,6726,308581,4166995586,4166995586,0,0,0,8163270,1070694,85655520,45949440,0,0,10886592,67153766400
23,9.2427,6978,317006,4334047368,4334047368,0,0,0,8509462,1109121,88729680,46843456,0,0,11164960,70005688320
24,9.20795,7234,325717,4498730686,4498730686,0,0,0,8857126,1147034,91762720,47626816,0,0,11453600,72872611840
25,9.33111,7506,334042,4663089638,4663089638,0,0,0,9205823,1184724,94777920,48368384,0,0,11728704,75747768320
26,9.29938,7742,343131,4828356150,4828356150,0,0,0,9553238,1223126,97850080,49329024,0,0,12024736,78613667840
27,9.39213,7990,353005,4985534684,4985534684,0,0,0,9900471,1260887,100870960,50138496,0,0,12355136,81478348800
28,9.39379,8279,362225,5148978253,5148978253,0,0,0,10248239,1299161,103932880,50958336,0,0,12666112,84350238720
29,9.22512,8520,370311,5316246143,5316246143,0,0,0,10596588,1337206,106976480,51740416,0,0,12929632,87226378240
30,9.36133,8790,379264,5482653976,5482653976,0,0,0,10946481,1375853,110068240,52633408,0,0,13223776,90117150720
31,9.20066,9063,387715,5645952411,5645952411,0,0,0,11291923,1413211,113056880,53360576,0,0,13500864,92970352640
32,9.29296,9337,395858,5809078320,5809078320,0,0,0,11633491,1450134,116010720,54018112,0,0,13768160,95788369920
33,9.5874,9643,404804,5993157381,5993157381,0,0,0,11980449,1491772,119341760,55229184,0,0,14062880,98655385600
34,9.43793,9936,413013,6175429064,6175429064,0,0,0,12328874,1532659,122612720,56402944,0,0,14332000,101536942080
35,9.51556,10208,422327,6351117885,6351117885,0,0,0,12678852,1573224,125857920,57742208,0,0,14637568,104431165440
36,9.44442,10467,431052,6526885250,6526885250,0,0,0,13027926,1613137,129050960,58951936,0,0,14924800,107317770240
37,9.52803,10742,439364,6703495505,6703495505,0,0,0,13379379,1652971,132237680,60134656,0,0,15197728,110227466240
38,9.32378,11010,445796,6880751609,6880751609,0,0,0,13728163,1691563,135325040,61161472,0,0,15411136,113113917440
