#Backup ID,Backup Online Processtime(s),Online Load Times,Online Delta num,Online Size,Offline Size,Offline Delta times,Offline Decompress times,Offline Delete times,Logic chunk num,Unique chunk num,FpIndex size,SfIndex size,Localmap size,Coldmap size,Deltamap size,total logical size,offline_time,online_dedupReduce,online_lz4Reduce,online_deltaReduce,offlineDelta_diff,offlineDelta_sum,offlineReDelta_sum,offlineRelz4_sum,_sum_Delta_size,_sum_Lz4_size
0,14.3652,0,0,838586441,380216392,109569,0,209,349658,181563,14525040,13181376,7012928,877597,3825728,2869463040,347.409,1282881380,747995219,0,-458370049,458370049,0,520783812,62413763,317802629
1,8.63862,0,0,616529926,434663899,185869,41104,497,700527,225166,18013280,14672640,9265536,1489437,5157376,5748879360,154.152,3743793558,930185827,0,-640236076,181866027,22838560,718328128,78092052,356571847
2,8.55722,0,0,659166533,473962386,288107,106334,804,1048641,266111,21288880,15328448,11634112,2308876,6477824,8606402560,190.836,6205325664,1101674287,0,-825440223,185204147,58191148,926366506,100926283,373036103
3,8.89304,0,0,712445712,546789151,405044,189539,1177,1400928,309641,24771280,17074112,13792960,3246237,7605376,11506227200,195.821,8682684684,1285656581,0,-991096784,165656561,108169737,1115987667,124890883,421898268
4,8.53619,0,0,771231741,582196514,552950,300369,1533,1749773,350273,28021840,17651584,16165952,4431257,8991328,14379182080,227.638,11157304447,1459549108,0,-1180132011,189035227,177624853,1325097808,144965797,437230717
5,8.63408,0,0,809670642,613272579,729848,439153,1936,2102412,391624,31329920,18180288,18605568,5848456,10271904,17284945920,253.405,13658822550,1636320717,0,-1376530074,196398063,263628505,1539144613,162614539,450658040
6,8.68563,0,0,846674920,637919450,937316,607356,2395,2454706,434179,34734320,18723968,21118592,7510479,11573888,20191088640,281.249,16149298010,1818585636,0,-1585285544,208755470,363638802,1758945556,173660012,464259438
7,8.68164,0,0,862092380,699132635,1161454,796418,2952,2812109,475940,38075200,19924800,23363456,9306360,12747008,23129180160,281.681,18693777114,1988025122,0,-1748245289,162959745,464385926,1951247002,203001713,496130922
8,8.76548,0,0,916429592,737659905,1409868,1008201,3512,3167314,516183,41294640,20520768,25707968,11296472,14031872,26049710080,304.637,21233737782,2151297417,0,-1927014976,178769687,588450001,2152497280,225482304,512177601
9,8.66731,0,0,955920044,768434129,1684316,1245163,4135,3522400,556670,44533600,20980928,28107136,13495163,15296576,28969748480,327.27,23771424370,2315389090,0,-2114500891,187485915,727974305,2357684424,243183533,525250596
