#Backup ID,Backup Online Processtime(s),Online Load Times,Online Delta num,Online Size,Offline Size,Offline Delta times,Offline Decompress times,Offline Delete times,Logic chunk num,Unique chunk num,FpIndex size,SfIndex size,Localmap size,Coldmap size,Deltamap size,total logical size,offline_time,online_dedupReduce,online_lz4Reduce,online_deltaReduce,offlineDelta_diff,offlineDelta_sum,offlineReDelta_sum,offlineRelz4_sum,_sum_Delta_size,_sum_Lz4_size
0,15.6802,121,6050,819942326,389546599,106962,5528,205,349658,181563,14525040,13274816,6492288,856721,3755744,2869463040,342.128,1282881380,724467834,42171500,-430395727,430395727,9271859,481046127,61327833,328218766
1,12.1795,1561,14259,582538437,446460764,177751,49632,479,700527,225166,18013280,14802176,8200128,1424403,5079616,5748879360,130.674,3743793558,869077008,123074630,-566473400,136077673,33990852,630089558,77874202,368586562
2,12.1401,2882,27212,604534311,481002483,267252,115194,787,1048641,266111,21288880,15482944,9733120,2141951,6401408,8606402560,145.854,6205325664,983463682,246605503,-690005228,123531828,70840719,765638927,95486926,385515557
3,12.4424,4235,36734,670687302,557413931,378989,202915,1143,1400928,309641,24771280,17265408,11270144,3037627,7522880,11506227200,166.903,8682684684,1121363340,341486646,-803278599,113273371,119645889,900998494,122133185,435280746
4,12.9387,5774,51193,707254614,592772124,512107,313359,1486,1749773,350273,28021840,17849856,12721280,4104278,8911264,14379182080,178.957,11157304447,1228781747,482562673,-917761089,114482490,188427415,1029593058,142553499,450218625
5,13.3024,7373,68975,726302847,621000041,663526,444401,1845,2102412,391624,31329920,18381184,14025664,5317425,10191584,17284945920,189.2,13658822550,1325255631,656803803,-1023063895,105302806,273051306,1142346294,157620725,463379316
6,12.4035,8647,84124,775161699,650113002,843912,600645,2253,2454706,434179,34734320,18924288,15570752,6762545,11493952,20191088640,213.398,16149298010,1438343047,805221989,-1148112592,125048697,368040217,1277123603,173315948,476797054
7,13.1295,10368,94709,821177726,705991911,1048116,781586,2741,2812109,475940,38075200,20145792,17059584,8398617,12626464,23129180160,237.628,18693777114,1563300672,902812056,-1263298407,115185815,471298207,1409019008,194757365,511234546
8,12.8354,11961,108253,857478993,745213158,1264492,974876,3246,3167314,516183,41294640,20758656,18537216,10132150,13913152,26049710080,241.921,21233737782,1672383978,1022810920,-1375564242,112265835,577718327,1539873934,217999667,527213491
9,12.2401,13348,121143,901684584,778574713,1506006,1191795,3810,3522400,556670,44533600,21228608,20111360,12067082,15179776,28969748480,256.09,23771424370,1785059113,1136016171,-1498674113,123109871,704250895,1678996639,238283759,540290954
10,12.6028,14833,134317,926155095,803954246,1763777,1426426,4405,3874982,595347,47627760,21612224,21592320,14132209,16389984,31867842560,265.713,26302237172,1889523731,1251252449,-1620874962,122200849,842616127,1811677174,253359889,550594357
11,12.4832,16336,146262,960639579,852110471,2054340,1692481,5074,4227381,634533,50762640,22020992,23161088,16460050,17603232,34764001280,302.832,28826733539,2001416111,1354337089,-1729404070,108529108,1003179994,1951813762,289078909,563031562
12,13.0859,17910,158071,1023440091,847230785,2366168,1977284,5835,4585507,676861,54148880,22599296,24890752,18958479,18892384,37705349120,326.782,31373031151,2123281112,1456192696,-1905613376,176209306,1194271890,2103292452,269378453,577852332
13,12.7971,19517,170002,1008071397,879227759,2693858,2279319,6626,4940662,717180,57374400,23036992,26532736,21583946,20136512,40626268160,318.582,33912308764,2239117445,1561157178,-2034457014,128843638,1359101853,2248323185,289695764,589531995
14,13.2649,21321,183164,1027601754,910537608,3026999,2588937,7446,5298219,756126,60490080,23408000,28038208,24253174,21353696,43568435200,316.863,36485681911,2344478207,1676216314,-2151521160,117064146,1525060254,2382791878,311201501,599336107
15,12.8727,22988,196836,1052483542,950070087,3377496,2916644,8319,5655036,794396,63551680,23681088,29496768,27061515,22560640,46505267200,323.378,39059823559,2444873518,1796565421,-2253934615,102413455,1706828258,2512659251,343072492,606997595
16,12.7445,24477,207804,1115328762,961680698,3749761,3262654,9387,6017260,834554,66764320,23994816,31177088,30044975,23805952,49483950080,356.543,41660473465,2564530065,1889683173,-2407582679,153648064,1916991718,2660939537,342398389,619282309
17,13.7165,26356,222827,1104494927,976225489,4137154,3627441,10361,6381829,874758,69980640,24378752,32624000,33148973,25058784,52483553280,360.442,44282121140,2666324976,2023029558,-2535852117,128269438,2126916603,2787768131,345923161,630302328
18,13.1341,28037,235403,1129304098,1007938909,4564722,4030308,11404,6746630,914145,73131600,24729792,34204992,36574732,26291136,55485675520,390.579,46913334366,2775869977,2131314962,-2657217306,121365189,2333262324,2927613383,368574960,639363949
19,13.4268,29827,248459,1161777730,1042477023,4993533,4434636,12441,7108426,954067,76325360,25048128,35771904,40010405,27532160,58467983360,389.951,49519009373,2885670622,2244308329,-2776518013,119300707,2550590188,3066575764,392689401,649787622
20,13.1789,31613,260194,1197696272,1057985738,5455391,4871297,13623,7464498,993174,79453920,25394048,37384512,43711179,28751328,61400565760,399.667,52081521486,2997943129,2346886860,-2916228547,139710534,2791617364,3208549592,399065873,658919865
21,12.2912,33053,270139,1224451544,1080989220,5934444,5323566,14832,7815621,1032218,82577440,25668352,39098688,47549648,29967680,64291246080,404.875,54600764108,3117853357,2431948524,-3059690871,143462324,3031865144,3361415158,411776989,669212231
22,12.2947,34561,280828,1241033716,1108716445,6441747,5805126,16072,8163270,1070694,85655520,26050432,40746240,51614272,31166752,67153766400,432.86,57096412962,3232186629,2524442222,-3192008142,132317271,3281369916,3509083833,430474079,678242366
23,12.6672,36144,293622,1256399213,1137226660,6965160,6304954,17296,8509462,1109121,88729680,26393152,42256064,55807680,32359616,70005688320,451.084,59581930908,3337533832,2637816225,-3311180695,119172553,3542153515,3644265337,450858119,686368541
24,12.9313,37866,306737,1279593630,1154853066,7501477,6818668,18485,8857126,1147034,91762720,26681664,43702656,60104161,33535296,72872611840,456.767,62086673787,3437737920,2757425808,-3435921259,124740564,3828810826,3773130716,459736253,695116813
25,13.0386,39654,319204,1301256961,1171888707,8051421,7345269,19731,9205823,1184724,94777920,26915264,45196672,64509935,34710944,75747768320,461.593,64602341301,3540662243,2867586556,-3565289513,129368254,4114099621,3908169148,469633361,702255346
26,12.9232,41400,332533,1316104696,1197682347,8624007,7894716,21068,9553238,1223126,97850080,27211328,46677632,69097308,35908640,78613667840,464.52,67101701082,3643957283,2986615266,-3683711862,118422349,4406949305,4039581681,487085293,710597054
27,12.7376,43075,345011,1342946550,1207726314,9223632,8470706,22363,9900471,1260887,100870960,27472000,48190400,73900775,37092864,81478348800,478.632,69605579873,3746526219,3099584296,-3818932098,135220236,4710984158,4173434471,489952379,717773935
28,12.7442,44729,357254,1357134362,1240425067,9846889,9069906,23834,10248239,1299161,103932880,27752512,49730112,78894178,38284576,84350238720,508.855,72112292483,3852800694,3209079083,-3935641393,116709295,5015585505,4310547399,514601122,725823945
29,13.1713,46581,369907,1383844245,1248861461,10480251,9679961,25262,10596588,1337206,106976480,28007296,51221760,83968214,39462272,87226378240,517.566,74625781646,3954825775,3326285181,-4070624177,134982784,5338574239,4441714192,515221539,733639922
30,12.4484,48163,380671,1406194055,1281599063,11141991,10315862,26814,10946481,1375853,110068240,28294528,52875776,89269894,40663040,90117150720,509.822,77149095265,4068013486,3423223737,-4195219169,124594992,5658124205,4587620113,539702349,741896714
31,12.695,49868,394142,1420036978,1292287845,11801874,10953384,28297,11291923,1413211,113056880,28536896,54306880,94556373,41836896,92970352640,507.285,79644796590,4165227087,3545072816,-4322968302,127749133,5990243519,4714953897,543839497,748448348
