#Backup ID,Process Time
0,51.7624
1,67.0242
2,68.4069
3,84.6464
4,86.4755
5,87.7617
6,92.5255
7,90.4439
8,97.6041
9,92.3815
10,85.5655
11,85.4782
12,86.328
13,86.7012
14,87.3752
15,89.298
16,89.4787
17,94.5692
18,91.268
19,100.089
20,94.7347
21,87.9505
22,87.6494
23,92.5484
24,92.9559
25,89.945
26,88.3799
27,87.6927
28,88.3403
29,88.5953
30,89.0442
31,88.5053
32,87.5133
33,98.2721
34,100.332
35,101.317
36,103.371
37,106.424
38,106.465
39,109.556
40,111.702
41,113.229
42,117.255
43,115.553
44,116.013
45,117.706
46,119.638
47,122.076
48,125.228
49,124.124
50,134.017
51,132.72
52,135.063
53,136.653
54,137.95
55,137.151
56,137.998
57,137.812
58,138.124
59,138.202
60,138.964
61,142.026
62,142.422
63,138.411
64,139.312
65,137.619
66,138.923
67,139.387
68,138.49
69,139.61
70,140.262
71,141.588
72,140.475
73,140.283
74,141.798
75,142.285
76,143.102
77,144.113
78,145.488
79,143.477
80,141.822
81,142.308
82,142.631
83,151.045
84,143.833
85,141.903
86,144.969
87,148.062
88,151.934
89,143.137
90,143.146
91,144.38
92,143.077
93,146.736
94,144.374
95,143.427
96,143.839
97,144.577
98,148.037
99,152.384
100,148.165
101,147.182
