#Backup ID,Backup Online Processtime(s),Online Load Times,Online Delta num,Online Size,Offline Size,Offline Delta times,Offline Decompress times,Offline Delete times,Logic chunk num,Unique chunk num,FpIndex size,SfIndex size,Localmap size,Coldmap size,Deltamap size,total logical size
0,78.4638,19991,105196,415315700,415315700,0,0,0,349658,181563,14525040,13727296,0,0,3663200,2869463040
1,32.8224,28644,139918,475320471,475320471,0,0,0,700527,225166,18013280,15313856,0,0,4975520,5748879360
2,41.0272,38218,177156,508671049,508671049,0,0,0,1048641,266111,21288880,15998592,0,0,6305728,8606402560
3,40.9234,50592,210752,578551697,578551697,0,0,0,1400928,309641,24771280,17848384,0,0,7418176,11506227200
4,41.0693,63167,248134,611672500,611672500,0,0,0,1749773,350273,28021840,18440512,0,0,8812448,14379182080
5,42.5654,76356,286511,643484546,643484546,0,0,0,2102412,391624,31329920,18984832,0,0,10091232,17284945920
6,52.5025,90101,325995,676851617,676851617,0,0,0,2454706,434179,34734320,19551424,0,0,11392256,20191088640
7,42.4114,103154,359353,732429672,732429672,0,0,0,2812109,475940,38075200,20855552,0,0,12501568,23129180160
8,44.3134,117082,396165,765716765,765716765,0,0,0,3167314,516183,41294640,21486592,0,0,13798144,26049710080
9,50.5159,131312,433518,797676403,797676403,0,0,0,3522400,556670,44533600,22015616,0,0,15054368,28969748480
10,52.4266,145948,470248,823432033,823432033,0,0,0,3874982,595347,47627760,22376768,0,0,16275936,31867842560
11,52.9097,160458,506784,852736951,852736951,0,0,0,4227381,634533,50762640,22830592,0,0,17485472,34764001280
12,54.9014,175820,545835,884278145,884278145,0,0,0,4585507,676861,54148880,23427200,0,0,18773920,37705349120
13,48.1844,191444,583828,912314447,912314447,0,0,0,4940662,717180,57374400,23857088,0,0,20024640,40626268160
14,49.3226,207142,621006,937096134,937096134,0,0,0,5298219,756126,60490080,24187264,0,0,21248480,43568435200
15,54.0614,222994,657883,960109716,960109716,0,0,0,5655036,794396,63551680,24443328,0,0,22460672,46505267200
16,48.3387,238660,694632,992941765,992941765,0,0,0,6017260,834554,66764320,24942592,0,0,23683776,49483950080
17,51.26,254732,731939,1023398865,1023398865,0,0,0,6381829,874758,69980640,25348288,0,0,24923968,52483553280
18,53.9126,270885,769831,1046803280,1046803280,0,0,0,6746630,914145,73131600,25624128,0,0,26170272,55485675520
19,50.3612,287270,807446,1074573208,1074573208,0,0,0,7108426,954067,76325360,25984000,0,0,27406496,58467983360
20,50.128,303816,844958,1098470884,1098470884,0,0,0,7464498,993174,79453920,26277120,0,0,28630816,61400565760
21,54.3255,320174,881699,1126267476,1126267476,0,0,0,7815621,1032218,82577440,26652032,0,0,29838528,64291246080
22,59.0503,336543,918714,1149628290,1149628290,0,0,0,8163270,1070694,85655520,26924352,0,0,31044864,67153766400
23,56.3268,352943,955478,1173464465,1173464465,0,0,0,8509462,1109121,88729680,27230784,0,0,32241600,70005688320
24,52.4468,369335,992131,1195869382,1195869382,0,0,0,8857126,1147034,91762720,27462400,0,0,33435552,72872611840
25,50.5856,385897,1028677,1217418682,1217418682,0,0,0,9205823,1184724,94777920,27669824,0,0,34622912,75747768320
26,58.2101,402525,1065625,1240758885,1240758885,0,0,0,9553238,1223126,97850080,27938304,0,0,35825248,78613667840
27,56.239,418489,1102099,1263125042,1263125042,0,0,0,9900471,1260887,100870960,28172032,0,0,37010240,81478348800
28,49.6505,435023,1138973,1286102885,1286102885,0,0,0,10248239,1299161,103932880,28431744,0,0,38209600,84350238720
29,57.3957,451731,1175669,1308685121,1308685121,0,0,0,10596588,1337206,106976480,28672256,0,0,39401568,87226378240
30,50.1553,468396,1212621,1332978560,1332978560,0,0,0,10946481,1375853,110068240,28977728,0,0,40603232,90117150720
31,49.8395,485062,1248934,1354127548,1354127548,0,0,0,11291923,1413211,113056880,29168128,0,0,41784384,92970352640
