shieldreduce docker 0.03 0.9Backup ID, FPindex, SFindex, Deltaindex
0,3607280,8562112,10496
1,5055440,10505472,514528
2,6434800,12390720,826432
3,7770800,14062592,1093920
4,8954400,15454912,1056416
5,10126720,16903744,1142304
6,14600720,26896576,1311776
7,17402880,31731520,1801280
8,19944800,35168384,2240896
9,19946560,35170304,2241600
10,20568000,36213120,2258592
11,21027520,36883264,2326144
12,22200960,38348608,2328384
13,22458400,38442560,2344256
14,24068640,40237184,2713216
15,25290320,41387840,2701312
16,27341840,43379456,2727712
17,28057680,43626688,2874784
18,28591520,44424192,2833920
19,29090320,45076032,2880544
20,29567360,45671552,2933056
21,30039680,46246720,2977952
22,30041520,46249024,2978560
23,30043200,46249728,2979264
24,31288240,47906176,3062176
25,31583200,48061760,3067456
26,31880320,48162624,3122144
27,32983600,49267456,3118272
28,33269040,49391488,3138784
29,34894880,51077056,3125120
30,36234640,52296000,3203712
31,36430880,52370560,3198688
32,36630240,52466112,3259584
33,36827440,52555776,3260800
34,37629120,53288000,3323680
35,38251920,53455232,3361568
36,38855920,53551552,3387552
37,40456160,54485632,3354432
38,41071760,54647360,3403968
39,42455120,56311168,3499136
40,43676240,57240704,3686688
41,45042000,58360192,3828544
42,46255680,59498624,3888416
43,46615200,59736448,3942752
44,47810800,61180352,3874560
45,48015520,61292224,3898688
46,48277760,61375552,3941408
47,49474000,62411584,3902368
48,49476000,62413056,3903456
49,49766880,62770176,3953888
50,49990000,62901632,3981088
51,50907760,63665664,4179840
52,51023520,63752448,4196832
53,51146880,63876992,4215872
54,51264560,63968768,4211776
55,51364080,64024000,4211712
56,51464880,64071360,4223712
57,51673280,64181248,4202464
58,51891200,64310016,4240256
59,52093920,64387968,4241920
60,52297600,64466304,4263936
61,52501840,64538112,4300640
62,53364800,64884608,4301600
63,54047120,64975296,4352832
64,54726400,65082816,4387776
65,55403280,65148928,4408640
66,55405360,65151232,4409280
67,55679520,65452288,4342208
68,56811840,66650048,4470080
69,57028480,66791424,4503456
70,57030480,66792128,4504000
71,58807680,70765248,4592096
72,59713520,72478464,4712672
73,60191280,73331328,4782080
74,60288400,73396864,4799712
75,60765680,74079680,4829504
76,60988640,74202752,4779552
77,61645600,75193664,4869088
78,61829280,75270144,4911488
79,62503760,76208384,4981152
80,62742560,76307264,4949184
81,63005280,76467456,4948416
82,63898000,78306816,5028992
83,64430480,79155840,5066880
84,64828240,79799680,5108640
85,65276800,80303872,5147488
86,65557280,80473280,5118080
87,65747040,80523648,5123296
88,65748720,80524352,5123744
89,65925840,80892608,5138624
90,66088160,81105728,5178016
91,66199680,81179520,5176480
92,66743040,81976640,5224192
93,67042080,82099776,5268640
94,67043760,82100736,5269440
