Backup ID, Online Delta_save, Offline Delta_save, Offline delta time, Offline dedelta time, Offline delete time, Offline Delta chunk num
0,1360851,171516,38,20,8,18
1,59253345,780060,157,59,22,98
2,112573441,2048276,481,203,42,278
3,160433218,8383910,3098,1968,80,1130
4,184538325,16290457,7672,5432,121,2240
5,205098175,24278558,13465,10105,170,3360
6,219431010,35321688,17360,12366,238,4994
7,271000083,53531860,22736,14996,324,7740
8,331802285,78200592,32060,21156,429,10904
9,331862016,78209635,32061,21156,430,10905
10,337965261,83891303,38009,26313,478,11696
11,346185724,87739796,41638,29376,536,12262
12,361764839,96987659,51692,38140,617,13552
13,370363030,98903143,55303,41452,639,13851
14,435063420,109197514,61345,46157,717,15188
15,475163751,117890582,66885,50622,779,16263
16,509409088,134756431,82045,63645,856,18400
17,522360176,144178492,87509,67818,937,19691
18,527794700,148505127,95041,74839,999,20202
19,534104146,152543494,102296,81524,1087,20772
20,541498942,156224434,109041,87739,1154,21302
21,548686260,159874439,116691,94864,1216,21827
22,548746907,159874439,116691,94864,1216,21827
23,548818421,159219186,116913,95084,1221,21829
24,574321369,170421967,127572,104452,1292,23120
25,584438574,172528210,133577,110154,1352,23423
26,596266284,174242903,137986,114320,1411,23666
27,621914212,183611560,149832,125018,1486,24814
28,632382250,185678531,156281,131163,1542,25118
29,649628334,201967948,179715,152509,1670,27206
30,672056138,213869905,196201,167559,1749,28642
31,676754408,215899302,204278,175342,1779,28936
32,685429213,217346094,209219,180079,1822,29140
33,691328707,219180491,215559,186156,1864,29403
34,692872146,228733025,219353,188724,1953,30629
35,696170556,235552749,222784,191382,1995,31402
36,698581972,242190990,227155,194996,2066,32159
37,709108037,257905439,252799,218655,2195,34144
38,711069360,264073474,256034,221074,2265,34960
39,725172839,277164751,275682,239160,2382,36522
40,757157348,287308280,293666,255855,2485,37811
41,788567172,299001487,316312,277003,2585,39309
42,807953197,310072235,335429,294801,2689,40628
43,816756118,312495367,340420,299441,2758,40979
44,820097551,326011938,373336,330647,2903,42689
45,826781199,327705388,380930,338025,2940,42905
46,835385456,329722945,387644,344438,3035,43206
47,845844779,341183905,416134,371551,3132,44583
48,845950899,341183905,416134,371551,3132,44583
49,851747388,344477149,425770,380723,3228,45047
50,859257378,346400012,434102,388780,3301,45322
51,864465903,371805765,440847,392025,3427,48822
52,867226400,372726607,441690,392768,3490,48922
53,869677239,373765401,442760,393690,3518,49070
54,870598294,374865808,443745,394528,3543,49217
55,871232568,375841514,445195,395852,3607,49343
56,872702984,376685565,446003,396552,3619,49451
57,875109977,379294396,461178,411321,3727,49857
58,879570419,381564354,471726,421524,3837,50202
59,883254249,383775349,484468,433962,3877,50506
60,888398393,385828595,494955,444165,3943,50790
61,893929824,387813690,503395,452304,4027,51091
62,896490642,397142865,522159,469940,4179,52219
63,898336643,405921735,527768,474506,4284,53262
64,899478475,414260834,534638,480387,4355,54251
65,900826652,422391372,542333,487101,4473,55232
66,900909809,422391372,542333,487101,4473,55232
67,904472898,425025897,556849,501301,4526,55548
68,918073265,436441308,588238,531264,4717,56974
69,923812351,438488283,598585,541318,4825,57267
70,923888202,438502567,598588,541318,4827,57270
71,932603087,440979395,599676,542085,4957,57591
72,947147615,444466041,601015,542907,5021,58108
73,955942027,447892298,602373,543871,5077,58502
74,960957590,448322009,602550,543989,5083,58561
75,970528911,451437949,605166,546169,5140,58997
76,973827141,453063607,607518,548304,5245,59214
77,983057172,458883068,610934,550938,5324,59996
78,990679830,460020316,612603,552393,5361,60210
79,999441205,465680250,617291,556279,5446,61012
80,1006289681,467118923,619376,558229,5479,61147
81,1012529407,469444128,622561,561101,5515,61460
82,1017950710,475691289,626001,563663,5672,62338
83,1021789061,480862779,631055,568028,5777,63027
84,1025954480,484009760,633608,570152,5854,63456
85,1032459542,488328085,639684,575579,5962,64105
86,1036744654,490792927,644310,579872,6003,64438
87,1040425108,492187102,647191,582575,6049,64616
88,1040466421,492200635,647194,582575,6051,64619
89,1041199578,493538308,647825,583015,6105,64810
90,1045295421,494834020,648553,583560,6178,64993
91,1046887622,495903008,649809,584671,6217,65138
92,1052404873,500376280,654127,588343,6315,65784
93,1060029522,502517262,658233,592036,6448,66197
94,1060132116,502517262,658233,592036,6448,66197
