BackupID, OnlineSpeed(MB/s), Encalve ProcessTime(s), BackupSize, OnlineSize, OfflineSize, OfflineTime(s)
0, 101.241, 3.5308, 374824960, 226964559, 226873233, 0.168303
1, 197.071, 1.77234, 366243840, 278183397, 277865095, 0.365922
2, 193.123, 1.81404, 367349760, 328331192, 327766476, 0.731786
3, 206.241, 1.70718, 369192960, 380407053, 375134284, 3.35508
4, 214.409, 1.63941, 368578560, 437115151, 430916774, 4.76014
5, 186.928, 1.54591, 303011840, 491978706, 485864504, 5.44124
6, 102.521, 4.63722, 498503680, 743647385, 736832503, 4.9868
7, 111.601, 2.98759, 349614080, 863065421, 858018859, 6.88222
8, 118.654, 2.95141, 367206400, 973028975, 961521212, 10.6696
9, 642.579, 0.544984, 367206400, 961533000, 961532218, 0.0123
10, 293.999, 1.22639, 378071040, 994138655, 990875217, 5.1856
11, 313.908, 0.948789, 312299520, 1010100602, 1008171041, 3.3648
12, 189.818, 1.56827, 312145920, 1072183476, 1065779515, 7.66811
13, 437.756, 1.10569, 507535360, 1074325412, 1073469219, 2.77489
14, 219.795, 2.26788, 522680320, 1127784594, 1122349320, 5.7541
15, 248.999, 2.00223, 522772480, 1172468959, 1167453225, 5.43719
16, 151.397, 2.43461, 386498560, 1258049055, 1248987328, 12.4859
17, 283.804, 1.29116, 384235520, 1272611492, 1270244956, 6.24124
18, 301.787, 1.21429, 384256000, 1295141736, 1292650390, 5.71639
19, 315.031, 1.13717, 375644160, 1315075232, 1312830078, 6.15322
20, 339.806, 1.05753, 376811520, 1333481625, 1331411507, 5.29916
21, 334.422, 1.0799, 378685440, 1351971038, 1349913914, 5.49478
22, 611.733, 0.599012, 384235520, 1349930276, 1349930276, 0.002647
23, 657.024, 0.55772, 384235520, 1349940649, 1350616140, 0.222581
24, 203.223, 1.82758, 389447680, 1415181385, 1408721394, 8.64539
25, 394.536, 0.942836, 390051840, 1418630519, 1417636514, 4.74243
26, 365.678, 1.01989, 391065600, 1426238163, 1425371549, 3.79548
27, 223.833, 1.66602, 391024640, 1478950276, 1473590317, 8.68422
28, 384.526, 0.968523, 390512640, 1483834934, 1482806296, 4.47318
29, 146.58, 2.11609, 325242880, 1572190744, 1563251171, 17.0043
30, 166.256, 1.86589, 325283840, 1631147541, 1624357467, 13.5526
31, 396.988, 0.781151, 325171200, 1633776753, 1632832685, 5.76336
32, 409.336, 0.758684, 325642240, 1640065890, 1639337668, 3.79091
33, 412.392, 0.753346, 325765120, 1648279359, 1647379340, 4.12297
34, 285.862, 1.25778, 377016320, 1679652000, 1676423563, 4.70938
35, 299.065, 1.20356, 377425920, 1702541820, 1699927151, 3.87336
36, 318.125, 1.19149, 397455360, 1725425180, 1722875038, 4.61991
37, 177.169, 2.1271, 395161600, 1804563735, 1796393757, 17.866
38, 328.87, 1.14621, 395264000, 1823310593, 1820605915, 3.96957
39, 164.741, 1.89846, 327946240, 1898274609, 1890507283, 14.6863
40, 164.757, 1.745, 301465600, 1947269497, 1941593217, 13.9906
41, 157.274, 1.83088, 301936640, 2006964040, 2000422736, 17.5404
42, 169.982, 1.69463, 302049280, 2065733213, 2059200180, 14.9663
43, 324.962, 0.887664, 302469120, 2074545929, 2073007889, 4.40351
44, 210.173, 1.77268, 390666240, 2146884325, 2139493279, 21.9835
45, 426.65, 0.873287, 390686720, 2148533160, 2147626338, 5.99073
46, 392.925, 0.946502, 389969920, 2157575546, 2156580322, 5.27202
47, 198.006, 1.88259, 390871040, 2223101047, 2216447371, 20.4355
48, 638.53, 0.451752, 302469120, 2216454922, 2216454922, 0.004477
49, 395.194, 0.955795, 396072960, 2233817012, 2232079324, 7.37631
50, 415.875, 0.907373, 395683840, 2241616207, 2240661694, 6.29534
51, 264.008, 1.49254, 413184000, 2278698521, 2274894196, 9.1485
52, 476.745, 0.667368, 333619200, 2282576548, 2281741338, 1.25161
53, 481.162, 0.609182, 307353600, 2290414188, 2289542409, 1.02582
54, 452.793, 0.648449, 307875840, 2299411019, 2298422504, 0.845889
55, 482.983, 0.608118, 307978240, 2306658366, 2305832416, 1.31277
56, 470.503, 0.625121, 308408320, 2313555131, 2312782506, 0.57989
57, 399.39, 0.788873, 330373120, 2324631484, 2323445280, 9.74146
58, 402.203, 0.784085, 330680320, 2335199564, 2334019784, 8.00632
59, 413.963, 0.761575, 330577920, 2345032278, 2343927674, 8.52174
60, 405.861, 0.777861, 331038720, 2354055621, 2353040393, 7.35655
61, 386.334, 0.81748, 331161600, 2363154914, 2362136180, 6.31379
62, 262.159, 1.4339, 394168320, 2398236227, 2394624710, 13.9782
63, 307.867, 1.22446, 395284480, 2424584090, 2421583810, 5.82739
64, 319.362, 1.2402, 415313920, 2451772543, 2448752349, 6.34149
65, 310.647, 1.26802, 413040640, 2478562012, 2475576657, 7.26613
66, 590.667, 0.497947, 308408320, 2475595163, 2475595163, 0.004915
67, 404.341, 0.943304, 399943680, 2490100905, 2488649596, 8.51685
68, 206.284, 1.8158, 392765440, 2552965633, 2546527100, 22.1657
69, 385.884, 0.979261, 396236800, 2557093391, 2556035643, 7.87723
70, 619.146, 0.475043, 308408320, 2556054596, 2556052067, 0.02755
