input file, opt, logical data size (B), logical chunk num, total time (s), speed (MiB/s), chunking time, total filesize, total chunkingtime
/ramdisk/2.1.14.tar, upload, 374824960, 47270, 9.009409, 39.676402,0.846434,374824960.000000,0.302567
/ramdisk/2.1.15.tar, upload, 366243840, 46490, 4.350541, 80.283658,0.859941,366243840.000000,0.300358
/ramdisk/2.1.16.tar, upload, 367349760, 46494, 4.270895, 82.027779,0.812352,367349760.000000,0.284593
/ramdisk/2.1.17.tar, upload, 369192960, 46662, 4.132372, 85.202843,0.827096,369192960.000000,0.291212
/ramdisk/2.1.18.tar, upload, 368578560, 46645, 3.842773, 91.471421,0.858451,368578560.000000,0.301749
/ramdisk/2.1.19.tar, upload, 303011840, 38055, 3.597558, 80.325212,0.892847,303011840.000000,0.258010
/ramdisk/2.1.20.tar, upload, 498503680, 61893, 11.463095, 41.473106,0.873187,498503680.000000,0.415122
/ramdisk/2.1.21.tar, upload, 349614080, 42122, 7.312000, 45.598738,0.922980,349614080.000000,0.307738
/ramdisk/2.1.22.tar, upload, 367206400, 43933, 6.802609, 51.479559,0.871745,367206400.000000,0.305281
/ramdisk/2.1.tar, upload, 367206400, 43933, 1.447902, 241.863961,0.821305,367206400.000000,0.287617
/ramdisk/2.2.10.tar, upload, 378071040, 47737, 2.792111, 129.134064,0.838698,378071040.000000,0.302398
/ramdisk/2.2.11.tar, upload, 312299520, 39141, 2.265179, 131.482780,0.859975,312299520.000000,0.256128
/ramdisk/2.2.12.tar, upload, 312145920, 39127, 3.650759, 81.540728,0.856347,312145920.000000,0.254922
/ramdisk/2.2.13.tar, upload, 507535360, 63018, 2.515149, 192.443246,0.811643,507535360.000000,0.392854
/ramdisk/2.2.14.tar, upload, 522680320, 65385, 5.298755, 94.072437,0.807681,522680320.000000,0.402602
/ramdisk/2.2.15.tar, upload, 522772480, 65420, 4.514909, 110.424083,0.791151,522772480.000000,0.394432
/ramdisk/2.2.16.tar, upload, 386498560, 46270, 5.865010, 62.846227,0.827665,386498560.000000,0.305072
/ramdisk/2.2.19.tar, upload, 384235520, 45871, 2.999327, 122.172590,0.871034,384235520.000000,0.319178
/ramdisk/2.2.6.tar, upload, 384256000, 48388, 2.769470, 132.319569,0.802808,384256000.000000,0.294193
/ramdisk/2.2.7.tar, upload, 375644160, 47630, 2.649085, 135.232425,0.819898,375644160.000000,0.293722
/ramdisk/2.1.14.tar, upload, 374824960, 47270, 8.955243, 39.916386,0.888743,374824960.000000,0.317691
/ramdisk/2.1.15.tar, upload, 366243840, 46490, 4.295125, 81.319483,0.899961,366243840.000000,0.314336
/ramdisk/2.1.16.tar, upload, 367349760, 46494, 4.202369, 83.365366,0.838410,367349760.000000,0.293722
/ramdisk/2.1.17.tar, upload, 369192960, 46662, 4.229414, 83.247902,0.846213,369192960.000000,0.297943
/ramdisk/2.1.18.tar, upload, 368578560, 46645, 3.810588, 92.244007,0.827317,368578560.000000,0.290805
/ramdisk/2.1.19.tar, upload, 303011840, 38055, 3.576562, 80.796757,0.859328,303011840.000000,0.248324
/ramdisk/2.1.20.tar, upload, 498503680, 61893, 11.504914, 41.322356,0.805393,498503680.000000,0.382892
/ramdisk/2.1.21.tar, upload, 349614080, 42122, 7.260473, 45.922348,0.850539,349614080.000000,0.283585
/ramdisk/2.1.22.tar, upload, 367206400, 43933, 6.792321, 51.557533,0.858213,367206400.000000,0.300542
/ramdisk/2.1.tar, upload, 367206400, 43933, 1.429361, 245.001307,0.847424,367206400.000000,0.296764
/ramdisk/2.2.10.tar, upload, 378071040, 47737, 2.796708, 128.921804,0.889516,378071040.000000,0.320721
/ramdisk/2.2.11.tar, upload, 312299520, 39141, 2.191267, 135.917728,0.858991,312299520.000000,0.255835
/ramdisk/2.2.12.tar, upload, 312145920, 39127, 3.645315, 81.662503,0.858023,312145920.000000,0.255421
