Backup ID,Backup Size(MB),dataTranTime(us/MB),fpTime(ms/MB),freqTime(ms/MB),firstDedupTime(ms/MB),secondDedupTime(ms/MB),total_dedupTime(ms/MB),sfTime(ms/MB),checkTime(ms/MB),lz4compressTime(ms/MB),deltacompressTime(ms/MB),encTime(ms/MB),Total size(MB)
0,357.461,0.228179,0.900428,0.016583,0.064256,0.886708,1.86798,8.78123,0.104095,1.64732,0.828911,0.347086,357.460938
1,349.277,0.226804,0.907891,0.0264414,0.0674281,0.65009,1.65185,6.19195,0.0966822,1.02805,0.747597,0.237688,706.738281
2,350.332,0.225891,0.905865,0.0252354,0.0685725,0.553474,1.55315,5.26624,0.0939644,0.815418,0.722317,0.195151,1057.070312
3,352.09,0.215296,0.907886,0.0274276,0.0695471,0.512031,1.51689,4.76411,0.0934919,0.698044,0.711376,0.174665,1409.160156
4,351.504,0.209115,0.906452,0.0259632,0.0699549,0.469004,1.47137,4.39304,0.0917182,0.631118,0.676441,0.16011,1760.664062
5,288.975,0.205797,0.908116,0.0277269,0.070874,0.458269,1.46499,4.26679,0.0920084,0.609532,0.685987,0.156411,2049.638672
6,475.41,0.207864,0.904911,0.0253378,0.075237,0.539763,1.54525,5.03683,0.0995502,0.811312,0.733336,0.183502,2525.048828
7,333.418,0.205167,0.904744,0.0256909,0.0778655,0.566802,1.5751,5.35798,0.107141,0.85786,0.784309,0.191872,2858.466797
8,350.195,0.20301,0.90609,0.0273591,0.0799645,0.580562,1.59398,5.50545,0.111766,0.878244,0.829088,0.195768,3208.662109
9,350.195,0.203779,0.904367,0.0263146,0.0764459,0.522705,1.52983,4.96375,0.101672,0.791627,0.749148,0.176253,3558.857422
10,360.557,0.201917,0.905976,0.0276324,0.076157,0.491803,1.50157,4.64621,0.0962458,0.741457,0.714315,0.165762,3919.414062
11,297.832,0.20338,0.906207,0.0274406,0.0761758,0.467183,1.47701,4.41274,0.0923562,0.703611,0.691628,0.157171,4217.246094
12,297.686,0.202106,0.906354,0.0275296,0.0774712,0.46068,1.47204,4.3454,0.0924962,0.688788,0.691934,0.155086,4514.931641
13,484.023,0.203925,0.9061,0.0273051,0.0754902,0.421395,1.43029,3.96484,0.0859944,0.625587,0.643726,0.141567,4998.955078
14,498.467,0.202083,0.906326,0.0275498,0.0759729,0.411311,1.42116,3.86179,0.08566,0.59918,0.640796,0.137016,5497.421875
15,498.555,0.200322,0.906274,0.0275001,0.0760598,0.39655,1.40638,3.72448,0.0840707,0.573707,0.62624,0.131584,5995.976562
16,368.594,0.20072,0.906154,0.0276135,0.0775553,0.404156,1.41548,3.81397,0.0869985,0.588075,0.626149,0.133709,6364.570312
17,366.436,0.201901,0.905689,0.0273496,0.0772651,0.392082,1.40239,3.7085,0.0855254,0.569307,0.606078,0.129313,6731.005859
18,366.455,0.202873,0.905566,0.0273064,0.07871,0.384409,1.39599,3.58281,0.0831828,0.551429,0.58994,0.124919,7097.460938
19,358.242,0.203836,0.905299,0.0268714,0.0793261,0.371669,1.38316,3.46794,0.0811895,0.5342,0.578157,0.120785,7455.703125
0,357.461,0.18773,0.906832,0.0224922,0.0625439,0.911288,1.90316,8.803,0.108694,1.6761,0.849478,0.339944,357.460938
