input file, opt, logical data size (B), logical chunk num, total time (s), speed (MiB/s), chunking time, total filesize, total chunkingtime
/ramdisk/v2.6.11.tar, upload, 208250880, 24641, 5.360373, 37.050316,1.037962,208250880.000000,0.206143
/ramdisk/v2.6.12.tar, upload, 212725760, 25197, 3.750550, 54.091025,1.087109,212725760.000000,0.220543
/ramdisk/v2.6.13.tar, upload, 219432960, 25931, 3.615191, 57.885622,0.983717,219432960.000000,0.205860
/ramdisk/v2.6.14.tar, upload, 224092160, 26385, 3.519651, 60.719355,0.928567,224092160.000000,0.198445
/ramdisk/v2.6.15.tar, upload, 228157440, 26780, 3.790699, 57.400466,0.930645,228157440.000000,0.202497
/ramdisk/v2.6.16.tar, upload, 233953280, 27523, 3.965471, 56.264498,0.913748,233953280.000000,0.203871
/ramdisk/v2.6.17.tar, upload, 236605440, 27833, 3.942004, 57.241071,0.912821,236605440.000000,0.205973
/ramdisk/v2.6.18.tar, upload, 240138240, 28220, 4.089983, 55.993796,0.922993,240138240.000000,0.211378
/ramdisk/v2.6.19.tar, upload, 246466560, 28941, 4.347970, 54.059441,0.908986,246466560.000000,0.213656
/ramdisk/v2.6.20.tar, upload, 250316800, 29294, 4.095523, 58.288210,0.913046,250316800.000000,0.217963
/ramdisk/v2.6.21.tar, upload, 254402560, 29848, 4.260236, 56.949236,0.895679,254402560.000000,0.217307
/ramdisk/v2.6.22.tar, upload, 262922240, 30796, 4.397075, 57.024769,0.893982,262922240.000000,0.224159
/ramdisk/v2.6.23.tar, upload, 264704000, 31084, 4.438752, 56.872158,0.903168,264704000.000000,0.227997
/ramdisk/v2.6.24.tar, upload, 272834560, 31994, 4.852413, 53.621840,0.929237,272834560.000000,0.241783
/ramdisk/v2.6.25.tar, upload, 284651520, 33263, 5.045050, 53.808157,0.898356,284651520.000000,0.243872
/ramdisk/v2.6.26.tar, upload, 289576960, 33843, 4.979686, 55.457736,0.901029,289576960.000000,0.248830
/ramdisk/v2.6.27.tar, upload, 293826560, 34334, 5.218250, 53.699007,0.900281,293826560.000000,0.252272
/ramdisk/v2.6.28.tar, upload, 310261760, 37984, 5.544357, 53.367536,0.928731,310261760.000000,0.274801
/ramdisk/v2.6.29.tar, upload, 336179200, 39335, 5.911131, 54.237585,0.857811,336179200.000000,0.275019
/ramdisk/v2.6.30.tar, upload, 353146880, 41234, 6.116491, 55.062144,0.851814,353146880.000000,0.286880
/ramdisk/v2.6.11.tar, upload, 208250880, 24641, 5.162982, 38.466823,0.963633,208250880.000000,0.191381
/ramdisk/v2.6.12.tar, upload, 212725760, 25197, 3.493454, 58.071780,1.042071,212725760.000000,0.211406
/ramdisk/v2.6.13.tar, upload, 219432960, 25931, 3.536910, 59.166781,0.982833,219432960.000000,0.205675
/ramdisk/v2.6.14.tar, upload, 224092160, 26385, 3.519708, 60.718371,0.913978,224092160.000000,0.195327
/ramdisk/v2.6.15.tar, upload, 228157440, 26780, 3.716611, 58.544704,0.932207,228157440.000000,0.202837
/ramdisk/v2.6.16.tar, upload, 233953280, 27523, 3.976480, 56.108728,0.970131,233953280.000000,0.216451
/ramdisk/v2.6.17.tar, upload, 236605440, 27833, 4.207019, 53.635254,0.924800,236605440.000000,0.208676
/ramdisk/v2.6.18.tar, upload, 240138240, 28220, 4.153301, 55.140158,0.919373,240138240.000000,0.210549
/ramdisk/v2.6.19.tar, upload, 246466560, 28941, 4.380428, 53.658873,0.924127,246466560.000000,0.217215
/ramdisk/v2.6.20.tar, upload, 250316800, 29294, 4.040969, 59.075114,0.898238,250316800.000000,0.214428
/ramdisk/v2.6.21.tar, upload, 254402560, 29848, 4.184925, 57.974083,0.903522,254402560.000000,0.219210
/ramdisk/v2.6.22.tar, upload, 262922240, 30796, 4.310822, 58.165748,0.900351,262922240.000000,0.225756
/ramdisk/v2.6.23.tar, upload, 264704000, 31084, 4.391417, 57.485182,0.914779,264704000.000000,0.230928
/ramdisk/v2.6.24.tar, upload, 272834560, 31994, 4.934651, 52.728210,0.920562,272834560.000000,0.239526
/ramdisk/v2.6.25.tar, upload, 284651520, 33263, 5.041912, 53.841647,0.917437,284651520.000000,0.249052
/ramdisk/v2.6.26.tar, upload, 289576960, 33843, 4.972982, 55.532497,0.904777,289576960.000000,0.249865
