Backup ID,Backup Size(MB),dataTranTime(us/MB),fpTime(ms/MB),freqTime(ms/MB),firstDedupTime(ms/MB),secondDedupTime(ms/MB),total_dedupTime(ms/MB),sfTime(ms/MB),checkTime(ms/MB),lz4compressTime(ms/MB),deltacompressTime(ms/MB),encTime(ms/MB),Total size(MB)
0,198.604,0.24556,0.949412,0.0170219,0.0662123,0.933901,1.96655,9.26888,0.114077,2.34102,0.811307,0.329484,198.603516
1,202.871,0.253436,0.978819,0.0249154,0.0766076,0.776041,1.85638,7.63313,0.13425,1.51185,0.941806,0.254555,401.474609
2,209.268,0.248494,0.961589,0.0251232,0.0799977,0.707643,1.77435,7.01215,0.142946,1.19941,0.988817,0.221448,610.742188
3,213.711,0.233329,0.951921,0.0273372,0.0812672,0.666201,1.72673,6.64696,0.144613,1.07466,0.992862,0.205694,824.453125
4,217.588,0.232773,0.944353,0.0276316,0.0827597,0.645429,1.70017,6.49041,0.144249,1.12462,0.899341,0.202429,1042.041016
5,223.115,0.232226,0.940812,0.0292155,0.0838979,0.640436,1.69436,6.41856,0.144211,1.163,0.844448,0.201662,1265.156250
6,225.645,0.225153,0.933135,0.0269906,0.0855252,0.625611,1.67126,6.36071,0.144866,1.17283,0.821911,0.197966,1490.800781
7,229.014,0.219988,0.930023,0.027338,0.0864518,0.620693,1.66451,6.33772,0.145572,1.20032,0.792458,0.198228,1719.814453
8,235.049,0.220906,0.927778,0.0278637,0.0878164,0.619615,1.66307,6.34598,0.147258,1.22678,0.770698,0.199193,1954.863281
9,238.721,0.221836,0.925667,0.0275543,0.0897454,0.612165,1.65513,6.28926,0.148172,1.22499,0.75602,0.196955,2193.583984
10,242.617,0.221773,0.924989,0.0285083,0.0912158,0.61405,1.65876,6.25049,0.148555,1.23096,0.74945,0.196443,2436.201172
11,250.742,0.221324,0.924337,0.0294709,0.092712,0.611205,1.65773,6.2265,0.148793,1.24436,0.72358,0.19686,2686.943359
12,252.441,0.222111,0.924255,0.0301188,0.0942823,0.608099,1.65675,6.20668,0.14868,1.24983,0.711795,0.196721,2939.384766
13,260.195,0.219228,0.923294,0.0303074,0.0957438,0.609503,1.65885,6.23481,0.149401,1.27054,0.697769,0.197964,3199.580078
14,271.465,0.219558,0.922076,0.0299854,0.0974427,0.609193,1.6587,6.24843,0.149738,1.28435,0.692585,0.19819,3471.044922
15,276.162,0.216914,0.920212,0.0292397,0.0988419,0.607485,1.65578,6.25233,0.150227,1.29309,0.683765,0.198089,3747.207031
16,280.215,0.216938,0.920795,0.0299641,0.100591,0.609328,1.66068,6.26421,0.15068,1.30245,0.684554,0.199086,4027.421875
17,295.889,0.215021,0.920409,0.0299638,0.102578,0.612035,1.66499,6.26486,0.151417,1.30905,0.687151,0.199801,4323.310547
18,320.605,0.213032,0.920029,0.0303005,0.104149,0.620548,1.67503,6.2771,0.15224,1.32221,0.675636,0.200614,4643.916016
19,336.787,0.21132,0.919847,0.0309157,0.105974,0.619588,1.67632,6.2776,0.152513,1.32659,0.685303,0.200871,4980.703125
0,198.604,0.187162,0.884192,0.0149675,0.0592789,0.859414,1.81785,9.20282,0.0939913,2.25651,0.731249,0.303373,198.603516
1,202.871,0.204514,0.901508,0.0269868,0.0682285,0.719578,1.7163,7.5696,0.114062,1.45103,0.843644,0.234712,401.474609
2,209.268,0.197319,0.903223,0.027462,0.0712772,0.66163,1.66359,6.95965,0.124866,1.15334,0.902172,0.206392,610.742188
3,213.711,0.203509,0.905403,0.0295426,0.0738271,0.628346,1.63712,6.60404,0.129511,1.03337,0.927187,0.193744,824.453125
4,217.588,0.19989,0.907358,0.0313488,0.0757485,0.617117,1.63157,6.45738,0.131926,1.09279,0.84699,0.193455,1042.041016
5,223.115,0.197863,0.906362,0.0298795,0.078101,0.610743,1.62509,6.38396,0.133965,1.13364,0.798129,0.192178,1265.156250
6,225.645,0.196137,0.906584,0.0298807,0.080063,0.603904,1.62043,6.33136,0.135803,1.14994,0.782872,0.191515,1490.800781
7,229.014,0.20023,0.906803,0.0300989,0.0820205,0.601785,1.62071,6.31332,0.138294,1.17969,0.760624,0.192698,1719.814453
8,235.049,0.203136,0.907179,0.0308266,0.0839046,0.603657,1.62557,6.32451,0.141066,1.2083,0.744218,0.194547,1954.863281
9,238.721,0.205224,0.906508,0.0296899,0.0859484,0.595527,1.61767,6.2698,0.142621,1.20812,0.731202,0.192089,2193.583984
10,242.617,0.206834,0.907876,0.0308274,0.0876553,0.599254,1.62561,6.2322,0.143384,1.21498,0.731521,0.192054,2436.201172
11,250.742,0.208752,0.90844,0.0304042,0.0893569,0.594822,1.62302,6.21008,0.144086,1.22778,0.707719,0.19179,2686.943359
12,252.441,0.210306,0.907877,0.0292562,0.0910728,0.59016,1.61837,6.19078,0.144361,1.23411,0.695574,0.190941,2939.384766
13,260.195,0.211446,0.907785,0.0292422,0.0927944,0.59308,1.6229,6.21987,0.145527,1.25633,0.682945,0.192748,3199.580078
14,271.465,0.209533,0.907285,0.028592,0.0944139,0.593303,1.62359,6.23433,0.146143,1.2706,0.679948,0.193222,3471.044922
15,276.162,0.210574,0.907871,0.0287118,0.0960774,0.593808,1.62647,6.23956,0.146978,1.2815,0.673599,0.193897,3747.207031
16,280.215,0.208965,0.908569,0.0296136,0.0977936,0.597003,1.63298,6.25021,0.147552,1.29124,0.674462,0.194985,4027.421875
17,295.889,0.209889,0.909198,0.0299949,0.0999165,0.600979,1.64009,6.25271,0.148399,1.29874,0.678398,0.196246,4323.310547
18,320.605,0.208339,0.908893,0.0298697,0.10148,0.609765,1.65001,6.26575,0.149308,1.31202,0.667184,0.196981,4643.916016
