input file, opt, logical data size (B), logical chunk num, total time (s), speed (MiB/s), chunking time, total filesize, total chunkingtime
/ramdisk/vm1-1, upload, 8588886016, 598076, 44.135314, 185.588348,0.876362,8588886016.000000,7.178284
/ramdisk/vm1-2, upload, 8588886016, 597118, 26.232759, 312.243177,0.874814,8588886016.000000,7.165601
/ramdisk/vm1-3, upload, 8588886016, 595979, 25.383849, 322.685500,0.867011,8588886016.000000,7.101685
/ramdisk/vm1-4, upload, 8588886016, 595011, 26.517710, 308.887909,0.885441,8588886016.000000,7.252644
/ramdisk/vm1-5, upload, 8588886016, 594341, 27.110418, 302.134773,0.850920,8588886016.000000,6.969885
/ramdisk/vm1-6, upload, 8588886016, 592417, 25.913879, 316.085446,0.877675,8588886016.000000,7.189035
/ramdisk/vm1-7, upload, 8588886016, 591813, 25.006945, 327.549007,0.881471,8588886016.000000,7.220128
/ramdisk/vm1-8, upload, 8588886016, 591177, 25.782803, 317.692378,0.881808,8588886016.000000,7.222890
/ramdisk/vm1-9, upload, 8588886016, 590653, 25.465077, 321.656204,0.877787,8588886016.000000,7.189951
/ramdisk/vm1-10, upload, 8588886016, 590244, 27.406982, 298.865450,0.880304,8588886016.000000,7.210571
/ramdisk/vm1-11, upload, 8588886016, 589876, 28.986707, 282.577804,0.863129,8588886016.000000,7.069887
/ramdisk/vm1-12, upload, 8588886016, 590671, 27.202414, 301.112982,0.863247,8588886016.000000,7.070857
/ramdisk/vm1-13, upload, 8588886016, 590745, 25.891977, 316.352822,0.883385,8588886016.000000,7.235809
/ramdisk/vm1-14, upload, 8588886016, 591467, 27.038116, 302.942705,0.877081,8588886016.000000,7.184174
/ramdisk/vm1-15, upload, 8588886016, 591857, 27.902595, 293.556925,0.888104,8588886016.000000,7.274459
/ramdisk/vm1-16, upload, 8588886016, 592044, 28.085181, 291.648468,0.891219,8588886016.000000,7.299972
/ramdisk/vm1-17, upload, 8588886016, 594117, 26.783915, 305.817876,0.884258,8588886016.000000,7.242957
/ramdisk/vm1-18, upload, 8588886016, 594952, 28.847255, 283.943828,0.879575,8588886016.000000,7.204597
/ramdisk/vm1-19, upload, 8588886016, 595594, 28.536726, 287.033628,0.882850,8588886016.000000,7.231428
/ramdisk/vm1-20, upload, 8588886016, 596899, 28.349043, 288.933916,0.872987,8588886016.000000,7.150640
/ramdisk/vm1-1, upload, 8588886016, 598076, 42.383043, 193.261253,0.878434,8588886016.000000,7.195254
/ramdisk/vm1-2, upload, 8588886016, 597118, 26.565490, 308.332351,0.873192,8588886016.000000,7.152319
/ramdisk/vm1-3, upload, 8588886016, 595979, 27.416559, 298.761052,0.859597,8588886016.000000,7.040957
/ramdisk/vm1-4, upload, 8588886016, 595011, 26.561726, 308.376045,0.874935,8588886016.000000,7.166593
/ramdisk/vm1-5, upload, 8588886016, 594341, 25.267281, 324.174176,0.873882,8588886016.000000,7.157964
/ramdisk/vm1-6, upload, 8588886016, 592417, 27.891495, 293.673753,0.895628,8588886016.000000,7.336092
/ramdisk/vm1-7, upload, 8588886016, 591813, 25.216274, 324.829909,0.891693,8588886016.000000,7.303859
/ramdisk/vm1-8, upload, 8588886016, 591177, 27.943992, 293.122042,0.882359,8588886016.000000,7.227399
/ramdisk/vm1-9, upload, 8588886016, 590653, 26.474779, 309.388796,0.889568,8588886016.000000,7.286448
/ramdisk/vm1-10, upload, 8588886016, 590244, 27.438295, 298.524380,0.861160,8588886016.000000,7.053765
/ramdisk/vm1-11, upload, 8588886016, 589876, 28.565662, 286.742873,0.872157,8588886016.000000,7.143839
/ramdisk/vm1-12, upload, 8588886016, 590671, 27.175469, 301.411541,0.855574,8588886016.000000,7.008004
/ramdisk/vm1-13, upload, 8588886016, 590745, 25.913644, 316.088312,0.871241,8588886016.000000,7.136334
