Backup ID,Backup Size(MB),dataTranTime(us/MB),fpTime(ms/MB),freqTime(ms/MB),firstDedupTime(ms/MB),secondDedupTime(ms/MB),total_dedupTime(ms/MB),sfTime(ms/MB),checkTime(ms/MB),lz4compressTime(ms/MB),deltacompressTime(ms/MB),encTime(ms/MB),Total size(MB)
0,8191,0.197722,0.846796,-0.00365935,0.0108432,0.102548,0.956528,1.111,0.0199963,0.177623,0.131508,0.0378242,8191.000000
1,8191,0.188643,0.854212,0.00208067,0.01104,0.0590755,0.926408,0.630991,0.0140275,0.0951638,0.0883719,0.0215466,16382.000000
2,8191,0.188647,0.852194,0.00038588,0.0107921,0.0448356,0.908208,0.491129,0.0123829,0.0684117,0.0729006,0.0162812,24573.000000
3,8191,0.190892,0.851795,0.000816214,0.0106678,0.0372087,0.900487,0.411477,0.0114403,0.0544946,0.0647091,0.0134255,32764.000000
4,8191,0.192101,0.852638,0.00100313,0.0107283,0.0336423,0.898012,0.370163,0.0110182,0.046504,0.0599643,0.0119471,40955.000000
5,8191,0.19118,0.851637,0.000200012,0.010861,0.0311818,0.89388,0.350119,0.0108009,0.0413207,0.0592125,0.0110903,49146.000000
6,8191,0.189596,0.852274,0.000413555,0.0109428,0.0290287,0.89266,0.328636,0.010507,0.0374204,0.0571463,0.010312,57337.000000
7,8191,0.190121,0.852074,0.000222215,0.0110681,0.0278269,0.891191,0.317607,0.0103622,0.0345629,0.0557034,0.0099015,65528.000000
8,8191,0.18986,0.852206,0.000586471,0.011194,0.0268678,0.890854,0.307745,0.0102583,0.0323821,0.0549517,0.00955493,73719.000000
9,8191,0.190565,0.852028,0.000532942,0.0113037,0.0259349,0.889799,0.298525,0.0101621,0.0304991,0.0540793,0.00921224,81910.000000
10,8191,0.190908,0.851874,0.000492495,0.0114924,0.0257479,0.889607,0.297914,0.0101954,0.0292704,0.0545362,0.00914386,90101.000000
11,8191,0.190572,0.85202,0.000600551,0.0116233,0.0250972,0.889341,0.290791,0.0101339,0.027855,0.0540293,0.00890915,98292.000000
12,8191,0.189735,0.852639,0.00122918,0.0117701,0.0248226,0.890461,0.287502,0.0101362,0.0268452,0.0538401,0.00879504,106483.000000
13,8191,0.190043,0.852463,0.00105885,0.0119807,0.0251882,0.890691,0.28893,0.0102147,0.0260984,0.0544386,0.00879965,114674.000000
14,8191,0.189296,0.853003,0.00158566,0.0121466,0.0249127,0.891648,0.28643,0.0102324,0.0253139,0.054693,0.00870655,122865.000000
15,8191,0.189717,0.852941,0.00154151,0.012339,0.0246079,0.891429,0.28415,0.0102549,0.0246145,0.056417,0.00860864,131056.000000
16,8191,0.189844,0.852838,0.00134787,0.0125652,0.0245393,0.891291,0.284728,0.0102653,0.0240553,0.05719,0.0086032,139247.000000
17,8191,0.18989,0.852972,0.00145305,0.0127859,0.0245618,0.891772,0.285927,0.0102867,0.0235945,0.0578243,0.00862243,147438.000000
18,8191,0.190266,0.85325,0.00166148,0.0130132,0.0245076,0.892433,0.285877,0.0103022,0.0231745,0.058192,0.00860832,155629.000000
19,8191,0.18971,0.853419,0.00172809,0.013207,0.0243514,0.892706,0.284592,0.0102916,0.0226801,0.0584349,0.00855469,163820.000000
0,8191,0.196246,0.848483,-0.00247854,0.010564,0.101453,0.958022,1.11188,0.0190894,0.178051,0.121166,0.0380138,8191.000000
1,8191,0.19689,0.85071,-0.000308138,0.0106085,0.0570945,0.918105,0.631018,0.01341,0.09497,0.0792656,0.0211949,16382.000000
