input file, opt, logical data size (B), logical chunk num, total time (s), speed (MiB/s), chunking time, total filesize, total chunkingtime
/ramdisk/2016-06-13.tar, upload, 2869463040, 349658, 41.853771, 65.383193,0.775743,2869463040.000000,2.122846
/ramdisk/2016-06-15.tar, upload, 2879416320, 350869, 18.212137, 150.779966,0.761674,2879416320.000000,2.091576
/ramdisk/2016-06-16.tar, upload, 2857523200, 348114, 17.786838, 153.211407,0.765592,2857523200.000000,2.086350
/ramdisk/2016-06-17.tar, upload, 2899824640, 352287, 19.185641, 144.143648,0.764317,2899824640.000000,2.113709
/ramdisk/2016-06-18.tar, upload, 2872954880, 348845, 18.415503, 148.780258,0.755866,2872954880.000000,2.070970
/ramdisk/2016-06-20.tar, upload, 2905763840, 352639, 17.910676, 154.720701,0.765419,2905763840.000000,2.121092
/ramdisk/2016-06-22.tar, upload, 2906142720, 352294, 18.153694, 152.669406,0.764943,2906142720.000000,2.120050
/ramdisk/2016-06-23.tar, upload, 2938091520, 357403, 19.477320, 143.858725,0.755608,2938091520.000000,2.117199
/ramdisk/2016-06-24.tar, upload, 2920529920, 355205, 18.289756, 152.283845,0.768338,2920529920.000000,2.140002
/ramdisk/2016-06-25.tar, upload, 2920038400, 355086, 19.082322, 145.934317,0.754185,2920038400.000000,2.100228
/ramdisk/2016-06-26.tar, upload, 2898094080, 352582, 18.718936, 147.649305,0.752703,2898094080.000000,2.080348
/ramdisk/2016-06-27.tar, upload, 2896158720, 352399, 19.360469, 142.661430,0.757901,2896158720.000000,2.093317
/ramdisk/2016-06-28.tar, upload, 2941347840, 358126, 20.145291, 139.242858,0.760145,2941347840.000000,2.132274
/ramdisk/2016-06-29.tar, upload, 2920919040, 355155, 22.562100, 123.463927,0.769780,2920919040.000000,2.144303
/ramdisk/2016-06-30.tar, upload, 2942167040, 357557, 20.018380, 140.164646,0.767367,2942167040.000000,2.153130
/ramdisk/2016-07-01.tar, upload, 2936832000, 356817, 20.008543, 139.979270,0.754953,2936832000.000000,2.114459
/ramdisk/2016-07-02.tar, upload, 2978682880, 362224, 19.850471, 143.104582,0.773959,2978682880.000000,2.198579
/ramdisk/2016-07-03.tar, upload, 2999603200, 364569, 21.407346, 133.629107,0.770088,2999603200.000000,2.202947
/ramdisk/2016-07-04.tar, upload, 3002122240, 364801, 17.817993, 160.682905,0.769590,3002122240.000000,2.203372
/ramdisk/2016-07-05.tar, upload, 2982307840, 361796, 18.557117, 153.264669,0.766838,2982307840.000000,2.181002
/ramdisk-2/2016-06-13.tar, upload, 2869463040, 349658, 42.890462, 63.802838,0.791518,2869463040.000000,2.166016
/ramdisk-2/2016-06-15.tar, upload, 2879416320, 350869, 19.361098, 141.832110,0.772557,2879416320.000000,2.121461
/ramdisk-2/2016-06-16.tar, upload, 2857523200, 348114, 18.519936, 147.146647,0.766998,2857523200.000000,2.090182
/ramdisk-2/2016-06-17.tar, upload, 2899824640, 352287, 18.581788, 148.827889,0.766600,2899824640.000000,2.120024
/ramdisk-2/2016-06-18.tar, upload, 2872954880, 348845, 18.363495, 149.201624,0.769674,2872954880.000000,2.108802
/ramdisk-2/2016-06-20.tar, upload, 2905763840, 352639, 17.974571, 154.170708,0.758286,2905763840.000000,2.101325
/ramdisk-2/2016-06-22.tar, upload, 2906142720, 352294, 18.208047, 152.213671,0.765018,2906142720.000000,2.120258
/ramdisk-2/2016-06-23.tar, upload, 2938091520, 357403, 18.804975, 149.002188,0.761448,2938091520.000000,2.133563
/ramdisk-2/2016-06-24.tar, upload, 2920529920, 355205, 17.799166, 156.481173,0.764846,2920529920.000000,2.130275
/ramdisk-2/2016-06-25.tar, upload, 2920038400, 355086, 18.551191, 150.112498,0.774194,2920038400.000000,2.155950
/ramdisk-2/2016-06-26.tar, upload, 2898094080, 352582, 17.488877, 158.034040,0.766062,2898094080.000000,2.117270
/ramdisk-2/2016-06-27.tar, upload, 2896158720, 352399, 18.432111, 149.846764,0.771627,2896158720.000000,2.131227
/ramdisk-2/2016-06-28.tar, upload, 2941347840, 358126, 18.205869, 154.076023,0.772542,2941347840.000000,2.167047
/ramdisk-2/2016-06-29.tar, upload, 2920919040, 355155, 17.898555, 155.632981,0.767847,2920919040.000000,2.138920
/ramdisk-2/2016-06-30.tar, upload, 2942167040, 357557, 18.329713, 153.077636,0.762538,2942167040.000000,2.139583
/ramdisk-2/2016-07-01.tar, upload, 2936832000, 356817, 17.782126, 157.505421,0.783659,2936832000.000000,2.194857
/ramdisk-2/2016-07-02.tar, upload, 2978682880, 362224, 18.667755, 152.171129,0.771462,2978682880.000000,2.191487
/ramdisk-2/2016-07-03.tar, upload, 2999603200, 364569, 18.112685, 157.935973,0.770417,2999603200.000000,2.203889
/ramdisk-2/2016-07-04.tar, upload, 3002122240, 364801, 17.944597, 159.549243,0.775450,3002122240.000000,2.220151
/ramdisk-2/2016-07-05.tar, upload, 2982307840, 361796, 18.052776, 157.546429,0.765848,2982307840.000000,2.178187
/ramdisk-2/2016-06-13.tar, upload, 2869463040, 349658, 41.108131, 66.569147,0.777878,2869463040.000000,2.128689
/ramdisk-2/2016-06-15.tar, upload, 2879416320, 350869, 18.891532, 145.357475,0.766045,2879416320.000000,2.103580
/ramdisk-2/2016-06-16.tar, upload, 2857523200, 348114, 17.759406, 153.448065,0.768329,2857523200.000000,2.093810
/ramdisk-2/2016-06-17.tar, upload, 2899824640, 352287, 19.206541, 143.986795,0.764351,2899824640.000000,2.113805
/ramdisk-2/2016-06-18.tar, upload, 2872954880, 348845, 17.762228, 154.252230,0.757549,2872954880.000000,2.075580
