Backup ID,Backup Size(MB),dataTranTime(us/MB),fpTime(ms/MB),freqTime(ms/MB),firstDedupTime(ms/MB),secondDedupTime(ms/MB),total_dedupTime(ms/MB),sfTime(ms/MB),checkTime(ms/MB),lz4compressTime(ms/MB),deltacompressTime(ms/MB),encTime(ms/MB),Total size(MB)
0,2736.53,0.235412,0.938764,0.0187801,0.0689438,0.523532,1.55002,5.15246,0.137607,1.10694,0.239674,0.184151,2736.533203
1,2746.03,0.231725,0.927146,0.0185189,0.0700985,0.330022,1.34579,3.2507,0.0936231,0.670606,0.199827,0.116439,5482.558594
2,2725.15,0.228495,0.92037,0.0199537,0.0668949,0.263369,1.27059,2.5997,0.0781157,0.513266,0.188403,0.0925231,8207.705078
3,2765.49,0.216639,0.915808,0.019264,0.0673596,0.229105,1.23154,2.28522,0.0699946,0.436779,0.20003,0.0803022,10973.193359
4,2739.86,0.218223,0.913719,0.019422,0.0679399,0.207782,1.20886,2.08589,0.0651747,0.388926,0.187376,0.0726234,13713.056641
5,2771.15,0.21208,0.911101,0.0186099,0.0684663,0.194382,1.19256,1.95218,0.0620894,0.355426,0.18088,0.0671898,16484.208984
6,2771.51,0.207809,0.910223,0.0187194,0.0690813,0.184158,1.18218,1.8624,0.0599858,0.332234,0.175428,0.0635539,19255.722656
7,2801.98,0.209189,0.909012,0.0182805,0.0702285,0.175706,1.17323,1.78374,0.058275,0.316375,0.171711,0.0607923,22057.705078
8,2785.23,0.206151,0.908673,0.0185296,0.0709908,0.169061,1.16725,1.71946,0.0569764,0.30199,0.168722,0.0584981,24842.939453
9,2784.77,0.20768,0.908047,0.0180934,0.0729791,0.163612,1.16273,1.66846,0.0560591,0.291442,0.163826,0.0566296,27627.705078
10,2763.84,0.205367,0.907809,0.0184491,0.0745914,0.159228,1.16008,1.62378,0.055228,0.2819,0.160069,0.0551015,30391.542969
11,2761.99,0.206795,0.907117,0.0182836,0.0761836,0.155524,1.15711,1.58776,0.0545452,0.274294,0.157068,0.0537998,33153.535156
12,2805.09,0.204809,0.906936,0.0183785,0.0774918,0.152952,1.15576,1.56119,0.0540692,0.268745,0.153978,0.0528893,35958.623047
13,2785.61,0.203073,0.906193,0.0180681,0.0786276,0.152256,1.15515,1.53605,0.0536261,0.263434,0.151663,0.0519442,38744.228516
14,2805.87,0.204464,0.905781,0.0179143,0.0798392,0.149475,1.15301,1.51086,0.0532601,0.257905,0.150294,0.0510111,41550.097656
15,2800.78,0.203889,0.905491,0.0178107,0.0807938,0.146875,1.15097,1.48779,0.0528587,0.252943,0.149406,0.0501735,44350.878906
16,2840.69,0.205005,0.905622,0.0180887,0.0817736,0.145008,1.15049,1.46917,0.0524801,0.249663,0.147096,0.0496088,47191.572266
17,2860.64,0.203646,0.905529,0.0182088,0.0825408,0.143205,1.14948,1.45204,0.0521139,0.246131,0.146363,0.0490293,50052.216797
18,2863.05,0.202471,0.905465,0.018186,0.0830068,0.141422,1.14808,1.43553,0.0518553,0.24305,0.144253,0.0484899,52915.263672
19,2844.15,0.201506,0.905525,0.0182223,0.0836175,0.14004,1.14741,1.42212,0.0516134,0.240571,0.142313,0.048052,55759.414062
0,2736.53,0.203344,0.937506,0.0202054,0.0676151,0.525428,1.55075,5.15847,0.138258,1.13402,0.2442,0.187382,2736.533203
1,2746.03,0.194767,0.924148,0.0194613,0.0675551,0.330692,1.34186,3.25277,0.0930383,0.685529,0.205735,0.118188,5482.558594
2,2725.15,0.191011,0.917644,0.0186527,0.0662904,0.26209,1.26468,2.60042,0.077909,0.520761,0.214029,0.0930274,8207.705078
3,2765.49,0.19824,0.913606,0.0180602,0.0672811,0.228223,1.22717,2.28595,0.0696468,0.449511,0.218477,0.0812494,10973.193359
4,2739.86,0.203264,0.909998,0.0170838,0.0679262,0.20631,1.20132,2.08613,0.0650513,0.400331,0.207413,0.0732766,13713.056641
5,2771.15,0.20592,0.909249,0.0173385,0.0693433,0.193949,1.18988,1.95254,0.0621643,0.36491,0.206619,0.0680115,16484.208984
6,2771.51,0.202271,0.907533,0.0166456,0.0699521,0.183256,1.17739,1.86239,0.0599747,0.342484,0.196891,0.0642952,19255.722656
7,2801.98,0.204146,0.906207,0.016277,0.0709863,0.174797,1.16827,1.78366,0.0581435,0.325766,0.192553,0.0615157,22057.705078
8,2785.23,0.206406,0.906154,0.0164629,0.0721831,0.168322,1.16312,1.71935,0.0569557,0.311338,0.187805,0.0592408,24842.939453
9,2784.77,0.203871,0.905477,0.0161733,0.0739444,0.162989,1.15858,1.66839,0.0560202,0.300267,0.183507,0.0573598,27627.705078
10,2763.84,0.205128,0.904958,0.0162603,0.0756063,0.158562,1.15539,1.62359,0.0552189,0.290923,0.179649,0.0558471,30391.542969
11,2761.99,0.206611,0.904037,0.01571,0.077021,0.154717,1.15148,1.58745,0.0545067,0.283288,0.174802,0.0545188,33153.535156
12,2805.09,0.204727,0.904454,0.0160961,0.0783774,0.15236,1.15129,1.56096,0.0540495,0.277925,0.17126,0.0536858,35958.623047
13,2785.61,0.206222,0.904628,0.0162389,0.079678,0.151857,1.1524,1.53599,0.0536184,0.272835,0.168707,0.0528393,38744.228516
14,2805.87,0.207047,0.904747,0.0166194,0.0807546,0.149312,1.15143,1.51087,0.0533526,0.267199,0.167198,0.0519928,41550.097656
15,2800.78,0.205401,0.9046,0.0166333,0.0815466,0.146769,1.14955,1.48784,0.0529313,0.26199,0.165306,0.0511602,44350.878906
16,2840.69,0.204176,0.904378,0.0164251,0.0822623,0.144683,1.14775,1.46911,0.052529,0.258371,0.162209,0.0505422,47191.572266
17,2860.64,0.202877,0.904248,0.0164476,0.0829102,0.14287,1.14648,1.45198,0.052146,0.254879,0.161546,0.0499801,50052.216797
18,2863.05,0.201749,0.904274,0.0163663,0.0833494,0.141096,1.14509,1.43548,0.051905,0.2515,0.1593,0.0493953,52915.263672
19,2844.15,0.200724,0.904203,0.0163418,0.0838322,0.13968,1.14406,1.42205,0.0516661,0.248933,0.157531,0.0489383,55759.414062
0,2736.53,0.184256,0.903042,0.0183201,0.0593828,0.497985,1.47873,5.12968,0.12154,1.06386,0.222108,0.17321,2736.533203
1,2746.03,0.205119,0.901274,0.0171191,0.0628302,0.310238,1.29146,3.23565,0.0845815,0.645002,0.183573,0.108607,5482.558594
2,2725.15,0.197298,0.902213,0.0178986,0.0617438,0.246704,1.22856,2.58825,0.0720773,0.496821,0.172502,0.0862816,8207.705078
3,2765.49,0.203436,0.901904,0.0176759,0.0638679,0.215946,1.19939,2.2767,0.0655538,0.426198,0.175515,0.0755141,10973.193359
4,2739.86,0.199196,0.902492,0.0184006,0.0647223,0.196865,1.18248,2.07898,0.0615321,0.379803,0.168454,0.0686356,13713.056641
5,2771.15,0.203148,0.903107,0.0186775,0.0660781,0.185745,1.17361,1.94652,0.059169,0.348885,0.161445,0.0640062,16484.208984
6,2771.51,0.205472,0.904087,0.0193791,0.0671393,0.17694,1.16755,1.85761,0.057417,0.328811,0.153194,0.0609952,19255.722656
7,2801.98,0.202551,0.904237,0.0194127,0.0683163,0.169468,1.16143,1.7797,0.0559496,0.312803,0.153987,0.0585363,22057.705078
8,2785.23,0.204931,0.904726,0.0197036,0.0695062,0.163472,1.15741,1.71582,0.0549632,0.299481,0.150168,0.056504,24842.939453
9,2784.77,0.206945,0.904885,0.0198288,0.0716426,0.158777,1.15513,1.66539,0.0542309,0.289476,0.14804,0.0549498,27627.705078
10,2763.84,0.20467,0.904873,0.0195571,0.0734066,0.154553,1.15239,1.62094,0.0535996,0.279821,0.146913,0.0534631,30391.542969
11,2761.99,0.205798,0.90531,0.0197869,0.0750927,0.151411,1.1516,1.58521,0.0530274,0.272571,0.144699,0.052375,33153.535156
12,2805.09,0.206948,0.905963,0.0199945,0.0766936,0.149339,1.15199,1.5592,0.0526939,0.267214,0.144518,0.0517284,35958.623047
13,2785.61,0.208188,0.905789,0.0197519,0.0781166,0.148939,1.1526,1.53426,0.0523788,0.262101,0.143831,0.0508889,38744.228516
14,2805.87,0.206314,0.905725,0.0196751,0.0791615,0.146411,1.15097,1.50921,0.0520486,0.256821,0.142495,0.0500666,41550.097656
15,2800.78,0.206678,0.905757,0.0196148,0.0801977,0.144055,1.14962,1.48631,0.0517423,0.251726,0.142084,0.0492869,44350.878906
16,2840.69,0.205199,0.905578,0.0194867,0.0810707,0.142157,1.14829,1.4677,0.0514083,0.248405,0.140533,0.0487277,47191.572266
17,2860.64,0.206289,0.905353,0.0192206,0.0820727,0.140405,1.14705,1.45062,0.0511557,0.244964,0.140591,0.0481658,50052.216797
18,2863.05,0.204925,0.905295,0.0192151,0.0825706,0.138792,1.14587,1.43418,0.0509632,0.241842,0.138039,0.0476713,52915.263672
19,2844.15,0.203721,0.905153,0.0190576,0.083086,0.13743,1.14473,1.42078,0.0507469,0.239275,0.136437,0.0472366,55759.414062
0,2736.53,0.231481,0.909947,0.0223764,0.0589629,0.506874,1.49816,5.13405,0.121766,1.06792,0.227251,0.179159,2736.533203
1,2746.03,0.227433,0.880167,-0.00779841,0.062374,0.287135,1.22188,3.22932,0.0842019,0.63816,0.173733,0.102617,5482.558594
2,2725.15,0.226324,0.889108,0.00108154,0.0621769,0.235122,1.18749,2.58564,0.0720399,0.492071,0.167909,0.0835528,8207.705078
3,2765.49,0.225405,0.892947,0.00530686,0.0641918,0.208531,1.17098,2.275,0.0656374,0.424124,0.166423,0.0740288,10973.193359
4,2739.86,0.216673,0.895593,0.00771839,0.0650605,0.191229,1.1596,2.0778,0.0617727,0.37751,0.16051,0.0675793,13713.056641
5,2771.15,0.210587,0.896965,0.00933381,0.0661888,0.181227,1.15371,1.94576,0.0592884,0.344815,0.161834,0.0631276,16484.208984
6,2771.51,0.21212,0.898189,0.0106815,0.0675479,0.172878,1.1493,1.85685,0.0576437,0.323797,0.15852,0.0601717,19255.722656
7,2801.98,0.208234,0.899291,0.0120753,0.068629,0.166217,1.14621,1.77906,0.0561269,0.30885,0.158,0.0580045,22057.705078
8,2785.23,0.208861,0.899263,0.0122726,0.0698243,0.160359,1.14172,1.71529,0.0550741,0.295291,0.155811,0.0559906,24842.939453
9,2784.77,0.206104,0.900026,0.0129209,0.0716816,0.156013,1.14064,1.66496,0.0542803,0.285344,0.153272,0.054536,27627.705078
10,2763.84,0.207789,0.90058,0.0133682,0.0736383,0.152183,1.13977,1.62056,0.0536137,0.276521,0.15134,0.0531904,30391.542969
11,2761.99,0.20838,0.900988,0.0139922,0.0752001,0.149255,1.13944,1.58489,0.0530912,0.269489,0.149297,0.0521541,33153.535156
12,2805.09,0.20632,0.901344,0.0144257,0.0766775,0.147201,1.13965,1.55855,0.05272,0.264295,0.146966,0.0514252,35958.623047
13,2785.61,0.207689,0.901871,0.0149311,0.0781649,0.147128,1.14209,1.53381,0.0524092,0.259293,0.145467,0.0506847,38744.228516
14,2805.87,0.20589,0.902329,0.0154341,0.0791886,0.144881,1.14183,1.50889,0.0520572,0.25416,0.144654,0.0499534,41550.097656
