BackupID, OnlineSpeed(MB/s), OnlineTime(s), AverageOnlineTime(s), BackupSize, OnlineSize, OfflineSize, OfflineTime(s), AverageOfflineTime(s), OverallReductionRatio, InlineBackupTime(ms), OfflineBackupTime(ms)
0, 92.7624, 3.85351, 3.85351, 374824960, 226878632, 226768063, 0.161286, 0.161286, 1.6529, 104.053, 0, 
1, 168.101, 2.07778, 2.96565, 366243840, 278078227, 277759925, 0.40616, 0.283723, 2.66802, 51.569, 12.016, 
2, 167.394, 2.09286, 2.67472, 367349760, 328226022, 327661306, 0.83089, 0.466112, 3.38282, 53.26, 24.965, 
3, 174.661, 2.01585, 2.51, 369192960, 380398907, 372451013, 6.29659, 1.92373, 3.96726, 50.038, 29.2, 
4, 185.027, 1.89974, 2.38795, 368578560, 434431854, 408628658, 14.4271, 4.42441, 4.51801, 45.881, 79.233, 
5, 172.032, 1.67977, 2.26992, 303011840, 469749206, 444382925, 17.3546, 6.57944, 4.83637, 30.106, 134.545, 
6, 93.4028, 5.08989, 2.67277, 498503680, 702165806, 695480071, 5.7278, 6.45778, 3.80702, 143.665, 147.466, 
7, 97.9005, 3.40568, 2.76439, 349614080, 821706448, 816673872, 7.95567, 6.64501, 3.67015, 99.377, 90.861, 
8, 108.063, 3.24065, 2.8173, 367206400, 931717478, 913503348, 16.645, 7.75613, 3.6831, 77.258, 109.545, 
9, 642.332, 0.545194, 2.59009, 367206400, 913515136, 913514354, 0.022788, 6.98279, 4.08503, 3.572, 205.386, 
10, 269.384, 1.33845, 2.47631, 378071040, 945642795, 940701415, 8.15291, 7.08917, 4.36887, 24.692, 7, 
11, 286.935, 1.03798, 2.35645, 312299520, 959926337, 956627614, 5.93055, 6.99262, 4.6226, 26.567, 103.617, 
12, 164.951, 1.80469, 2.314, 312145920, 1020638514, 994734335, 22.8755, 8.21437, 4.75931, 48.776, 90.275, 
13, 417.213, 1.16013, 2.23158, 507535360, 1002675454, 997362916, 7.554, 8.1672, 5.25564, 25.905, 202.237, 
14, 196.963, 2.53076, 2.25153, 522680320, 1052973355, 1040928820, 15.9543, 8.68635, 5.53781, 72.957, 83.692, 
15, 219.195, 2.27448, 2.25296, 522772480, 1090951390, 1071017306, 20.3827, 9.41737, 5.87034, 51.419, 174.362, 
16, 131.089, 2.81177, 2.28583, 386498560, 1161151741, 1130049763, 48.185, 11.6978, 5.9057, 38.755, 184.312, 
17, 256.087, 1.4309, 2.23834, 384235520, 1153880916, 1144086811, 24.2794, 12.3968, 6.16909, 22.809, 384.636, 
18, 276.091, 1.3273, 2.19039, 384256000, 1169080675, 1161879240, 13.9029, 12.4761, 6.40534, 33.311, 212.203, 
19, 279.437, 1.28202, 2.14497, 375644160, 1184303963, 1176222444, 16.3809, 12.6713, 6.64659, 18.92, 159.761, 
20, 285.751, 1.25758, 2.10271, 376811520, 1196873991, 1189150792, 14.641, 12.7651, 6.89121, 24.098, 154.061, 
21, 295.601, 1.22172, 2.06267, 378685440, 1209710323, 1201274312, 16.9011, 12.9531, 7.13689, 24.283, 135.067, 
22, 610.912, 0.599817, 1.99907, 384235520, 1201290674, 1201290674, 0.011552, 12.3904, 7.45665, 3.391, 139.948, 
23, 618.208, 0.592738, 1.94047, 384235520, 1201301047, 1202283909, 0.402085, 11.8909, 7.77008, 3.299, 6.792, 
24, 178.201, 2.0842, 1.94622, 389447680, 1267069467, 1248941017, 23.0939, 12.339, 7.79163, 44.9, 20.219, 
25, 338.294, 1.09958, 1.91366, 390051840, 1258492541, 1253356429, 12.2218, 12.3345, 8.07539, 16.57, 224.524, 
26, 318.344, 1.17153, 1.88617, 391065600, 1261482356, 1255536941, 12.2843, 12.3327, 8.37284, 14.982, 150.919, 
27, 187.919, 1.98442, 1.88968, 391024640, 1310758720, 1285624234, 32.0478, 13.0368, 8.48104, 44.858, 178.717, 
28, 335.357, 1.11052, 1.86281, 390512640, 1296466502, 1289838009, 13.9771, 13.0692, 8.75609, 15.454, 253.69, 
29, 129.014, 2.4042, 1.88086, 325242880, 1378929069, 1335781397, 58.9891, 14.5999, 8.69842, 39.018, 148.748, 
30, 143.719, 2.15848, 1.88981, 325283840, 1405166778, 1367280556, 56.2857, 15.9446, 8.73593, 40.064, 440.822, 
31, 356.119, 0.870796, 1.85797, 325171200, 1376755850, 1369672109, 14.8934, 15.9117, 8.95809, 10.694, 403.611, 
32, 371.521, 0.835905, 1.827, 325642240, 1377334436, 1372726627, 9.18715, 15.7079, 9.17538, 17.312, 151.661, 
33, 352.075, 0.882409, 1.79922, 325765120, 1381763464, 1375746435, 10.8987, 15.5665, 9.39203, 10.205, 98.697, 
34, 252.4, 1.42453, 1.78851, 377016320, 1406705732, 1400989492, 23.2168, 15.7851, 9.49191, 23.764, 139.515, 
35, 275.498, 1.30651, 1.77512, 377425920, 1427104378, 1413714552, 27.859, 16.1205, 9.67344, 20.865, 224.925, 
36, 291.655, 1.29963, 1.76227, 397455360, 1439449731, 1423999658, 33.2787, 16.5842, 9.88269, 26.606, 210.291, 
37, 156.351, 2.41032, 1.77932, 395161600, 1505690830, 1461762835, 89.3068, 18.498, 9.89771, 31.63, 226.634, 
38, 296.126, 1.27295, 1.76634, 395264000, 1488616651, 1477222845, 37.3403, 18.9811, 10.0617, 11.088, 640.241, 
39, 138.589, 2.2567, 1.7786, 327946240, 1553373292, 1521771091, 52.7183, 19.8245, 9.98266, 49.296, 247.781, 
40, 147.342, 1.95124, 1.78281, 301465600, 1579106992, 1548079515, 51.5498, 20.5983, 10.0077, 24.881, 398.852, 
41, 135.099, 2.1314, 1.79111, 301936640, 1611983404, 1579860809, 60.4637, 21.5475, 9.99754, 27.126, 361.491, 
42, 143.954, 2.00103, 1.79599, 302049280, 1645771290, 1612233147, 61.3132, 22.4723, 9.98414, 26.393, 413.382, 
43, 276.245, 1.04421, 1.77891, 302469120, 1626915266, 1618596409, 17.3832, 22.3566, 10.1318, 15.3, 388.627, 
44, 182.263, 2.04412, 1.7848, 390666240, 1692445147, 1661297776, 67.5786, 23.3615, 10.1065, 34.374, 180.073, 
