BackupID, OnlineSpeed(MB/s), OnlineTime(s), AverageOnlineTime(s), BackupSize, OnlineSize, OfflineSize, OfflineTime(s), AverageOfflineTime(s), OverallReductionRatio, InlineBackupTime(ms), OfflineBackupTime(ms)
0, 94.1912, 2.10851, 2.10851, 208250880, 100655456, 100655456, 0.006747, 0.006747, 2.06895, 37.802, 0, 
1, 134.889, 1.50398, 1.80625, 212725760, 132196507, 132196507, 0.005452, 0.0060995, 3.18448, 23.675, 6.329, 
2, 132.021, 1.58511, 1.73254, 219432960, 161329521, 159613353, 1.40587, 0.472689, 4.01226, 35.147, 4.985, 
3, 131.717, 1.6225, 1.70503, 224092160, 194834384, 186673218, 5.85177, 1.81746, 4.6311, 40.865, 25.976, 
4, 121.956, 1.78416, 1.72085, 228157440, 252071055, 217616683, 23.4522, 6.14441, 5.02103, 39.319, 85.374, 
5, 121.723, 1.83297, 1.73954, 233953280, 285734208, 251557976, 25.2194, 9.32357, 5.27359, 42.289, 207.244, 
6, 119.097, 1.89464, 1.7617, 236605440, 315456047, 283718009, 24.4545, 11.4851, 5.50976, 45.058, 226.542, 
7, 117.764, 1.94468, 1.78457, 240138240, 355740112, 319147242, 29.5669, 13.7453, 5.65055, 40.823, 210.215, 
8, 114.248, 2.05735, 1.81488, 246466560, 395532323, 355803600, 33.0818, 15.8938, 5.76111, 36.07, 264.487, 
9, 121.427, 1.96597, 1.82999, 250316800, 422430974, 383243587, 34.0624, 17.7107, 6.00177, 49.608, 300.024, 
10, 116.114, 2.08947, 1.85358, 254402560, 453964483, 412853182, 37.7884, 19.5359, 6.18753, 59.356, 295.028, 
11, 118.202, 2.1213, 1.87589, 262922240, 490243834, 446896470, 41.3494, 21.3537, 6.30451, 42.441, 356.339, 
12, 118.484, 2.1306, 1.89548, 264704000, 522807332, 482561583, 39.6136, 22.7583, 6.3871, 44.253, 353.729, 
13, 112.5, 2.31284, 1.92529, 272834560, 571833981, 528844096, 43.1982, 24.2183, 6.34403, 52.371, 304.366, 
14, 114.938, 2.36185, 1.9544, 284651520, 618340857, 577467428, 41.4293, 25.3657, 6.30279, 33.332, 356.74, 
15, 115.476, 2.39152, 1.98172, 289576960, 666331651, 622215031, 44.7311, 26.5761, 6.31491, 40.346, 345.089, 
16, 113.489, 2.4691, 2.01039, 293826560, 712773183, 675923714, 39.8728, 27.3582, 6.24783, 37.178, 370.648, 
17, 108.328, 2.73141, 2.05044, 310261760, 770798174, 737302396, 35.5337, 27.8124, 6.14852, 41.844, 382.976, 
18, 113.526, 2.82407, 2.09116, 336179200, 846175675, 797185325, 47.614, 28.8546, 6.10836, 54.763, 332.849, 
19, 113.355, 2.97109, 2.13516, 353146880, 902688422, 853101673, 48.9484, 29.8593, 6.12195, 65.094, 421.482, 
20, 114.623, 3.04274, 2.17837, 365711360, 956399579, 904160432, 50.9442, 30.8633, 6.18071, 55.344, 424.042, 
21, 114.081, 3.19666, 2.22466, 382392320, 1017686662, 960226841, 57.1332, 32.0574, 6.21806, 59.903, 441.731, 
22, 114.662, 3.28615, 2.27081, 395100160, 1071975059, 1014099280, 64.0423, 33.4481, 6.27734, 69.36, 508.387, 
23, 119.758, 3.22257, 2.31047, 404674560, 1130337696, 1062789432, 76.9432, 35.2604, 6.37052, 60.938, 664.446, 
24, 119.244, 3.30221, 2.35014, 412897280, 1177376008, 1111624212, 75.2476, 36.8599, 6.4621, 70.579, 646.66, 
25, 118.304, 3.33456, 2.388, 413655040, 1226492294, 1159293055, 79.8415, 38.513, 6.5532, 72.125, 661.652, 
26, 116.82, 3.52139, 2.42998, 431349760, 1287299994, 1217919348, 83.8162, 40.1909, 6.59192, 64.002, 752.177, 
