BackupID, OnlineSpeed(MB/s), OnlineTime(s), AverageOnlineTime(s), BackupSize, OnlineSize, OfflineSize, OfflineTime(s), AverageOfflineTime(s), OverallReductionRatio, InlineBackupTime(ms), OfflineBackupTime(ms),
0,412.701,19.8473,19.8473,8588886016,631527219,626552196,5.16895,5.16895,13.7082,1213.05,0, 
1,627.117,13.0614,16.4543,8588886016,712431280,710115006,4.57884,4.8739,24.1901,1309.47,57.232, 
2,659.623,12.4177,15.1088,8588886016,790045123,788408353,6.68666,5.47815,32.6819,935.642,47.72, 
3,663.047,12.3536,14.42,8588886016,867291267,863931254,8.96802,6.35062,39.7665,885.188,73.319, 
4,660.124,12.4083,14.0176,8588886016,961048968,955943518,10.4541,7.17131,44.9236,680.61,319.991, 
5,653.414,12.5357,13.7706,8588886016,1041329570,1037767297,12.0311,7.98128,49.6579,744.728,554.324, 
6,673.601,12.16,13.5406,8588886016,1123534236,1118714056,13.1215,8.7156,53.7422,599.105,737.868, 
7,602.81,13.588,13.5465,8588886016,1232551325,1226352675,15.639,9.58103,56.0288,836.655,782.956, 
8,655.06,12.5042,13.4307,8588886016,1327770585,1322817906,16.5982,10.3607,58.4358,650.132,971.773, 
9,664.124,12.3335,13.321,8588886016,1413685072,1407908093,16.555,10.9801,61.0046,605.033,1113.44, 
10,644.886,12.7015,13.2647,8588886016,1512085604,1505946680,18.4383,11.6582,62.7364,613.315,1054.73, 
11,593.314,13.8055,13.3097,8588886016,1607679854,1602108757,20.337,12.3814,64.3319,1437.33,1304.59, 
12,631.868,12.9631,13.2831,8588886016,1708331188,1702709227,21.0533,13.0485,65.5752,938.179,1240.91, 
13,636.708,12.8646,13.2532,8588886016,1806614325,1805016387,22.1021,13.6951,66.6168,789.544,1465.34, 
14,604.591,13.548,13.2728,8588886016,1928213022,1916344556,23.7017,14.3623,67.2287,1067.12,1418.83, 
15,632.077,12.9589,13.2532,8588886016,2023104895,2015189406,23.7532,14.9492,68.1932,620.779,1667.32, 
16,604.394,13.5524,13.2708,8588886016,2167735256,2163863010,26.6889,15.6398,67.477,639.153,1613.86, 
17,613.25,13.3567,13.2756,8588886016,2309712284,2299011203,27.007,16.2713,67.2463,606.496,1826.16, 
18,607.442,13.4844,13.2866,8588886016,2421158936,2416655896,29.3642,16.9604,67.5267,619.504,1730.99, 
19,607.188,13.4901,13.2967,8588886016,2559373079,2549024357,30.9087,17.6578,67.3896,660.581,2129.32, 
20,610.078,13.4262,13.3029,8588886016,2683316086,2678666238,30.4117,18.2651,67.3345,627.185,2400.7, 
21,592.352,13.8279,13.3268,8588886016,2821222314,2823924595,31.7671,18.8788,66.9124,659.187,2108.91, 
22,602.302,13.5995,13.3386,8588886016,2977093315,2958398124,33.3877,19.5097,66.7741,617.053,2205.02, 
23,584.388,14.0164,13.3669,8588886016,3094334675,3085233844,33.8701,20.108,66.8128,733.432,2285.36, 
24,577.794,14.1763,13.3992,8588886016,3257202012,3248053159,36.5065,20.764,66.108,706.546,2206.8, 
25,561.738,14.5815,13.4447,8588886016,3415135921,3408622575,39.2237,21.474,65.5136,690.895,2878.93, 
26,557.205,14.7002,13.4912,8588886016,3591846852,3582905527,41.4192,22.2127,64.724,694.339,2911.96, 
27,563.822,14.5276,13.5282,8588886016,3763233095,3762688107,41.2992,22.8943,63.9141,714.706,3451.95, 
28,541.685,15.1213,13.5832,8588886016,3981342597,3970821765,44.4027,23.636,62.727,707.449,3250.14, 
29,519.292,15.7734,13.6562,8588886016,4194805203,4196854289,45.2151,24.3553,61.3952,801.396,3383.3, 
