BackupID, OnlineSpeed(MB/s), OnlineTime(s), AverageOnlineTime(s), BackupSize, OnlineSize, OfflineSize, OfflineTime(s), AverageOfflineTime(s), OverallReductionRatio, InlineBackupTime(ms), OfflineBackupTime(ms),
0,138.637,19.7388,19.7388,2869463040,834323475,413589057,180.349,180.349,6.93796,1022.49,0, 
1,272.243,10.0867,14.9127,2879416320,636477334,481642705,91.3176,135.833,11.936,645.324,3634.49, 
2,279.259,9.7585,13.1947,2857523200,671863719,533913642,98.3688,123.345,16.1195,580.568,929.712, 
3,266.149,10.3907,12.4937,2899824640,743688258,621118773,114.636,121.168,18.525,575.378,1026.62, 
4,273.589,10.0145,11.9979,2872954880,816614709,672246301,134.494,123.833,21.3898,609.015,1103.73, 
5,276.616,10.018,11.6679,2905763840,868113462,721883480,149.699,128.144,23.9442,549.823,1271.51, 
6,273.367,10.1384,11.4494,2906142720,918944962,776533899,165.629,133.499,26.0016,519.168,1434.69, 
7,274.013,10.2257,11.2964,2938091520,988536997,846988261,172.323,138.352,27.3076,471.996,1456.47, 
8,275.107,10.1242,11.1662,2920529920,1040076940,900474265,182.251,143.23,28.9289,502.132,1538.99, 
9,274.627,10.1402,11.0636,2920038400,1101785283,960653775,202.363,149.143,30.1563,482.973,1604.49, 
10,276.14,10.0088,10.9677,2898094080,1152928914,1005536470,216.906,155.303,31.6924,491.001,1861.39, 
11,264.578,10.4392,10.9237,2896158720,1205965853,1052890101,229.433,161.481,33.0177,522.271,1966.82, 
12,261.96,10.7081,10.9071,2941347840,1262283405,1104777981,244.372,167.857,34.1293,511.873,2172.72, 
13,270.851,10.2846,10.8626,2920919040,1308122832,1151718751,260.093,174.445,35.2745,471.184,2369.81, 
14,274.739,10.2129,10.8193,2942167040,1344532773,1183734110,264.68,180.461,36.8059,492.343,2536.85, 
15,276.944,10.1132,10.7752,2936832000,1374555524,1230383899,271.99,186.181,37.7974,520.871,2460.53, 
16,246.463,11.5259,10.8193,2978682880,1439858393,1282293608,283.393,191.9,38.5902,564.093,2860.17, 
17,267.303,10.7019,10.8128,2999603200,1483914130,1327758630,291.05,197.408,39.5279,608.539,2964.51, 
18,273.086,10.484,10.7955,3002122240,1531278251,1372709875,315.439,203.62,40.4205,553.956,2835.12, 
19,270.871,10.5,10.7807,2982307840,1576564028,1419328850,320.533,209.466,41.1941,591.884,3316.75, 
20,271.652,10.2953,10.7576,2932582400,1623168801,1465519449,332.811,215.34,41.8968,516.811,3135.13, 
21,258.187,10.6774,10.754,2890680320,1669392797,1511769541,325.683,220.355,42.5271,477.735,3476.75, 
22,270.106,10.1068,10.7258,2862520320,1712052443,1552437157,370.658,226.89,43.257,540.765,3446.89, 
23,263.114,10.337,10.7096,2851921920,1747986379,1585689148,391.285,233.74,44.1484,632.612,4041.06, 
24,271.944,10.0539,10.6834,2866923520,1776740493,1639287940,399.786,240.382,44.4538,536.621,3815.92, 
25,269.919,10.1585,10.6632,2875156480,1834287705,1665046299,410.721,246.933,45.4929,594.317,4155.9, 
26,271.423,10.0697,10.6412,2865899520,1863264621,1723935455,417.996,253.269,45.6013,532.525,4293.22, 
27,271.949,10.0459,10.62,2864680960,1917802115,1758930758,447.246,260.197,46.3227,623.53,4647.27, 
28,269.417,10.1658,10.6043,2871889920,1956495684,1801745420,445.767,266.596,46.8158,540.366,4971.59, 
29,275.289,9.96371,10.5829,2876139520,1996486324,1845262621,450.87,272.738,47.2704,604.257,5054.42, 
