BackupID, OnlineSpeed(MB/s), OnlineTime(s), AverageOnlineTime(s), BackupSize, OnlineSize, OfflineSize, OfflineTime(s), AverageOfflineTime(s), OverallReductionRatio, SelectOptimalBaseTime(s)
0, 100.399, 3.56042, 3.56042, 374824960, 226815044, 226815044, 2.2e-05, 2.2e-05, 1.65256, -nan
1, 187.388, 1.86392, 2.71217, 366243840, 277813343, 277813343, 3.4e-05, 2.8e-05, 2.66751, -nan
2, 187.644, 1.867, 2.43045, 367349760, 327772016, 327772016, 2.7e-05, 2.76667e-05, 3.38168, -nan
3, 188.527, 1.86758, 2.28973, 369192960, 372585670, 372585670, 3.2e-05, 2.875e-05, 3.96583, -nan
4, 203.213, 1.72973, 2.17773, 368578560, 408777105, 408777105, 3.6e-05, 3.02e-05, 4.51637, -nan
5, 175.237, 1.64905, 2.08962, 303011840, 444533806, 444533806, 2.4e-05, 2.91667e-05, 4.83473, -nan
6, 98.6016, 4.82153, 2.47989, 498503680, 695138033, 695138033, 2.7e-05, 2.88571e-05, 3.80889, -nan
7, 99.0779, 3.36521, 2.59056, 349614080, 815494458, 815494458, 2.2e-05, 2.8e-05, 3.67546, -nan
8, 107.045, 3.27149, 2.66622, 367206400, 910789958, 910789958, 3.1e-05, 2.83333e-05, 3.69407, -nan
9, 646.38, 0.541779, 2.45377, 367206400, 910801053, 910801053, 3.1e-05, 2.86e-05, 4.0972, -nan
10, 282.453, 1.27652, 2.34675, 378071040, 938119270, 938119270, 3.4e-05, 2.90909e-05, 4.3809, -nan
11, 286.428, 1.03981, 2.23784, 312299520, 954076391, 954076391, 3e-05, 2.91667e-05, 4.63496, -nan
12, 166.961, 1.78296, 2.20285, 312145920, 991948761, 991948761, 3e-05, 2.92308e-05, 4.77267, -nan
13, 412.91, 1.17223, 2.12923, 507535360, 994182668, 994182668, 2e-05, 2.85714e-05, 5.27246, -nan
14, 194.82, 2.55861, 2.15786, 522680320, 1037758879, 1037758879, 2.7e-05, 2.84667e-05, 5.55472, -nan
15, 229.885, 2.16872, 2.15853, 522772480, 1068026660, 1068026660, 2.5e-05, 2.825e-05, 5.88678, -nan
16, 130.05, 2.83425, 2.19828, 386498560, 1124591076, 1124591076, 3.3e-05, 2.85294e-05, 5.93437, -nan
17, 236.874, 1.54697, 2.1621, 384235520, 1137735176, 1137735176, 3.1e-05, 2.86667e-05, 6.20353, -nan
18, 275.077, 1.33219, 2.11842, 384256000, 1156306210, 1156306210, 2.4e-05, 2.84211e-05, 6.43621, -nan
19, 286.303, 1.25127, 2.07506, 375644160, 1170866925, 1170866925, 3e-05, 2.85e-05, 6.67699, -nan
20, 283.567, 1.26727, 2.0366, 376811520, 1183820450, 1183820450, 3.1e-05, 2.8619e-05, 6.92223, -nan
21, 283.083, 1.27575, 2.00201, 378685440, 1196067292, 1196067292, 2.4e-05, 2.84091e-05, 7.16796, -nan
22, 613.08, 0.597696, 1.94095, 384235520, 1196084552, 1196084552, 2.3e-05, 2.81739e-05, 7.48911, -nan
23, 630.277, 0.581388, 1.88431, 384235520, 1196090802, 1196090802, 2.3e-05, 2.79583e-05, 7.81031, -nan
24, 186.817, 1.98808, 1.88846, 389447680, 1243151639, 1243151639, 2.5e-05, 2.784e-05, 7.82792, -nan
25, 323.049, 1.15147, 1.86011, 390051840, 1247643359, 1247643359, 2.5e-05, 2.77308e-05, 8.11237, -nan
26, 311.138, 1.19866, 1.83561, 391065600, 1249898967, 1249898967, 3.3e-05, 2.79259e-05, 8.4106, -nan
27, 190.94, 1.95302, 1.83981, 391024640, 1279757143, 1279757143, 2.3e-05, 2.775e-05, 8.51992, -nan
28, 301.304, 1.23603, 1.81899, 390512640, 1283987250, 1283987250, 2.9e-05, 2.77931e-05, 8.79599, -nan
29, 124.369, 2.49399, 1.84149, 325242880, 1329165674, 1329165674, 3.1e-05, 2.79e-05, 8.74171, -nan
30, 139.034, 2.23121, 1.85406, 325283840, 1360739480, 1360739480, 2.2e-05, 2.77097e-05, 8.77792, -nan
31, 323.673, 0.958088, 1.82606, 325171200, 1363128985, 1363128985, 2.3e-05, 2.75625e-05, 9.00108, -nan
32, 317.842, 0.97708, 1.80033, 325642240, 1366242342, 1366242342, 2.9e-05, 2.76061e-05, 9.21892, -nan
33, 298.397, 1.04114, 1.778, 325765120, 1369339091, 1369339091, 3.1e-05, 2.77059e-05, 9.43597, -nan
34, 211.714, 1.69829, 1.77573, 377016320, 1392647348, 1392647348, 2.6e-05, 2.76571e-05, 9.54877, -nan
35, 227.032, 1.58542, 1.77044, 377425920, 1406486511, 1406486511, 2.8e-05, 2.76667e-05, 9.72316, -nan
36, 219.999, 1.72293, 1.76916, 397455360, 1418295327, 1418295327, 2.3e-05, 2.75405e-05, 9.92244, -nan
37, 126.264, 2.98465, 1.80114, 395161600, 1454271298, 1454271298, 2.5e-05, 2.74737e-05, 9.9487, -nan
38, 186.652, 2.01955, 1.80674, 395264000, 1467870364, 1467870364, 2.7e-05, 2.74615e-05, 10.1258, -nan
39, 127.183, 2.45909, 1.82305, 327946240, 1512472261, 1512472261, 3.4e-05, 2.7625e-05, 10.044, -nan
40, 120.805, 2.37986, 1.83663, 301465600, 1538549785, 1538549785, 3e-05, 2.76829e-05, 10.0697, -nan
41, 109.599, 2.6273, 1.85546, 301936640, 1570388831, 1570388831, 2.7e-05, 2.76667e-05, 10.0578, -nan
42, 109.438, 2.63213, 1.87352, 302049280, 1603098334, 1603098334, 2.9e-05, 2.76977e-05, 10.041, -nan
43, 179.582, 1.60627, 1.86745, 302469120, 1609545800, 1609545800, 3.4e-05, 2.78409e-05, 10.1887, -nan
44, 162.405, 2.29407, 1.87693, 390666240, 1650092693, 1650092693, 2.7e-05, 2.78222e-05, 10.1751, -nan
45, 336.466, 1.10736, 1.8602, 390686720, 1653953497, 1653953497, 2.6e-05, 2.77826e-05, 10.3876, -nan
46, 289.667, 1.2839, 1.84793, 389969920, 1656438504, 1656438504, 2.7e-05, 2.7766e-05, 10.6074, -nan
47, 148.776, 2.50553, 1.86163, 390871040, 1682108239, 1682108239, 3.1e-05, 2.78333e-05, 10.6779, -nan
48, 566.469, 0.509219, 1.83403, 302469120, 1682118125, 1682118125, 2.5e-05, 2.77755e-05, 10.8577, -nan
49, 299.932, 1.25937, 1.82254, 396072960, 1695626071, 1695626071, 2.7e-05, 2.776e-05, 11.0048, -nan
50, 310.909, 1.21371, 1.8106, 395683840, 1700425315, 1700425315, 2.2e-05, 2.76471e-05, 11.2064, -nan
51, 148.1, 2.66065, 1.82695, 413184000, 1730127037, 1730127037, 2.2e-05, 2.75385e-05, 11.2528, -nan
52, 398.186, 0.799033, 1.80756, 333619200, 1733283349, 1733283349, 2.8e-05, 2.75472e-05, 11.4248, -nan
53, 366.553, 0.799654, 1.78889, 307353600, 1738114149, 1738114149, 3.6e-05, 2.77037e-05, 11.5699, -nan
54, 359.415, 0.81692, 1.77122, 307875840, 1741622835, 1741622835, 2.3e-05, 2.76182e-05, 11.7234, -nan
