BackupID, OnlineSpeed(MB/s), OnlineTime(s), AverageOnlineTime(s), BackupSize, OnlineSize, OfflineSize, OfflineTime(s), AverageOfflineTime(s), OverallReductionRatio, SelectOptimalBaseTime(s)
0,96.756,2.05262,2.05262,208250880,100655456,100655456,2.00E-05,2.00E-05,2.06895, -nan
1,135.848,1.49337,1.773,212725760,132196507,132196507,2.60E-05,2.30E-05,3.18448, -nan
2,138.876,1.50687,1.68429,219432960,159613486,159613486,2.50E-05,2.37E-05,4.01225, -nan
3,140.05,1.52596,1.64471,224092160,186680336,186680336,2.20E-05,2.33E-05,4.63092, -nan
4,132.314,1.64448,1.64466,228157440,217875765,217875765,2.40E-05,2.34E-05,5.01506, -nan
5,130.156,1.71421,1.65625,233953280,252265168,252265168,2.10E-05,2.30E-05,5.2588, -nan
6,132.992,1.69668,1.66203,236605440,285058009,285058009,1.80E-05,2.23E-05,5.48386, -nan
7,121.808,1.88012,1.68929,240138240,320903698,320903698,2.50E-05,2.26E-05,5.61962, -nan
8,121.308,1.93761,1.71688,246466560,358301573,358301573,1.90E-05,2.22E-05,5.72094, -nan
9,127.042,1.87907,1.7331,250316800,387312576,387312576,2.00E-05,2.20E-05,5.93872, -nan
10,114.043,2.12742,1.76895,254402560,418174970,418174970,2.40E-05,2.22E-05,6.10879, -nan
11,99.7859,2.5128,1.83093,262922240,453195732,453195732,2.20E-05,2.22E-05,6.21688, -nan
12,88.2541,2.86039,1.91012,264704000,489859847,489859847,2.00E-05,2.20E-05,6.29194, -nan
13,78.2094,3.32691,2.01132,272834560,536428552,536428552,2.10E-05,2.19E-05,6.25433, -nan
14,74.3603,3.65067,2.12061,284651520,585946248,585946248,2.40E-05,2.21E-05,6.21158, -nan
15,69.6372,3.96573,2.23593,289576960,631551737,631551737,2.30E-05,2.21E-05,6.22155, -nan
16,68.5876,4.0855,2.34473,293826560,686493390,686493390,2.20E-05,2.21E-05,6.15164, -nan
17,69.7208,4.24391,2.45024,310261760,747778698,747778698,2.10E-05,2.21E-05,6.06238, -nan
18,64.1267,4.99956,2.58442,336179200,808580674,808580674,2.30E-05,2.21E-05,6.02228, -nan
19,66.8503,5.03793,2.70709,353146880,866093524,866093524,1.90E-05,2.20E-05,6.03012, -nan
20,65.553,5.32042,2.83154,365711360,919274344,919274344,2.40E-05,2.20E-05,6.0791, -nan
21,64.2586,5.67516,2.96079,382392320,977436508,977436508,2.10E-05,2.20E-05,6.10858, -nan
22,61.9904,6.07831,3.09633,395100160,1033152324,1033152324,2.20E-05,2.20E-05,6.16158, -nan
23,59.6122,6.47397,3.23707,404674560,1083573471,1083573471,2.50E-05,2.21E-05,6.24833, -nan
24,59.4146,6.62749,3.37269,412897280,1135510825,1135510825,2.60E-05,2.23E-05,6.32616, -nan
25,50.0846,7.87652,3.54591,413655040,1185438155,1185438155,2.80E-05,2.25E-05,6.40867, -nan
26,45.6416,9.01299,3.74839,431349760,1245619514,1245619514,3.20E-05,2.29E-05,6.44533, -nan
27,53.5279,7.84802,3.89481,440494080,1295732019,1295732019,2.80E-05,2.30E-05,6.53601, -nan
28,50.1962,8.54187,4.05505,449597440,1349261932,1349261932,2.70E-05,2.32E-05,6.60992, -nan
29,50.7587,8.47318,4.20232,450979840,1398561419,1398561419,2.10E-05,2.31E-05,6.69938, -nan
30,51.1869,9.71737,4.38023,521564160,1570158763,1570158763,2.20E-05,2.31E-05,6.2994, -nan
31,73.5044,6.92999,4.45991,534128640,1628655309,1628655309,3.10E-05,2.33E-05,6.4011, -nan
32,73.1539,7.09148,4.53965,543969280,1684921239,1684921239,2.40E-05,2.33E-05,6.51019, -nan
33,71.5039,7.33311,4.62181,549816320,1737214508,1737214508,2.50E-05,2.34E-05,6.63072, -nan
34,69.7297,7.65974,4.70861,560056320,1792472773,1792472773,2.10E-05,2.33E-05,6.73875, -nan
35,67.3233,8.09585,4.8027,571514880,1851978571,1851978571,2.10E-05,2.33E-05,6.83083, -nan
36,67.3267,8.19668,4.89443,578662400,1908355554,1908355554,2.40E-05,2.33E-05,6.93226, -nan
37,63.3983,8.67362,4.99388,576604160,1964760870,1964760870,2.00E-05,2.32E-05,7.02671, -nan
38,61.0299,9.06991,5.0984,580423680,2016400819,2016400819,2.10E-05,2.31E-05,7.13461, -nan
39,57.898,9.62699,5.21161,584458240,2072881484,2072881484,3.00E-05,2.33E-05,7.22217, -nan
