BackupID, OnlineSpeed(MB/s), OnlineTime(s), AverageOnlineTime(s), BackupSize, OnlineSize, OfflineSize, OfflineTime(s), AverageOfflineTime(s), OverallReductionRatio
0, 422.519, 19.3861, 19.3861, 8588886016, 629741284, 625633069, 5.14351, 5.14351, 13.7283
1, 703.966, 11.6355, 15.5108, 8588886016, 711320183, 709133887, 4.13537, 4.63944, 24.2236
2, 701.856, 11.6705, 14.2307, 8588886016, 788838002, 787763231, 5.54273, 4.94053, 32.7086
3, 704.326, 11.6296, 13.5804, 8588886016, 867051044, 863028681, 9.23774, 6.01484, 39.8081
4, 696.386, 11.7622, 13.2168, 8588886016, 960106368, 955462493, 9.90374, 6.79262, 44.9462
5, 703.298, 11.6466, 12.9551, 8588886016, 1040679699, 1036757114, 11.41, 7.56218, 49.7063
6, 700.779, 11.6884, 12.7741, 8588886016, 1122473828, 1117712786, 12.288, 8.23729, 53.7904
7, 680.286, 12.0405, 12.6824, 8588886016, 1231602964, 1225452877, 14.5841, 9.03064, 56.07
8, 690.452, 11.8632, 12.5914, 8588886016, 1326840622, 1321951331, 14.4226, 9.62975, 58.4741
9, 684.607, 11.9645, 12.5287, 8588886016, 1412841038, 1407013957, 16.0931, 10.2761, 61.0434
10, 635.328, 12.8925, 12.5618, 8588886016, 1511116016, 1505012228, 16.591, 10.8502, 62.7754
11, 628.894, 13.0245, 12.6003, 8588886016, 1606851610, 1601198454, 18.1847, 11.4614, 64.3684
12, 680.372, 12.039, 12.5572, 8588886016, 1707465733, 1701794992, 20.8941, 12.187, 65.6104
13, 663.24, 12.35, 12.5424, 8588886016, 1805649821, 1803875924, 21.8815, 12.8794, 66.6589
14, 652.606, 12.5512, 12.543, 8588886016, 1927085438, 1915369989, 22.8497, 13.5441, 67.2629
15, 666.413, 12.2912, 12.5272, 8588886016, 2022097111, 2014110550, 21.9293, 14.0682, 68.2297
16, 605.912, 13.5185, 12.5855, 8588886016, 2166741225, 2162950525, 24.5619, 14.6855, 67.5055
17, 629.297, 13.0161, 12.6094, 8588886016, 2308811420, 2297958930, 26.9626, 15.3675, 67.2771
18, 642.641, 12.7458, 12.6166, 8588886016, 2419956293, 2415769576, 28.4673, 16.057, 67.5515
19, 633.027, 12.9394, 12.6328, 8588886016, 2558465879, 2548617510, 29.4909, 16.7287, 67.4004
20, 629.184, 13.0184, 12.6511, 8588886016, 2683181139, 2677979409, 30.4414, 17.3817, 67.3518
21, 622.187, 13.1648, 12.6745, 8588886016, 2820397304, 2821881758, 31.5339, 18.025, 66.9608
22, 607.735, 13.4779, 12.7094, 8588886016, 2975102383, 2956585450, 33.8326, 18.7123, 66.815
23, 587.758, 13.936, 12.7605, 8588886016, 3092592320, 3084397594, 32.732, 19.2964, 66.831
24, 591.837, 13.84, 12.8037, 8588886016, 3256399200, 3247351553, 37.7007, 20.0326, 66.1222
25, 595.289, 13.7597, 12.8405, 8588886016, 3414389915, 3407841982, 39.191, 20.7694, 65.5286
26, 567.981, 14.4212, 12.899, 8588886016, 3591052952, 3582125262, 40.2962, 21.4927, 64.7381
27, 573.9, 14.2725, 12.9481, 8588886016, 3762481242, 3761895827, 43.0744, 22.2634, 63.9276
28, 552.515, 14.8249, 13.0128, 8588886016, 3980530715, 3969916314, 42.3432, 22.9558, 62.7413
29, 521.2, 15.7157, 13.1029, 8588886016, 4193907688, 4196104477, 43.8804, 23.6533, 61.4061
