BackupID, OnlineSpeed(MB/s), OnlineTime(s), AverageOnlineTime(s), BackupSize, OnlineSize, OfflineSize, OfflineTime(s), AverageOfflineTime(s), OverallReductionRatio, SelectOptimalBaseTime(s)
0, 324.236, 25.2625, 25.2625, 8588886016, 625308372, 625308372, 2.7e-05, 2.7e-05, 13.7354, -nan
1, 500.098, 16.3788, 20.8206, 8588886016, 710287221, 710287221, 2.8e-05, 2.75e-05, 24.1843, -nan
2, 492.373, 16.6358, 19.4257, 8588886016, 788523155, 788523155, 3.7e-05, 3.06667e-05, 32.6771, -nan
3, 496.226, 16.5066, 18.6959, 8588886016, 864135688, 864135688, 2.7e-05, 2.975e-05, 39.7571, -nan
4, 476.83, 17.178, 18.3923, 8588886016, 957572554, 957572554, 4.5e-05, 3.28e-05, 44.8472, -nan
5, 475.626, 17.2215, 18.1972, 8588886016, 1039203864, 1039203864, 4e-05, 3.4e-05, 49.5892, -nan
6, 472.95, 17.319, 18.0717, 8588886016, 1121207231, 1121207231, 3e-05, 3.34286e-05, 53.6227, -nan
7, 474.368, 17.2672, 17.9712, 8588886016, 1230082095, 1230082095, 2.6e-05, 3.25e-05, 55.8589, -nan
8, 471.233, 17.382, 17.9057, 8588886016, 1326740986, 1326740986, 2.8e-05, 3.2e-05, 58.263, -nan
9, 474.085, 17.2775, 17.8429, 8588886016, 1412999971, 1412999971, 2.9e-05, 3.17e-05, 60.7848, -nan
10, 466.888, 17.5438, 17.8157, 8588886016, 1512184267, 1512184267, 2.6e-05, 3.11818e-05, 62.4777, -nan
11, 464.563, 17.6316, 17.8004, 8588886016, 1609005280, 1609005280, 2.6e-05, 3.075e-05, 64.0561, -nan
12, 463.264, 17.6811, 17.7912, 8588886016, 1710065453, 1710065453, 2.9e-05, 3.06154e-05, 65.2931, -nan
13, 455.168, 17.9956, 17.8058, 8588886016, 1808181512, 1808181512, 4.2e-05, 3.14286e-05, 66.5002, -nan
14, 450.629, 18.1768, 17.8305, 8588886016, 1924689918, 1924689918, 3.2e-05, 3.14667e-05, 66.9372, -nan
15, 457.473, 17.9049, 17.8352, 8588886016, 2025625102, 2025625102, 2.6e-05, 3.1125e-05, 67.8419, -nan
16, 431.208, 18.9955, 17.9034, 8588886016, 2171829453, 2171829453, 3.1e-05, 3.11176e-05, 67.2295, -nan
17, 438.169, 18.6937, 17.9473, 8588886016, 2311403355, 2311403355, 2.7e-05, 3.08889e-05, 66.8858, -nan
18, 437.92, 18.7043, 17.9872, 8588886016, 2427019451, 2427019451, 3.2e-05, 3.09474e-05, 67.2384, -nan
19, 432.41, 18.9427, 18.0349, 8588886016, 2562217971, 2562217971, 2.5e-05, 3.065e-05, 67.0426, -nan
20, 438.205, 18.6922, 18.0662, 8588886016, 2690233383, 2690233383, 3e-05, 3.0619e-05, 67.045, -nan
21, 429.733, 19.0607, 18.1114, 8588886016, 2826961197, 2826961197, 2.7e-05, 3.04545e-05, 66.8405, -nan
22, 424.815, 19.2813, 18.1623, 8588886016, 2973401635, 2973401635, 2.5e-05, 3.02174e-05, 66.4372, -nan
23, 428.901, 19.0977, 18.2013, 8588886016, 3102864856, 3102864856, 2.4e-05, 2.99583e-05, 66.4332, -nan
24, 410.237, 19.9665, 18.2719, 8588886016, 3267874681, 3267874681, 3e-05, 2.996e-05, 65.707, -nan
25, 411.442, 19.908, 18.3348, 8588886016, 3427884750, 3427884750, 2.6e-05, 2.98077e-05, 65.1454, -nan
26, 403.033, 20.3234, 18.4085, 8588886016, 3603887284, 3603887284, 2.9e-05, 2.97778e-05, 64.3472, -nan
27, 401.145, 20.4191, 18.4803, 8588886016, 3777339893, 3777339893, 2.4e-05, 2.95714e-05, 63.6662, -nan
28, 384.626, 21.296, 18.5774, 8588886016, 3988888074, 3988888074, 7e-05, 3.09655e-05, 62.4429, -nan
29, 368.736, 22.2137, 18.6986, 8588886016, 4205559021, 4186530141, 281.265, 9.37552, 61.5466, 140.027
