BackupID, OnlineSpeed(MB/s), OnlineTime(s), AverageOnlineTime(s), BackupSize, OnlineSize, OfflineSize, OfflineTime(s), AverageOfflineTime(s), OverallReductionRatio, SelectOptimalBaseTime(s)
0,53.8946,50.7757,50.7757,2869463040,434306864,434306864, 2.5e-05, 2.5e-05,6.60699, -nan
1,113.809,24.1284,37.452,2879416320,506850141,506850141, 3.1e-05, 2.8e-05,11.3424, -nan
2,112.166,24.2957,33.0666,2857523200,557371484,557371484, 3.1e-05, 2.9e-05,15.4411, -nan
3,101.319,27.2949,31.6237,2899824640,637394312,637394312, 3.1e-05, 2.95e-05,18.052, -nan
4,99.6788,27.4869,30.7963,2872954880,687170985,687170985, 3.8e-05, 3.12e-05,20.9252, -nan
5,97.7388,28.3526,30.3891,2905763840,735737318,735737318, 2.6e-05, 3.03333e-05,23.4934, -nan
6,92.699,29.898,30.3189,2906142720,786154494,786154494, 3.4e-05, 3.08571e-05,25.6834, -nan
7,97.7715,28.6585,30.1113,2938091520,855717312,855717312, 2.8e-05, 3.05e-05,27.029, -nan
8,94.9694,29.3277,30.0243,2920529920,905640644,905640644, 2.9e-05, 3.03333e-05,28.7638, -nan
9,91.4825,30.4404,30.0659,2920038400,955586947,955586947, 2.9e-05, 3.02e-05,30.3162, -nan
10,90.1054,30.6734,30.1211,2898094080,998248901,998248901, 2.6e-05, 2.98182e-05,31.9237, -nan
11,92.1272,29.9802,30.1094,2896158720,1044605885,1044605885, 2.8e-05, 2.96667e-05,33.2795, -nan
12,88.8187,31.5822,30.2227,2941347840,1093477405,1093477405, 2.5e-05, 2.93077e-05,34.4821, -nan
13,86.3849,32.2464,30.3672,2920919040,1138533676,1138533676, 2.7e-05, 2.91429e-05,35.683, -nan
14,87.9247,31.9122,30.4702,2942167040,1179811102,1179811102, 2.4e-05, 2.88e-05,36.9283, -nan
15,87.4675,32.0208,30.5671,2936832000,1219630746,1219630746, 2.8e-05, 2.875e-05,38.1306, -nan
16,94.321,30.1173,30.5407,2978682880,1270957449,1270957449, 3e-05, 2.88235e-05,38.9344, -nan
17,92.3247,30.9846,30.5653,2999603200,1321659091,1321659091, 3.4e-05, 2.91111e-05,39.7104, -nan
18,88.9961,32.1705,30.6498,3002122240,1362668393,1362668393, 2.8e-05, 2.90526e-05,40.7184, -nan
19,88.4695,32.1484,30.7247,2982307840,1410045033,1410045033, 2.9e-05, 2.905e-05,41.4653, -nan
20,84.8214,32.972,30.8318,2932582400,1451616101,1451616101, 3.1e-05, 2.91429e-05,42.2981, -nan
21,88.4641,31.1626,30.8468,2890680320,1500860643,1500860643, 2.8e-05, 2.90909e-05,42.8363, -nan
22,83.1336,32.8376,30.9334,2862520320,1540559781,1540559781, 2.9e-05, 2.9087e-05,43.5905, -nan
23,82.7509,32.8674,31.0139,2851921920,1580620754,1580620754, 3e-05, 2.9125e-05,44.29, -nan
24,84.4659,32.3694,31.0682,2866923520,1619302859,1619302859, 2.8e-05, 2.908e-05,45.0025, -nan
25,83.8373,32.7057,31.1311,2875156480,1656533579,1656533579, 3.1e-05, 2.91538e-05,45.7267, -nan
26,83.7084,32.6506,31.1874,2865899520,1696534704,1696534704, 3.1e-05, 2.92222e-05,46.3378, -nan
27,85.3684,32.0021,31.2165,2864680960,1734823703,1734823703, 2.5e-05, 2.90714e-05,46.9664, -nan
28,83.9661,32.6185,31.2649,2871889920,1774558920,1774558920, 3.1e-05, 2.91379e-05,47.5331, -nan
29,83.4644,32.8631,31.3181,2876139520,1813264423,1813264423, 2.9e-05, 2.91333e-05,48.1046, -nan
30,83.1885,33.1399,31.3769,2890772480,1852960649,1852960649, 2.7e-05, 2.90645e-05,48.6341, -nan
31,82.4203,33.014,31.4281,2853201920,1890075495,1890075495, 2.4e-05, 2.89062e-05,49.1887, -nan
32,82.4828,32.5822,31.463,2818017280,1927016454,1927016454, 2.3e-05, 2.87273e-05,49.7081, -nan
33,76.8555,35.5758,31.584,2867015680,1970098420,1970098420, 2.6e-05, 2.86471e-05,50.0764, -nan
34,79.4976,34.5679,31.6693,2881556480,2012791959,2012791959, 2.8e-05, 2.86286e-05,50.4458, -nan
35,83.7797,32.9453,31.7047,2894223360,2061663747,2061663747, 2.9e-05, 2.86389e-05,50.6538, -nan
36,85.3243,32.2637,31.7198,2886604800,2111492187,2111492187, 3e-05, 2.86757e-05,50.8256, -nan
37,80.6056,34.4257,31.791,2909696000,2153239352,2153239352, 3.1e-05, 2.87368e-05,51.1915, -nan
38,80.1011,34.3657,31.857,2886451200,2192759394,2192759394, 2.6e-05, 2.86667e-05,51.5852, -nan
39,80.5505,34.1786,31.9151,2886840320,2232868757,2232868757, 3.3e-05, 2.8775e-05,51.9514, -nan
40,78.9537,35.1356,31.9936,2908835840,2273652353,2273652353, 3.3e-05, 2.8878e-05,52.2989, -nan
41,79.1435,34.7776,32.0599,2886123520,2313208472,2313208472, 2.4e-05, 2.87619e-05,52.6523, -nan
42,77.6521,35.4346,32.1384,2885232640,2354025611,2354025611, 2.9e-05, 2.87674e-05,52.965, -nan
43,80.7461,34.1146,32.1833,2888427520,2395728086,2395728086, 2.9e-05, 2.87727e-05,53.2487, -nan
