BackupID, OnlineSpeed(MB/s), OnlineTime(s), AverageOnlineTime(s), BackupSize, OnlineSize, OfflineSize, OfflineTime(s), AverageOfflineTime(s), OverallReductionRatio
0, 738.526, 11.091, 11.091, 8588886016, 637041299, 637041299, 2.5e-05, 2.5e-05, 13.4825
1, 898.157, 9.11978, 10.1054, 8588886016, 727594848, 727594848, 2.5e-05, 2.5e-05, 23.609
2, 892.352, 9.17911, 9.79664, 8588886016, 811867912, 811867912, 2.5e-05, 2.5e-05, 31.7375
3, 900.418, 9.09688, 9.6217, 8588886016, 893637743, 893637743, 2.4e-05, 2.475e-05, 38.4446
4, 886.544, 9.23924, 9.54521, 8588886016, 992987281, 992987281, 2.4e-05, 2.46e-05, 43.2477
5, 919.5, 8.9081, 9.43902, 8588886016, 1080871838, 1080871838, 2.3e-05, 2.43333e-05, 47.6775
6, 897.682, 9.12462, 9.39411, 8588886016, 1169341375, 1169341375, 2.8e-05, 2.48571e-05, 51.4154
7, 885.409, 9.2511, 9.37623, 8588886016, 1285462860, 1285462860, 2.7e-05, 2.5125e-05, 53.4524
8, 882.208, 9.28466, 9.36606, 8588886016, 1389641458, 1389641458, 2.9e-05, 2.55556e-05, 55.6258
9, 895.456, 9.1473, 9.34418, 8588886016, 1483760158, 1483760158, 2.4e-05, 2.54e-05, 57.8859
10, 912.696, 8.97451, 9.31057, 8588886016, 1591125083, 1591125083, 2.3e-05, 2.51818e-05, 59.378
11, 912.263, 8.97877, 9.28292, 8588886016, 1696445540, 1696445540, 2.5e-05, 2.51667e-05, 60.7545
12, 886.89, 9.23565, 9.27929, 8588886016, 1806112523, 1806112523, 2.8e-05, 2.53846e-05, 61.8209
13, 877.203, 9.33764, 9.28345, 8588886016, 1913575334, 1913575334, 2.8e-05, 2.55714e-05, 62.8376
14, 878.439, 9.3245, 9.28619, 8588886016, 2039986835, 2039986835, 2.7e-05, 2.56667e-05, 63.154
15, 888.793, 9.21587, 9.2818, 8588886016, 2150782296, 2150782296, 2.5e-05, 2.5625e-05, 63.894
16, 873.144, 9.38104, 9.28763, 8588886016, 2306984588, 2306984588, 2.5e-05, 2.55882e-05, 63.2909
17, 866.72, 9.45058, 9.29669, 8588886016, 2456797727, 2456797727, 2.6e-05, 2.56111e-05, 62.9274
18, 864.05, 9.47977, 9.30632, 8588886016, 2582696015, 2582696015, 2.6e-05, 2.56316e-05, 63.1855
19, 859.092, 9.53449, 9.31773, 8588886016, 2729435402, 2729435402, 2.9e-05, 2.58e-05, 62.9353
20, 889.777, 9.20568, 9.31239, 8588886016, 2868400324, 2868400324, 2.7e-05, 2.58571e-05, 62.8806
21, 845.961, 9.68248, 9.32922, 8588886016, 3016180851, 3016180851, 3e-05, 2.60455e-05, 62.6473
22, 839.618, 9.75562, 9.34776, 8588886016, 3173969708, 3173969708, 2.8e-05, 2.61304e-05, 62.2389
23, 871.458, 9.39919, 9.3499, 8588886016, 3315388190, 3315388190, 2.5e-05, 2.60833e-05, 62.1747
24, 833.925, 9.82223, 9.36879, 8588886016, 3492489788, 3492489788, 2.7e-05, 2.612e-05, 61.4811
25, 831.244, 9.8539, 9.38745, 8588886016, 3664931342, 3664931342, 2.5e-05, 2.60769e-05, 60.9318
26, 834.29, 9.81793, 9.40339, 8588886016, 3853760264, 3853760264, 2.7e-05, 2.61111e-05, 60.175
27, 837.263, 9.78307, 9.41695, 8588886016, 4040090199, 4040090199, 2.5e-05, 2.60714e-05, 59.5256
28, 816.078, 10.037, 9.43834, 8588886016, 4264197311, 4264197311, 2.2e-05, 2.5931e-05, 58.4114
29, 814.141, 10.0609, 9.45909, 8588886016, 4493798856, 4493798856, 2.3e-05, 2.58333e-05, 57.3383
