BackupID, OnlineSpeed(MB/s), OnlineTime(s), AverageOnlineTime(s), BackupSize, OnlineSize, OfflineSize, OfflineTime(s), AverageOfflineTime(s), OverallReductionRatio
0, 333.071, 24.5924, 24.5924, 8588886016, 625302751, 625302751, 0.001528, 0.001528, 13.7356
1, 505.532, 16.2027, 20.3975, 8588886016, 710281600, 710281600, 0.001653, 0.0015905, 24.1845
2, 504.99, 16.2201, 19.0051, 8588886016, 788517534, 788517534, 0.001191, 0.00145733, 32.6773
3, 499.174, 16.4091, 18.3561, 8588886016, 864130067, 864130067, 0.001964, 0.001584, 39.7574
4, 488.733, 16.7597, 18.0368, 8588886016, 957566933, 957566933, 0.002095, 0.0016862, 44.8474
5, 489.365, 16.738, 17.8203, 8588886016, 1039198243, 1039198243, 0.002328, 0.00179317, 49.5895
6, 487.428, 16.8045, 17.6752, 8588886016, 1121201610, 1121201610, 0.002476, 0.00189071, 53.623
7, 469.524, 17.4453, 17.6465, 8588886016, 1230076474, 1230076474, 0.001801, 0.0018795, 55.8592
8, 466.813, 17.5466, 17.6354, 8588886016, 1326735365, 1326735365, 0.001899, 0.00188167, 58.2633
9, 470.442, 17.4113, 17.613, 8588886016, 1412994350, 1412994350, 0.003017, 0.0019952, 60.785
10, 463.327, 17.6787, 17.619, 8588886016, 1512178646, 1512178646, 0.002095, 0.00200427, 62.4779
11, 469.616, 17.4419, 17.6042, 8588886016, 1608999659, 1608999659, 0.003475, 0.00212683, 64.0563
12, 462.186, 17.7223, 17.6133, 8588886016, 1710059832, 1710059832, 0.002417, 0.00214915, 65.2933
13, 453.59, 18.0582, 17.6451, 8588886016, 1808175891, 1808175891, 0.003887, 0.00227329, 66.5004
14, 445.499, 18.3861, 17.6945, 8588886016, 1924684297, 1924684297, 0.002706, 0.00230213, 66.9374
15, 455.038, 18.0007, 17.7136, 8588886016, 2025619481, 2025619481, 0.004318, 0.00242813, 67.842
16, 426.39, 19.2101, 17.8016, 8588886016, 2171823832, 2171823832, 0.005486, 0.002608, 67.2297
17, 430.385, 19.0318, 17.87, 8588886016, 2311397734, 2311397734, 0.003284, 0.00264556, 66.8859
18, 440.135, 18.6102, 17.9089, 8588886016, 2427013830, 2427013830, 0.005147, 0.00277721, 67.2385
19, 434.918, 18.8334, 17.9552, 8588886016, 2562212350, 2562212350, 0.005492, 0.00291295, 67.0427
20, 429.093, 19.0891, 18.0092, 8588886016, 2690227762, 2690227762, 0.005692, 0.00304529, 67.0451
21, 423.109, 19.3591, 18.0705, 8588886016, 2826955576, 2826955576, 0.003889, 0.00308364, 66.8406
22, 418.641, 19.5657, 18.1355, 8588886016, 2973396014, 2973396014, 0.006886, 0.00324896, 66.4373
23, 419.591, 19.5214, 18.1933, 8588886016, 3102859235, 3102859235, 0.006611, 0.00338904, 66.4333
24, 400.235, 20.4655, 18.2842, 8588886016, 3267869060, 3267869060, 0.007025, 0.00353448, 65.7071
25, 397.81, 20.5902, 18.3729, 8588886016, 3427879129, 3427879129, 0.004773, 0.00358212, 65.1455
26, 379.905, 21.5607, 18.4909, 8588886016, 3603881663, 3603881663, 0.006592, 0.00369359, 64.3473
27, 373.306, 21.9418, 18.6142, 8588886016, 3777334272, 3777334272, 0.005213, 0.00374786, 63.6663
28, 369.312, 22.1791, 18.7371, 8588886016, 3988882453, 3988882453, 0.005491, 0.00380797, 62.443
29, 358.3, 22.8607, 18.8745, 8588886016, 4205553400, 4205553400, 0.006324, 0.00389183, 61.2682
