BackupID, OnlineSpeed(MB/s), OnlineTime(s), AverageOnlineTime(s), BackupSize, OnlineSize, OfflineSize, OfflineTime(s), AverageOfflineTime(s), OverallReductionRatio
0, 453.599, 18.0578, 18.0578, 8588886016, 626797464, 626797464, 2.4e-05, 2.4e-05, 13.7028
1, 724.457, 11.3064, 14.6821, 8588886016, 712936155, 712936155, 2.1e-05, 2.25e-05, 24.0944
2, 720.199, 11.3732, 13.5792, 8588886016, 793393208, 793393208, 2e-05, 2.16667e-05, 32.4765
3, 687.163, 11.92, 13.1644, 8588886016, 872569335, 872569335, 2.1e-05, 2.15e-05, 39.3729
4, 697.467, 11.7439, 12.8803, 8588886016, 970065000, 970065000, 2.5e-05, 2.22e-05, 44.2696
5, 655.961, 12.487, 12.8147, 8588886016, 1056230209, 1056230209, 1.9e-05, 2.16667e-05, 48.7899
6, 712.109, 11.5025, 12.6273, 8588886016, 1142997785, 1142997785, 2.5e-05, 2.21429e-05, 52.6005
7, 708.973, 11.5533, 12.493, 8588886016, 1257228990, 1257228990, 2e-05, 2.1875e-05, 54.6528
8, 709.434, 11.5458, 12.3878, 8588886016, 1359280212, 1359280212, 2.2e-05, 2.18889e-05, 56.8683
9, 698.636, 11.7243, 12.3214, 8588886016, 1451237782, 1451237782, 2.1e-05, 2.18e-05, 59.1832
10, 712.262, 11.5, 12.2468, 8588886016, 1556524418, 1556524418, 1.9e-05, 2.15455e-05, 60.6979
11, 689.309, 11.8829, 12.2164, 8588886016, 1659726730, 1659726730, 2.2e-05, 2.15833e-05, 62.0986
12, 711.661, 11.5097, 12.1621, 8588886016, 1767368722, 1767368722, 2.1e-05, 2.15385e-05, 63.1761
13, 657.075, 12.4659, 12.1838, 8588886016, 1873052812, 1873052812, 2e-05, 2.14286e-05, 64.197
14, 696.087, 11.7672, 12.156, 8588886016, 1996906195, 1996906195, 1.9e-05, 2.12667e-05, 64.5164
15, 680.352, 12.0394, 12.1487, 8588886016, 2105385099, 2105385099, 2.4e-05, 2.14375e-05, 65.2718
16, 663.855, 12.3385, 12.1599, 8588886016, 2259604130, 2259604130, 2.2e-05, 2.14706e-05, 64.618
17, 637.806, 12.8425, 12.1978, 8588886016, 2407471645, 2407471645, 2.2e-05, 2.15e-05, 64.2167
18, 677.479, 12.0904, 12.1921, 8588886016, 2531602723, 2531602723, 1.9e-05, 2.13684e-05, 64.4607
19, 650.894, 12.5842, 12.2117, 8588886016, 2676426847, 2676426847, 2e-05, 2.13e-05, 64.1817
20, 678.901, 12.0651, 12.2048, 8588886016, 2813692353, 2813692353, 1.9e-05, 2.11905e-05, 64.1032
21, 670.124, 12.2231, 12.2056, 8588886016, 2959685940, 2959685940, 2.2e-05, 2.12273e-05, 63.8431
22, 661.034, 12.3912, 12.2137, 8588886016, 3116009797, 3116009797, 2e-05, 2.11739e-05, 63.3966
23, 629.27, 13.0167, 12.2471, 8588886016, 3255640283, 3255640283, 2.2e-05, 2.12083e-05, 63.3157
24, 641.749, 12.7636, 12.2678, 8588886016, 3431223183, 3431223183, 2.1e-05, 2.12e-05, 62.5789
25, 627.492, 13.0536, 12.298, 8588886016, 3602131402, 3602131402, 1.8e-05, 2.10769e-05, 61.9941
26, 616.603, 13.2841, 12.3345, 8588886016, 3789159649, 3789159649, 2.4e-05, 2.11852e-05, 61.2009
27, 628.935, 13.0236, 12.3591, 8588886016, 3974018515, 3974018515, 2.1e-05, 2.11786e-05, 60.5153
28, 597.636, 13.7057, 12.4056, 8588886016, 4196970796, 4196970796, 2e-05, 2.11379e-05, 59.347
29, 595.539, 13.7539, 12.4505, 8588886016, 4425581033, 4425581033, 3.1e-05, 2.14667e-05, 58.2221
