BackupID, OnlineSpeed(MB/s), OnlineTime(s), AverageOnlineTime(s), BackupSize, OnlineSize, OfflineSize, OfflineTime(s), AverageOfflineTime(s), OverallReductionRatio, SelectOptimalBaseTime(s)
0,46.5584,7.67769,7.67769,374824960,226825405,226825405, 3.2e-05, 3.2e-05,1.65248, -nan
1,80.6953,4.32835,6.00302,366243840,277823704,277823704,0.000245,0.0001385,2.66741, -nan
2,87.7897,3.99058,5.33221,367349760,327782377,327782377, 3.2e-05,0.000103,3.38157, -nan
3,90.7426,3.8801,4.96918,369192960,372596031,372596031,0.000132,0.00011025,3.96572, -nan
4,119.441,2.94291,4.56392,368578560,408787466,408787466, 4.1e-05, 9.64e-05,4.51626, -nan
5,121.231,2.38368,4.20055,303011840,444544167,444544167, 8.5e-05, 9.45e-05,4.83462, -nan
6,65.4048,7.26873,4.63886,498503680,695148394,695148394, 8.5e-05, 9.31429e-05,3.80884, -nan
7,68.3546,4.87777,4.66873,349614080,815503277,815503277, 8.7e-05, 9.2375e-05,3.67542, -nan
8,74.9516,4.67229,4.66912,367206400,910793885,910793885, 3.2e-05, 8.56667e-05,3.69406, -nan
9,454.488,0.770527,4.27926,367206400,910804980,910804980, 2.5e-05, 7.96e-05,4.09718, -nan
10,211.551,1.70435,4.04518,378071040,938123197,938123197, 2.8e-05, 7.49091e-05,4.38088, -nan
11,210.403,1.41553,3.82604,312299520,954080318,954080318, 8.1e-05, 7.54167e-05,4.63494, -nan
12,121.017,2.45986,3.72095,312145920,991952688,991952688, 6e-05, 7.42308e-05,4.77266, -nan
13,319.575,1.51459,3.56335,507535360,994186595,994186595, 8.2e-05, 7.47857e-05,5.27244, -nan
14,141.899,3.51282,3.55998,522680320,1037762806,1037762806, 9.3e-05, 7.6e-05,5.5547, -nan
15,167.608,2.97453,3.52339,522772480,1068030587,1068030587, 8.4e-05, 7.65e-05,5.88676, -nan
16,90.833,4.05793,3.55484,386498560,1124597131,1124597131, 8.9e-05, 7.72353e-05,5.93433, -nan
17,172.302,2.12671,3.4755,384235520,1137729483,1137729483, 8.5e-05, 7.76667e-05,6.20356, -nan
18,204.331,1.79344,3.38697,384256000,1156300517,1156300517, 8.4e-05, 7.8e-05,6.43624, -nan
19,213.571,1.67739,3.30149,375644160,1170861232,1170861232, 8.8e-05, 7.85e-05,6.67703, -nan
20,218.272,1.64636,3.22267,376811520,1183814757,1183814757, 8.1e-05, 7.8619e-05,6.92227, -nan
21,218.054,1.65621,3.15147,378685440,1196061599,1196061599, 8.1e-05, 7.87273e-05,7.168, -nan
22,454.982,0.805385,3.04947,384235520,1196078859,1196078859, 8.3e-05, 7.8913e-05,7.48914, -nan
23,449.483,0.815237,2.95637,384235520,1196085109,1196085109, 8e-05, 7.89583e-05,7.81035, -nan
24,133.582,2.78036,2.94933,389447680,1243145946,1243145946, 8.1e-05, 7.904e-05,7.82795, -nan
25,257.032,1.44722,2.89156,390051840,1247637666,1247637666, 7.7e-05, 7.89615e-05,8.1124, -nan
26,253.425,1.47164,2.83897,391065600,1249893274,1249893274, 6.1e-05, 7.82963e-05,8.41064, -nan
27,143.271,2.60283,2.83054,391024640,1279751450,1279751450, 8.3e-05, 7.84643e-05,8.51996, -nan
28,248.238,1.50026,2.78466,390512640,1283981557,1283981557, 8.4e-05, 7.86552e-05,8.79603, -nan
29,92.2399,3.36271,2.80393,325242880,1329159981,1329159981, 8.4e-05, 7.88333e-05,8.74175, -nan
30,102.536,3.02541,2.81108,325283840,1360733787,1360733787, 8.2e-05, 7.89355e-05,8.77796, -nan
31,258.193,1.20107,2.76076,325171200,1363123292,1363123292, 8e-05, 7.89688e-05,9.00112, -nan
32,248.916,1.24763,2.71491,325642240,1366236649,1366236649, 7.4e-05, 7.88182e-05,9.21896, -nan
33,244.143,1.27251,2.67249,325765120,1369333398,1369333398, 8e-05, 7.88529e-05,9.43601, -nan
34,150.671,2.38632,2.66431,377016320,1392640938,1392640938, 9e-05, 7.91714e-05,9.54881, -nan
35,170.916,2.10595,2.6488,377425920,1406478554,1406478554, 8.5e-05, 7.93333e-05,9.72321, -nan
36,159.333,2.37893,2.64151,397455360,1418284037,1418284037, 6.9e-05, 7.90541e-05,9.92252, -nan
37,95.5214,3.94525,2.67582,395161600,1454256830,1454256830, 8e-05, 7.90789e-05,9.9488, -nan
38,146.981,2.56463,2.67297,395264000,1467860111,1467860111, 8.4e-05, 7.92051e-05,10.1259, -nan
39,98.3134,3.18119,2.68567,327946240,1512462008,1512462008, 8.3e-05, 7.93e-05,10.0441, -nan
