BackupID, OnlineSpeed(MB/s), OnlineTime(s), AverageOnlineTime(s), BackupSize, OnlineSize, OfflineSize, OfflineTime(s), AverageOfflineTime(s), OverallReductionRatio, SelectOptimalBaseTime(s)
0,95.7085,2.07509,2.07509,208250880,100655456,100655456, 2.3e-05, 2.3e-05,2.06895, -nan
1,124.621,1.62791,1.8515,212725760,132196507,132196507, 3.2e-05, 2.75e-05,3.18448, -nan
2,121.345,1.72457,1.80919,219432960,159613486,159613486,0.000166, 7.36667e-05,4.01225, -nan
3,128.493,1.66321,1.77269,224092160,186680336,186680336, 2.4e-05, 6.125e-05,4.63092, -nan
4,124.196,1.75197,1.76855,228157440,217875765,217875765, 2.7e-05, 5.44e-05,5.01506, -nan
5,121.827,1.8314,1.77903,233953280,252265168,252265168, 2.7e-05, 4.98333e-05,5.2588, -nan
6,114.264,1.97476,1.80699,236605440,285058009,285058009, 2.8e-05, 4.67143e-05,5.48386, -nan
7,111.135,2.06068,1.8387,240138240,320903698,320903698, 2.6e-05, 4.4125e-05,5.61962, -nan
8,109.31,2.15029,1.87332,246466560,358301573,358301573, 2.2e-05, 4.16667e-05,5.72094, -nan
9,106.533,2.24082,1.91007,250316800,387312576,387312576,0.000104, 4.79e-05,5.93872, -nan
10,101.728,2.38497,1.95324,254402560,418174970,418174970, 2.6e-05, 4.59091e-05,6.10879, -nan
11,91.3088,2.74609,2.01931,262922240,453195732,453195732, 3.2e-05, 4.475e-05,6.21688, -nan
12,89.4986,2.82062,2.08095,264704000,489859847,489859847, 2.2e-05, 4.3e-05,6.29194, -nan
13,77.6646,3.35024,2.17162,272834560,536428552,536428552, 2.7e-05, 4.18571e-05,6.25433, -nan
14,76.6204,3.54299,2.26304,284651520,585946248,585946248, 2.3e-05, 4.06e-05,6.21158, -nan
15,71.2283,3.87714,2.36392,289576960,631551737,631551737, 2.3e-05, 3.95e-05,6.22155, -nan
16,71.232,3.93383,2.45627,293826560,686493390,686493390, 2e-05, 3.83529e-05,6.15164, -nan
17,72.8014,4.06432,2.54561,310261760,747778698,747778698, 2.3e-05, 3.75e-05,6.06238, -nan
18,66.3294,4.83354,2.66602,336179200,808580674,808580674, 2.8e-05, 3.7e-05,6.02228, -nan
19,68.2038,4.93795,2.77962,353146880,866093524,866093524, 1.9e-05, 3.61e-05,6.03012, -nan
20,67.6424,5.15608,2.89278,365711360,919274344,919274344, 2.7e-05, 3.56667e-05,6.0791, -nan
21,64.8271,5.62539,3.01699,382392320,977436508,977436508, 2.3e-05, 3.50909e-05,6.10858, -nan
22,62.7385,6.00583,3.14694,395100160,1033152324,1033152324, 1.9e-05, 3.43913e-05,6.16158, -nan
23,60.4891,6.38012,3.28166,404674560,1083573471,1083573471, 2.5e-05, 3.4e-05,6.24833, -nan
24,59.8898,6.5749,3.41339,412897280,1135510825,1135510825, 2.3e-05, 3.356e-05,6.32616, -nan
25,57.2735,6.88786,3.54702,413655040,1185438155,1185438155, 2.2e-05, 3.31154e-05,6.40867, -nan
26,54.6762,7.5237,3.69431,431349760,1245619514,1245619514, 2.1e-05, 3.26667e-05,6.44533, -nan
27,55.6629,7.547,3.8319,440494080,1295732019,1295732019, 2.1e-05, 3.225e-05,6.53601, -nan
28,50.9931,8.40838,3.98971,449597440,1349261932,1349261932, 2.4e-05, 3.19655e-05,6.60992, -nan
29,51.2724,8.38829,4.13633,450979840,1398561419,1398561419, 2.4e-05, 3.17e-05,6.69938, -nan
30,51.959,9.57297,4.31171,521564160,1570158763,1570158763, 2.5e-05, 3.14839e-05,6.2994, -nan
31,74.1056,6.87377,4.39177,534128640,1628655309,1628655309, 2.4e-05, 3.125e-05,6.4011, -nan
