BackupID, OnlineSpeed(MB/s), OnlineTime(s), AverageOnlineTime(s), BackupSize, OnlineSize, OfflineSize, OfflineTime(s), AverageOfflineTime(s), OverallReductionRatio, SelectOptimalBaseTime(s)
0,308.626,26.5402,26.5402,8588886016,625184858,625184858, 2.9e-05, 2.9e-05,13.7382, -nan
1,480.176,17.0583,21.7993,8588886016,710163707,710163707, 4.6e-05, 3.75e-05,24.1885, -nan
2,494.545,16.5627,20.0537,8588886016,788399641,788399641, 3e-05, 3.5e-05,32.6822, -nan
3,503.864,16.2564,19.1044,8588886016,864012174,864012174, 2.8e-05, 3.325e-05,39.7628, -nan
4,487.045,16.8178,18.6471,8588886016,957449040,957449040, 2.7e-05, 3.2e-05,44.853, -nan
5,490.68,16.6932,18.3214,8588886016,1039080350,1039080350, 2.6e-05, 3.1e-05,49.5951, -nan
6,491.672,16.6595,18.084,8588886016,1121083717,1121083717, 3.1e-05, 3.1e-05,53.6286, -nan
7,467.219,17.5314,18.0149,8588886016,1229958581,1229958581, 2.7e-05, 3.05e-05,55.8646, -nan
8,466.41,17.5618,17.9646,8588886016,1326617472,1326617472, 3.7e-05, 3.12222e-05,58.2685, -nan
9,465.475,17.5971,17.9278,8588886016,1412876457,1412876457, 3e-05, 3.11e-05,60.7901, -nan
10,455.231,17.9931,17.9338,8588886016,1512060753,1512060753, 2.9e-05, 3.09091e-05,62.4828, -nan
11,458.864,17.8506,17.9268,8588886016,1608881766,1608881766, 2.6e-05, 3.05e-05,64.061, -nan
12,451.861,18.1273,17.9422,8588886016,1709941939,1709941939, 3.1e-05, 3.05385e-05,65.2978, -nan
13,453.85,18.0478,17.9498,8588886016,1808057998,1808057998, 2.7e-05, 3.02857e-05,66.5047, -nan
14,448.58,18.2598,17.9705,8588886016,1924566404,1924566404, 2.7e-05, 3.00667e-05,66.9415, -nan
15,458.731,17.8558,17.9633,8588886016,2025501588,2025501588, 3.2e-05, 3.01875e-05,67.846, -nan
16,430.706,19.0176,18.0253,8588886016,2171705939,2171705939, 2.6e-05, 2.99412e-05,67.2333, -nan
17,431.939,18.9633,18.0774,8588886016,2311279841,2311279841, 2.9e-05, 2.98889e-05,66.8893, -nan
18,437.224,18.7341,18.112,8588886016,2426895937,2426895937, 3.5e-05, 3.01579e-05,67.2418, -nan
19,428.366,19.1215,18.1625,8588886016,2562094457,2562094457, 2.6e-05, 2.995e-05,67.0458, -nan
20,423.529,19.3399,18.2185,8588886016,2690109869,2690109869, 3.3e-05, 3.00952e-05,67.048, -nan
21,417.976,19.5968,18.2812,8588886016,2826837683,2826837683, 2.5e-05, 2.98636e-05,66.8434, -nan
22,411.978,19.8821,18.3508,8588886016,2973278121,2973278121, 3.2e-05, 2.99565e-05,66.4399, -nan
23,412.779,19.8435,18.413,8588886016,3102741342,3102741342, 3.1e-05, 3e-05,66.4359, -nan
24,389.125,21.0498,18.5185,8588886016,3267751167,3267751167, 2.8e-05, 2.992e-05,65.7095, -nan
25,375.593,21.8082,18.645,8588886016,3427761236,3427761236, 2.9e-05, 2.98846e-05,65.1478, -nan
26,380.757,21.5124,18.7512,8588886016,3603763770,3603763770, 2.9e-05, 2.98519e-05,64.3494, -nan
27,378.429,21.6447,18.8545,8588886016,3777216379,3777216379, 3e-05, 2.98571e-05,63.6683, -nan
28,359.809,22.7649,18.9894,8588886016,3988764560,3988764560, 2.7e-05, 2.97586e-05,62.4448, -nan
29,348.33,23.515,19.1402,8588886016,4205435507,4161202148,2602.28,86.7428,61.9212,2539.48
,,,,,,,,,,
,,大于5000的组,3,,,,,,,
