BackupID, OnlineSpeed(MB/s), OnlineTime(s), AverageOnlineTime(s), BackupSize, OnlineSize, OfflineSize, OfflineTime(s), AverageOfflineTime(s), OverallReductionRatio, SelectOptimalBaseTime(s)
0,52.8584,51.771,51.771,2869463040,434073708,434073708, 2.5e-05, 2.5e-05,6.61054, -nan
1,117.027,23.4648,37.6179,2879416320,507204836,507204836, 3.1e-05, 2.8e-05,11.3344, -nan
2,112.997,24.117,33.1176,2857523200,557443565,557443565, 2.4e-05, 2.66667e-05,15.4391, -nan
3,100.761,27.4461,31.6997,2899824640,637247097,637247097, 2.6e-05, 2.65e-05,18.0561, -nan
4,99.1292,27.6393,30.8877,2872954880,687041207,687041207, 3.1e-05, 2.74e-05,20.9291, -nan
5,95.451,29.0322,30.5784,2905763840,735606005,735606005, 3.3e-05, 2.83333e-05,23.4976, -nan
6,91.7387,30.2109,30.5259,2906142720,786065581,786065581, 3.1e-05, 2.87143e-05,25.6863, -nan
7,96.7593,28.9583,30.33,2938091520,855485225,855485225, 2.9e-05, 2.875e-05,27.0363, -nan
8,93.7123,29.7211,30.2623,2920529920,905288495,905288495, 2.7e-05, 2.85556e-05,28.775, -nan
9,90.8814,30.6418,30.3003,2920038400,954949495,954949495, 2.7e-05, 2.84e-05,30.3364, -nan
10,90.3807,30.5799,30.3257,2898094080,997493720,997493720, 2.6e-05, 2.81818e-05,31.9479, -nan
11,92.77,29.7725,30.2796,2896158720,1043774001,1043774001, 2.3e-05, 2.775e-05,33.3061, -nan
12,87.4411,32.0797,30.4181,2941347840,1092528151,1092528151, 3.1e-05, 2.8e-05,34.512, -nan
13,85.5709,32.5532,30.5706,2920919040,1137550707,1137550707, 3.1e-05, 2.82143e-05,35.7138, -nan
14,87.2796,32.1481,30.6757,2942167040,1178676733,1178676733, 2.9e-05, 2.82667e-05,36.9639, -nan
15,86.9294,32.219,30.7722,2936832000,1218403142,1218403142, 2.5e-05, 2.80625e-05,38.169, -nan
16,92.805,30.6093,30.7626,2978682880,1269770120,1269770120, 3.1e-05, 2.82353e-05,38.9708, -nan
17,90.6461,31.5584,30.8068,2999603200,1320400004,1320400004, 3.6e-05, 2.86667e-05,39.7482, -nan
18,87.1491,32.8523,30.9145,3002122240,1361231069,1361231069, 2.2e-05, 2.83158e-05,40.7614, -nan
19,88.6612,32.0789,30.9727,2982307840,1408504203,1408504203, 2.4e-05, 2.81e-05,41.5107, -nan
20,83.4074,33.531,31.0945,2932582400,1449945387,1449945387, 3e-05, 2.81905e-05,42.3468, -nan
21,88.1339,31.2793,31.1029,2890680320,1499104691,1499104691, 2.5e-05, 2.80455e-05,42.8864, -nan
22,82.6982,33.0106,31.1859,2862520320,1538725553,1538725553, 2.5e-05, 2.7913e-05,43.6425, -nan
23,82.4048,33.0054,31.2617,2851921920,1578680803,1578680803, 3.1e-05, 2.80417e-05,44.3444, -nan
24,83.9498,32.5684,31.3139,2866923520,1617192417,1617192417, 3.7e-05, 2.84e-05,45.0612, -nan
25,83.7228,32.7505,31.3692,2875156480,1654303750,1654303750, 3.2e-05, 2.85385e-05,45.7883, -nan
26,83.9237,32.5669,31.4135,2865899520,1694044116,1694044116, 3.5e-05, 2.87778e-05,46.4059, -nan
27,84.9551,32.1578,31.4401,2864680960,1732151645,1732151645, 3.5e-05, 2.9e-05,47.0388, -nan
28,83.6582,32.7385,31.4849,2871889920,1771703902,1771703902, 2.4e-05, 2.88276e-05,47.6097, -nan
29,82.2148,33.3626,31.5475,2876139520,1810301366,1810301366, 3e-05, 2.88667e-05,48.1833, -nan
30,82.9614,33.2306,31.6018,2890772480,1849686393,1849686393, 2.5e-05, 2.87419e-05,48.7202, -nan
31,81.5886,33.3506,31.6564,2853201920,1886701179,1886701179, 3.1e-05, 2.88125e-05,49.2767, -nan
32,82.2061,32.6919,31.6878,2818017280,1923530591,1923530591, 2.9e-05, 2.88182e-05,49.7982, -nan
33,76.1666,35.8976,31.8116,2867015680,1966494172,1966494172, 4e-05, 2.91471e-05,50.1682, -nan
34,79.1956,34.6997,31.8941,2881556480,2009029556,2009029556, 2.6e-05, 2.90571e-05,50.5403, -nan
35,83.7391,32.9612,31.9238,2894223360,2057888398,2057888398, 3e-05, 2.90833e-05,50.7468, -nan
36,84.8244,32.4539,31.9381,2886604800,2107606336,2107606336, 3e-05, 2.91081e-05,50.9193, -nan
37,79.439,34.9312,32.0169,2909696000,2149290381,2149290381, 2.9e-05, 2.91053e-05,51.2855, -nan
38,78.8431,34.9141,32.0912,2886451200,2188680706,2188680706, 3e-05, 2.91282e-05,51.6813, -nan
39,79.3154,34.7108,32.1567,2886840320,2228648973,2228648973, 4.9e-05, 2.9625e-05,52.0498, -nan
40,78.1676,35.4889,32.2379,2908835840,2269287099,2269287099, 2.6e-05, 2.95366e-05,52.3995, -nan
41,77.8284,35.3653,32.3124,2886123520,2308680943,2308680943, 2.5e-05, 2.94286e-05,52.7555, -nan
42,77.1075,35.6849,32.3908,2885232640,2349381727,2349381727, 2.8e-05, 2.93953e-05,53.0697, -nan
43,80.8816,34.0574,32.4287,2888427520,2390955371,2390955371, 3e-05, 2.94091e-05,53.355, -nan
44,77.7111,35.2486,32.4914,2872268800,2429850021,2429850021, 3.1e-05, 2.94444e-05,53.683, -nan
